OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN,occ_major
11-0000,Management Occupations,11,"108,570",major
11-1000,Top Executives,11,"120,060",detail
11-1010,Chief Executives,11,"176,840",detail
11-1020,General and Operations Managers,11,"114,850",detail
11-1030,Legislators,11,"38,590",detail
13-0000,Business and Financial Operations Occupations,13,"69,550",major
13-1000,Business Operations Specialists,13,"67,940",detail
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",13,"88,620",detail
13-1020,Buyers and Purchasing Agents,13,"60,920",detail
13-1021,"Buyers and Purchasing Agents, Farm Products",13,"59,770",detail
13-1022,"Wholesale and Retail Buyers, Except Farm Products",13,"57,420",detail
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13,"62,310",detail
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",13,"61,480",detail
13-1031,"Claims Adjusters, Examiners, and Investigators",13,"61,530",detail
13-1032,"Insurance Appraisers, Auto Damage",13,"60,230",detail
13-1040,Compliance Officers,13,"64,960",detail
13-1050,Cost Estimators,13,"63,080",detail
13-1070,Human Resources Workers,13,"59,890",detail
13-1071,Human Resources Specialists,13,"60,660",detail
13-1074,Farm Labor Contractors,13,"38,590",detail
13-1075,Labor Relations Specialists,13,"56,210",detail
13-1080,Logisticians,13,"75,670",detail
13-1110,Management Analysts,13,"88,070",detail
13-1120,"Meeting, Convention, and Event Planners",13,"49,830",detail
13-1130,Fundraisers,13,"55,220",detail
13-1140,"Compensation, Benefits, and Job Analysis Specialists",13,"62,200",detail
13-1150,Training and Development Specialists,13,"59,560",detail
13-1160,Market Research Analysts and Marketing Specialists,13,"67,380",detail
13-1190,Miscellaneous Business Operations Specialists,13,"70,520",detail
13-2000,Financial Specialists,13,"72,180",major
13-2010,Accountants and Auditors,13,"71,040",detail
13-2020,Appraisers and Assessors of Real Estate,13,"55,180",detail
13-2030,Budget Analysts,13,"72,100",detail
13-2040,Credit Analysts,13,"69,500",detail
13-2050,Financial Analysts and Advisors,13,"86,240",detail
13-2051,Financial Analysts,13,"89,410",detail
13-2052,Personal Financial Advisors,13,"90,820",detail
13-2053,Insurance Underwriters,13,"69,200",detail
13-2060,Financial Examiners,13,"84,220",detail
13-2070,Credit Counselors and Loan Officers,13,"68,010",detail
13-2071,Credit Counselors,13,"43,670",detail
13-2072,Loan Officers,13,"70,350",detail
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",13,"49,120",detail
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13,"56,050",detail
13-2082,Tax Preparers,13,"41,700",detail
13-2090,Miscellaneous Financial Specialists,13,"67,020",detail
15-0000,Computer and Mathematical Occupations,15,"80,180",major
15-1100,Computer Occupations,15,"80,020",detail
15-1110,Computer and Information Research Scientists,15,"103,670",detail
15-1120,Computer and Information Analysts,15,"84,520",detail
15-1121,Computer Systems Analysts,15,"83,800",detail
15-1122,Information Security Analysts,15,"89,290",detail
15-1130,Software Developers and Programmers,15,"90,470",detail
15-1131,Computer Programmers,15,"78,260",detail
15-1132,"Software Developers, Applications",15,"93,280",detail
