WEO Subject Code,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NGDP_RPCH,Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.444,1.056,11.175,5.554,13.74,3.611,21.02,8.435,6.964,10.214,3.101,4.757,6.275,6.184,5.75,4.844
NGDP_RPCH,Albania,2.684,5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.2,12.7,10.1,7.3,7.94,4.231,5.773,5.71,5.759,5.431,5.9,7.536,3.315,3.5,3,1.3,1.8,2.5,2.5,2.5,2.5,2.5
NGDP_RPCH,Algeria,-5.4,3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,1.252,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.098,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2,1.7,3.6,2.37,2.53,3.328,3.426,3.607,3.758,3.831,3.873
NGDP_RPCH,Angola,2.406,-4.4,0,4.2,6,3.5,2.9,4.083,6.129,0.042,-3.45,0.991,-5.838,-23.983,1.339,15,20,5.5,0,3.24,3.012,3.142,14.532,3.308,11.183,20.613,20.735,22.593,13.817,2.413,3.408,3.919,8.413,6.18,7.266,7.016,6.676,2.77,6.042
NGDP_RPCH,Antigua and Barbuda,7.619,3.585,-0.958,5.791,9.842,7.934,8.903,8.979,5.667,6.829,2.277,2.728,0.848,5.081,6.172,-4.951,6.072,5.558,4.928,4.933,3.776,-4.404,2.534,5.706,3.236,7.214,12.715,7.07,1.542,-10.666,-8.528,-2.965,1.586,1.653,3.193,3.394,3.493,3.494,3.486
NGDP_RPCH,Argentina,0.7,-5.744,-3.149,3.733,2,-6.951,7.146,2.529,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.829,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.895,8.955,8.911,9.179,8.466,8.653,6.758,0.85,9.161,8.87,1.899,2.773,3.463,3,3,3.002,3.001
NGDP_RPCH,Armenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-14.054,5.4,8.033,5.169,3.387,6.271,3.17,5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.15,2.2,4.7,7.18,4.3,4.1,4.3,4.3,4.3,4.3
NGDP_RPCH,Australia,2.894,4.127,0.063,-0.474,6.346,5.456,2.448,4.893,4.254,4.456,1.674,-1.099,2.733,3.978,4.851,3.223,4.214,4.078,5.03,4.055,3.194,2.534,4.057,3.055,4.089,3.11,2.723,4.633,2.67,1.419,2.617,2.436,3.579,2.961,3.306,3.051,3.062,3.231,3.242
NGDP_RPCH,Austria,2.314,-0.099,1.908,2.804,0.332,2.243,2.341,1.681,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.467,2.309,3.786,3.539,3.668,0.857,1.694,0.866,2.59,2.401,3.67,3.706,1.436,-3.783,2.051,2.696,0.792,0.774,1.646,1.572,1.572,1.401,1.345
NGDP_RPCH,Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-23.098,-19.673,-13.027,2.531,8.884,6.007,11.396,6.227,6.486,8.137,10.478,10.2,26.4,34.5,25,10.8,9.3,4.959,0.094,2.163,4.141,5.844,4.759,3.45,3.199,4.004
NGDP_RPCH,The Bahamas,7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.255,2.3,1.052,-5.077,-3.381,0.308,2.7,3.137,4.743,11.7,4.72,7.144,4.149,2.626,2.705,-1.265,0.883,3.395,2.517,1.446,-2.324,-4.86,0.179,1.629,2.5,2.7,2.5,2.5,2.5,2.5,2.5
NGDP_RPCH,Bahrain,7.494,2.777,6.406,6.994,4.186,-0.93,0.484,-1.222,5.952,4.409,7.275,1.73,6.7,12.87,-0.25,3.93,4.1,3.14,4.81,4.32,5.23,4.618,5.193,7.245,5.644,7.853,6.653,8.384,6.308,3.204,4.742,2.102,3.851,4.152,3.285,3.629,3.735,3.752,3.79
NGDP_RPCH,Bangladesh,0.375,3.076,3.206,4.61,4.177,3.744,3.985,2.931,2.388,4.298,4.603,4.203,4.801,4.324,4.513,4.77,5.013,5.304,5.044,5.421,5.6,4.834,4.845,5.776,6.108,6.302,6.525,6.305,5.959,5.91,6.398,6.507,6.051,6.006,6.355,6.603,6.803,6.952,7.155
NGDP_RPCH,Barbados,4.371,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2,2.023,3.971,4.735,3.732,0.355,2.282,-2.552,0.685,1.965,1.425,4.008,5.703,1.664,0.347,-4.118,0.235,0.562,0,0.5,1,1.5,2,2.2,2.4
NGDP_RPCH,Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-7.6,-11.7,-11.314,2.776,11.43,8.414,3.353,5.805,4.725,5.045,7.043,11.45,9.441,9.998,8.647,10.248,0.164,7.741,5.544,1.5,2.11,2.645,2.938,3.077,3.289,3.569
NGDP_RPCH,Belgium,4.444,-0.279,0.595,0.312,2.466,1.652,1.823,2.307,4.723,3.469,3.137,1.833,1.531,-0.962,3.227,2.385,1.425,3.735,1.928,3.54,3.669,0.808,1.359,0.807,3.274,1.752,2.666,2.883,0.985,-2.776,2.421,1.784,-0.2,0.156,1.234,1.291,1.353,1.496,1.556
NGDP_RPCH,Belize,5.013,0.214,-7.551,6.076,11.332,-1.419,7.275,21.997,10.861,15.474,11.209,11.465,12.04,6.27,0.159,0.658,1.441,3.571,3.717,8.741,13.074,4.904,5.155,9.321,4.644,2.614,5.054,1.215,3.771,-0.026,2.725,1.929,5.289,2.5,2.5,2.5,2.5,2.5,2.5
NGDP_RPCH,Benin,9.255,1.929,1.682,-2,0.4,4.327,2.748,-2.074,3.428,-2.849,8.976,4.226,2.958,5.836,2.02,6.045,4.324,5.735,3.961,5.341,4.862,6.196,4.442,3.951,3.082,2.865,3.752,4.626,5.018,2.658,2.552,3.531,3.846,4.137,4.098,4.297,4.499,4.496,4.584
NGDP_RPCH,Bhutan,4.995,13.589,3.446,11.097,4.483,4.221,11.536,28.023,4.969,7.361,10.715,-0.36,4.535,1.908,5.083,6.945,5.492,5.307,5.82,7.855,5.199,8.204,10.728,7.664,5.896,7.123,6.849,17.926,4.669,6.728,11.676,8.512,9.715,6.313,8.634,8.88,14.463,10.674,9.989
NGDP_RPCH,Bolivia,0.61,0.3,-3.939,-4.042,-0.201,-1.676,-2.574,2.463,2.91,3.79,4.636,5.267,1.646,4.269,4.667,4.678,4.361,4.954,5.029,0.427,2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.174,5.24,4.8,5,5,5,5,5
NGDP_RPCH,Bosnia and Herzegovina,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.75,4.442,2.362,5.053,3.858,6.257,3.868,5.954,6.115,5.582,-2.911,0.722,1.264,-0.7,0.5,2,3.5,4,4,4
NGDP_RPCH,Botswana,12.02,8.154,15.874,10.793,6.517,7.695,8.616,14.89,23.42,4.665,8.787,6.237,-0.208,4.027,-0.786,8.004,4.438,9.729,10.366,9.841,5.887,3.495,8.955,6.309,5.95,1.635,5.123,4.806,2.971,-4.748,7.015,5.088,3.822,4.139,4.191,4.332,4.359,4.709,4.147
NGDP_RPCH,Brazil,9.19,-4.4,0.596,-3.4,5.307,7.901,7.544,3.601,0.264,3.2,-4.168,1.031,-0.467,4.665,5.334,4.417,2.15,3.375,0.035,0.254,4.306,1.313,2.658,1.147,5.712,3.16,3.957,6.091,5.172,-0.33,7.534,2.733,0.872,3.017,4.043,4.129,4.159,4.159,4.159
NGDP_RPCH,Brunei Darussalam,n/a,n/a,n/a,n/a,n/a,n/a,-2.778,0.311,-0.36,2.206,1.085,3.148,4.759,0.301,3.149,4.477,2.881,-1.475,-0.56,3.053,2.853,2.745,3.872,2.903,0.504,0.388,4.397,0.154,-1.938,-1.765,2.598,2.209,1.295,1.187,6.002,7.332,10.127,2.576,3.687
NGDP_RPCH,Bulgaria,5.7,5.3,4.2,3,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.755,-8.426,-11.625,-3.665,-1.601,-8.043,-5.842,4.119,2.277,5.394,4.151,4.65,5.505,6.748,6.358,6.511,6.448,6.191,-5.476,0.393,1.841,0.775,1.2,2.3,3.5,3.5,3.5,3.5
NGDP_RPCH,Burkina Faso,4.035,2.661,1.4,-1.2,1.6,11.3,7.955,-0.236,5.796,2.15,-0.603,9.07,0.233,3.461,1.315,5.716,11.015,6.317,7.308,6.242,2.934,6.609,4.353,7.81,4.478,8.665,6.252,4.1,5.811,2.962,7.886,4.163,8.006,7.034,6.953,6.971,6.874,6.775,6.677
NGDP_RPCH,Burundi,-6.825,12.164,-1.054,3.715,0.155,11.784,3.25,5.503,5.031,1.349,3.458,5.781,1.007,-6.236,-3.829,-7.919,-8.001,0.413,4.752,-1.009,-0.857,1.665,2.353,2.47,3.767,4.371,5.385,4.786,5.048,3.468,3.786,4.192,4.003,4.472,5.1,5.485,5.475,5.47,5.511
NGDP_RPCH,Cambodia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21.532,9.616,3.327,1.118,7.592,7.069,4.042,8.181,6.443,5.412,5.62,5.009,11.91,8.767,8.148,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.088,6.096,7.079,6.451,6.676,7.24,7.371,7.398,7.506,7.51
