series_id,year,period,value
JTU23000000HIL   ,2010,M01,264
JTU23000000HIL   ,2010,M02,239
JTU23000000HIL   ,2010,M03,408
JTU23000000HIL   ,2010,M04,473
JTU23000000HIL   ,2010,M05,388
JTU23000000HIL   ,2010,M06,354
JTU23000000HIL   ,2010,M07,391
JTU23000000HIL   ,2010,M08,344
JTU23000000HIL   ,2010,M09,302
JTU23000000HIL   ,2010,M10,366
JTU23000000HIL   ,2010,M11,248
JTU23000000HIL   ,2010,M12,217
JTU23000000HIL   ,2010,M13,3994
JTU23000000HIL   ,2011,M01,239
JTU23000000HIL   ,2011,M02,291
JTU23000000HIL   ,2011,M03,381
JTU23000000HIL   ,2011,M04,471
JTU23000000HIL   ,2011,M05,444
JTU23000000HIL   ,2011,M06,465
JTU23000000HIL   ,2011,M07,376
JTU23000000HIL   ,2011,M08,327
JTU23000000HIL   ,2011,M09,363
JTU23000000HIL   ,2011,M10,323
JTU23000000HIL   ,2011,M11,232
JTU23000000HIL   ,2011,M12,186
JTU23000000HIL   ,2011,M13,4098
JTU23000000HIL   ,2012,M01,276
JTU23000000HIL   ,2012,M02,288
JTU23000000HIL   ,2012,M03,340
JTU23000000HIL   ,2012,M04,351
JTU23000000HIL   ,2012,M05,397
JTU23000000HIL   ,2012,M06,433
JTU23000000HIL   ,2012,M07,423
JTU23000000HIL   ,2012,M08,292
JTU23000000HIL   ,2012,M09,330
JTU23000000HIL   ,2012,M10,323
JTU23000000HIL   ,2012,M11,281
JTU23000000HIL   ,2012,M12,166
JTU23000000HIL   ,2012,M13,3900
JTU23000000HIL   ,2013,M01,273
JTU23000000HIL   ,2013,M02,290
JTU30000000HIL   ,2010,M01,284
JTU30000000HIL   ,2010,M02,228
JTU30000000HIL   ,2010,M03,250
JTU30000000HIL   ,2010,M04,287
JTU30000000HIL   ,2010,M05,282
JTU30000000HIL   ,2010,M06,289
JTU30000000HIL   ,2010,M07,306
JTU30000000HIL   ,2010,M08,281
JTU30000000HIL   ,2010,M09,254
JTU30000000HIL   ,2010,M10,275
JTU30000000HIL   ,2010,M11,231
JTU30000000HIL   ,2010,M12,168
JTU30000000HIL   ,2010,M13,3135
JTU30000000HIL   ,2011,M01,280
JTU30000000HIL   ,2011,M02,230
JTU30000000HIL   ,2011,M03,265
JTU30000000HIL   ,2011,M04,273
JTU30000000HIL   ,2011,M05,297
JTU30000000HIL   ,2011,M06,291
JTU30000000HIL   ,2011,M07,288
JTU30000000HIL   ,2011,M08,278
JTU30000000HIL   ,2011,M09,240
JTU30000000HIL   ,2011,M10,238
JTU30000000HIL   ,2011,M11,186
JTU30000000HIL   ,2011,M12,169
JTU30000000HIL   ,2011,M13,3035
JTU30000000HIL   ,2012,M01,266
JTU30000000HIL   ,2012,M02,231
JTU30000000HIL   ,2012,M03,261
JTU30000000HIL   ,2012,M04,268
JTU30000000HIL   ,2012,M05,298
JTU30000000HIL   ,2012,M06,321
JTU30000000HIL   ,2012,M07,268
JTU30000000HIL   ,2012,M08,253
JTU30000000HIL   ,2012,M09,223
JTU30000000HIL   ,2012,M10,234
JTU30000000HIL   ,2012,M11,192
JTU30000000HIL   ,2012,M12,152
JTU30000000HIL   ,2012,M13,2967
JTU30000000HIL   ,2013,M01,237
JTU30000000HIL   ,2013,M02,205
JTU51000000HIL   ,2010,M01,67
JTU51000000HIL   ,2010,M02,38
JTU51000000HIL   ,2010,M03,44
JTU51000000HIL   ,2010,M04,47
JTU51000000HIL   ,2010,M05,47
JTU51000000HIL   ,2010,M06,56
JTU51000000HIL   ,2010,M07,56
JTU51000000HIL   ,2010,M08,62
JTU51000000HIL   ,2010,M09,50
JTU51000000HIL   ,2010,M10,62
JTU51000000HIL   ,2010,M11,66
JTU51000000HIL   ,2010,M12,57
JTU51000000HIL   ,2010,M13,652
JTU51000000HIL   ,2011,M01,68
JTU51000000HIL   ,2011,M02,35
JTU51000000HIL   ,2011,M03,53
JTU51000000HIL   ,2011,M04,67
JTU51000000HIL   ,2011,M05,62
JTU51000000HIL   ,2011,M06,78
JTU51000000HIL   ,2011,M07,52
JTU51000000HIL   ,2011,M08,72
JTU51000000HIL   ,2011,M09,62
JTU51000000HIL   ,2011,M10,63
JTU51000000HIL   ,2011,M11,66
JTU51000000HIL   ,2011,M12,54
JTU51000000HIL   ,2011,M13,732
JTU51000000HIL   ,2012,M01,56
JTU51000000HIL   ,2012,M02,55
JTU51000000HIL   ,2012,M03,54
JTU51000000HIL   ,2012,M04,60
JTU51000000HIL   ,2012,M05,65
JTU51000000HIL   ,2012,M06,69
JTU51000000HIL   ,2012,M07,55
JTU51000000HIL   ,2012,M08,78
JTU51000000HIL   ,2012,M09,54
JTU51000000HIL   ,2012,M10,68
JTU51000000HIL   ,2012,M11,75
JTU51000000HIL   ,2012,M12,54
JTU51000000HIL   ,2012,M13,743
JTU51000000HIL   ,2013,M01,68
JTU51000000HIL   ,2013,M02,59
JTU51009900HIL   ,2010,M01,188
JTU51009900HIL   ,2010,M02,127
JTU51009900HIL   ,2010,M03,126
JTU51009900HIL   ,2010,M04,198
JTU51009900HIL   ,2010,M05,196
JTU51009900HIL   ,2010,M06,221
JTU51009900HIL   ,2010,M07,190
JTU51009900HIL   ,2010,M08,158
JTU51009900HIL   ,2010,M09,155
JTU51009900HIL   ,2010,M10,191
JTU51009900HIL   ,2010,M11,129
JTU51009900HIL   ,2010,M12,139
JTU51009900HIL   ,2010,M13,2018
JTU51009900HIL   ,2011,M01,169
JTU51009900HIL   ,2011,M02,115
JTU51009900HIL   ,2011,M03,140
JTU51009900HIL   ,2011,M04,128
JTU51009900HIL   ,2011,M05,170
JTU51009900HIL   ,2011,M06,189
JTU51009900HIL   ,2011,M07,173
JTU51009900HIL   ,2011,M08,168
JTU51009900HIL   ,2011,M09,145
JTU51009900HIL   ,2011,M10,181
JTU51009900HIL   ,2011,M11,147
JTU51009900HIL   ,2011,M12,127
JTU51009900HIL   ,2011,M13,1852
JTU51009900HIL   ,2012,M01,168
JTU51009900HIL   ,2012,M02,129
JTU51009900HIL   ,2012,M03,159
JTU51009900HIL   ,2012,M04,186
JTU51009900HIL   ,2012,M05,204
JTU51009900HIL   ,2012,M06,214
JTU51009900HIL   ,2012,M07,185
JTU51009900HIL   ,2012,M08,198
JTU51009900HIL   ,2012,M09,185
JTU51009900HIL   ,2012,M10,207
JTU51009900HIL   ,2012,M11,178
JTU51009900HIL   ,2012,M12,130
JTU51009900HIL   ,2012,M13,2143
JTU51009900HIL   ,2013,M01,203
JTU51009900HIL   ,2013,M02,159
JTU52000000HIL   ,2010,M01,122
JTU52000000HIL   ,2010,M02,81
JTU52000000HIL   ,2010,M03,88
JTU52000000HIL   ,2010,M04,122
JTU52000000HIL   ,2010,M05,122
JTU52000000HIL   ,2010,M06,147
