[tt1535438]  [$63,536,011]  
[tt1226271]  [$449,558 ]  
[tt0259324]  [$115,802,590]  
[tt0454921]  [$163,566,450]  
[tt0395495]  [$15,269,668]  
[tt0489070]  []  
[tt0433386]  [$39,143,839]  
[tt0405676]  [$7,221,458 ]  
[tt0389860]  [$137,340,140]  
[tt0422720]  [$15,962,471]  
[tt0449077]  []  
[tt0369441]  [$110,332,730]  
[tt0395251]  [$19,377,727]  
[tt0397535]  [$57,010,853]  
[tt0443295]  [$53,412,862]  
[tt0406375]  [$28,045,540]  
[tt0386140]  [$45,356,386]  
[tt0443567]  []  
[tt0378109]  [$18,472,363]  
[tt0367652]  [$22,264,487]  
[tt0382992]  [$31,704,416]  
[tt0374536]  [$62,252,415]  
[tt0424774]  [$39,177,541]  
[tt0355702]  [$11,008,432]  
[tt0398165]  [$158,119,460]  
[tt0329774]  [$25,607,347]  
[tt0372237]  [$67,962,333]  
[tt0386588]  [$177,575,140]  
[tt0371246]  [$42,044,321]  
[tt0316654]  [$373,585,820]  
[tt0363988]  [$47,781,388]  
[tt0343660]  [$120,776,830]  
[tt0337741]  [$124,590,960]  
[tt0319061]  [$66,257,002]  
[tt0316396]  [$48,417,850]  
[tt0307987]  [$60,057,639]  
[tt0348836]  [$59,588,068]  
[tt0327850]  [$47,592,825]  
[tt0285823]  [$55,845,943]  
[tt0257076]  [$116,643,340]  
[tt0172156]  [$138,396,620]  
[tt0305357]  [$100,685,880]  
[tt0367046]  []  
[tt0309698]  [$51,475,962]  
[tt0362107]  []  
[tt0350804]  []  
[tt0304328]  [$209,151 ]  
[tt0271668]  [$35,764,982]  
[tt0338450]  []  
[tt0297181]  [$33,105,600]  
[tt0243585]  [$64,736,114]  
[tt0120912]  [$190,418,800]  
[tt0280590]  [$126,203,320]  
[tt0278435]  [$39,177,215]  
[tt0145487]  [$403,706,370]  
[tt0253867]  [$24,430,272]  
[tt0258000]  [$95,308,367]  
[tt0287934]  [$646 ]  
[tt0248667]  [$58,183,966]  
[tt0429253]  []  
[tt0277371]  [$37,882,551]  
[tt0245674]  [$41,867,960]  
[tt0118589]  [$4,273,372 ]  
[tt0221218]  [$17,951,431]  
[tt0251075]  [$38,311,134]  
[tt0245686]  [$27,087,695]  
[tt0183790]  [$56,083,966]  
[tt0236784]  [$13,729,742]  
[tt0239948]  [$19,351,569]  
[tt0209475]  [$60,400,856]  
[tt0149624]  [$15,527,125]  
[tt0181536]  [$51,768,623]  
[tt0190865]  [$68,473,360]  
[tt0160127]  [$125,305,540]  
[tt0208092]  [$30,093,107]  
[tt0164052]  [$73,209,340]  
[tt0187393]  [$113,330,340]  
[tt0244504]  [$323,403 ]  
[tt0210616]  [$17,174,870]  
[tt0167203]  [$6,543,194 ]  
[tt0292930]  []  
[tt0202402]  [$8,735,529 ]  
[tt0181151]  [$6,291,602 ]  
[tt0162983]  [$36,037,909]  
[tt0191754]  [$37,035,515]  
[tt0306022]  []  
[tt0182789]  [$58,220,776]  
[tt0173910]  [$101,431 ]  
[tt0172493]  [$28,871,190]  
[tt0475175]  []  
[tt0164912]  [$140,015,220]  
[tt0172396]  [$10,660,147]  
[tt0156934]  [$31,054,924]  
[tt0142201]  [$1,954,202 ]  
[tt0209189]  [$589,114 ]  
[tt0145681]  [$66,488,090]  
[tt0138510]  [$4,002,955 ]  
