id,predicted,text
2,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/KbbUWRzchH
3,u,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/YBqQ6tCs1E
9,u,I've just received an achievement: Subsidizer http://t.co/PTOx1VCh83 #Android #Androidgames #Gameinsight
11,u,Just reached level 17 on Paradise Island on my Android http://t.co/bKNfQuMpRs #Android #Androidgames #Gameinsight
12,p,@BrandonMiniman Even WinAmp Android app plays that track on first run!
14,u,I have completed the quest 'Build several patc...' in the #Android game The Tribez. http://t.co/oEwphQG786 #androidgames  #gameinsight
100,n,E Ink Android Phone Lasts a Week  Weighs Next to Nothing http://t.co/c1AVNOBUr4
102,u,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/gIJCXOzo5b
105,u,I've harvested 150 of food! http://t.co/qcH6SGVts7 #android  #androidgames  #gameinsight
110,u,@Aim_LEGEND @iambabadivision nope just plain twitter for Android
111,n,#Twitter won't help. A @KarlRove virus called Bot2 has made it impossible for me to ever use #Tcot without an #Android crash. Bye
120,p,@dcorsetto @choochoobear  I've got no problems reading your sites from my android phone.
125,n,Worst mood. Fuck this shit. Need to get my shit together and get out of this battery hen android place.
126,n,@tap4fun What's going on with Spartan Wars on Android  for the past day it will not load and says server is in maintenance? #spartanwars
129,n,#facebook  why is your android app so crap? Always crashing? I'd use the browser but you take up half the screen telling me about the app.
131,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/c01iqTNjo7
159,u,I have completed the quest 'Visit the Island o...' in the #Android game The Tribez. http://t.co/oEwphQG786 #androidgames  #gameinsight
160,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/Sjoy4WTLTk
161,u,Michael Ealy has been cast in J.H. Wyman's &amp;??J.J. Abrams' futuristic cop series as Dorian  the android partner of LAPD officer John Kennex.
163,u,I have Carnival Platform on my island! Now my island is even more awesome! http://t.co/MtgwkSwQ4H #android  #androidgames  #gameinsight
178,p,Watered-down Budweiser? Pick up a real beer instead - http://t.co/F2iMv8PXAT

 - sent from my Android phone with Guardian Anywhere
182,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/NMKHiasr1H
184,u,I got 186 576 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl
185,u,New 2 class "??uisines of the world" award received! 84 http://t.co/I4im0A9IE8 #android #gameinsight #androidgames
186,u,I've harvested 1 007 of food! http://t.co/MC9kfOBEAr #android  #androidgames  #gameinsight
193,u,I've harvested 120 of food! http://t.co/Yx1IUt4JeH #android  #androidgames  #gameinsight
194,u,I've collected 708 gold coins! http://t.co/evQvpqyRPv #android  #androidgames  #gameinsight
195,p,But i can see emojis on my android..... lol
197,u,I've collected 23 667 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight
199,u,I've collected 49 742 gold coins! http://t.co/2Li24yZm1I #android  #androidgames  #gameinsight
201,u,I've harvested 668 of food! http://t.co/qcH6SGVts7 #android  #androidgames  #gameinsight
204,u,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/jiGNLnUpKd
205,p,I swur this Android is too valuable
218,u,I've collected 55 000 gold coins! http://t.co/2Li24yZm1I #android  #androidgames  #gameinsight
219,u,I've just received an achievement: Beauty connoisseur http://t.co/HfgQslWnFu #Android #Androidgames #Gameinsight
220,u,I've harvested 1 840 of food! http://t.co/3fNskGOk2P #android  #androidgames  #gameinsight
221,u,I've collected 37 075 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight
222,u,I've collected 7 710 gold coins! http://t.co/4Z3zgcPEXN #android  #androidgames  #gameinsight
239,u,I've harvested 258 of food! http://t.co/38ZpdBQRtG #android  #androidgames  #gameinsight
240,u,I've earned a new achievement: `Digger`. Try to beat me in the #Android game The Tribez! http://t.co/7nRLbhaQwl #androidgames  #gameinsight
241,u,I've collected 2 200 gold coins! http://t.co/f9qO6sQPrX #android  #androidgames  #gameinsight
242,u,I have Wide Road on my island! Now my island is even more awesome! http://t.co/WAxppUKiFQ #android  #androidgames  #gameinsight
249,u,I have completed the quest 'Dino`s Lair.' in the #Android game The Tribez. http://t.co/YmTZFOg5Jm #androidgames  #gameinsight
250,u,The grateful residents of Mayor's country have been saved! http://t.co/3PRfRERBHz #Android #AndroidGames #gameinsight
266,u,I've collected 320 gold coins! http://t.co/W5IpOwzvir #android  #androidgames  #gameinsight
268,u,I have completed the quest 'New  wide roads.' in the #Android game The Tribez. http://t.co/c29xGyvgG1 #androidgames  #gameinsight
269,u,I've collected 6 120 gold coins! http://t.co/OE1ZyiJUPk #android  #androidgames  #gameinsight
270,u,I've harvested 1 613 of food! http://t.co/3fNskGOk2P #android  #androidgames  #gameinsight
272,u,I've collected 1 107 gold coins! http://t.co/Y5dX5hNKIP #android  #androidgames  #gameinsight
276,u,The Tribez is a great game! Try to become a tribal leader! http://t.co/VGQrfikMPZ #android  #androidgames  #gameinsight
277,u,I have completed the quest 'Build 2 Huts.' in the #Android game The Tribez. http://t.co/1KXoDZ1X1A #androidgames  #gameinsight
279,u,I've collected 23 218 gold coins! http://t.co/j6UrxXNpCR #android  #androidgames  #gameinsight
293,u,Start playing Paradise Island on Android http://t.co/2njfk4B8ce #Android #Androidgames #Gameinsight http://t.co/a9U2VciJAw
295,u,I've collected 19 886 gold coins! http://t.co/OZ6ajPiQH9 #android  #androidgames  #gameinsight
298,u,I've collected 636 gold coins! http://t.co/Ru848FsyWp #android  #androidgames  #gameinsight
299,u,Start playing Paradise Island on Android http://t.co/2njfk4B8ce #Android #Androidgames #Gameinsight http://t.co/8L2W9c4qYr
300,u,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/JdjqNlRP3o
301,u,I have completed the quest 'Produce Cut Marble.' in the #Android game The Tribez. http://t.co/hQ55y9yA8W #androidgames  #gameinsight
