id,tweet,class
2,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/KbbUWRzchH,u
3,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/YBqQ6tCs1E,u
9,I've just received an achievement: Subsidizer http://t.co/PTOx1VCh83 #Android #Androidgames #Gameinsight,u
11,Just reached level 17 on Paradise Island on my Android http://t.co/bKNfQuMpRs #Android #Androidgames #Gameinsight,u
12,@BrandonMiniman Even WinAmp Android app plays that track on first run!,p
14,I have completed the quest 'Build several patc...' in the #Android game The Tribez. http://t.co/oEwphQG786 #androidgames  #gameinsight,u
100,E Ink Android Phone Lasts a Week  Weighs Next to Nothing http://t.co/c1AVNOBUr4,n
102,Start playing Paradise Island on Android http://t.co/0VMUD8kuWs #Android #Androidgames #Gameinsight http://t.co/gIJCXOzo5b,u
105,I've harvested 150 of food! http://t.co/qcH6SGVts7 #android  #androidgames  #gameinsight,u
110,@Aim_LEGEND @iambabadivision nope just plain twitter for Android,u
111,#Twitter won't help. A @KarlRove virus called Bot2 has made it impossible for me to ever use #Tcot without an #Android crash. Bye,n
120,@dcorsetto @choochoobear  I've got no problems reading your sites from my android phone.,p
125,Worst mood. Fuck this shit. Need to get my shit together and get out of this battery hen android place.,n
126,@tap4fun What's going on with Spartan Wars on Android  for the past day it will not load and says server is in maintenance? #spartanwars,n
129,#facebook  why is your android app so crap? Always crashing? I'd use the browser but you take up half the screen telling me about the app.,n
131,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/c01iqTNjo7,u
159,I have completed the quest 'Visit the Island o...' in the #Android game The Tribez. http://t.co/oEwphQG786 #androidgames  #gameinsight,u
160,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/Sjoy4WTLTk,u
161,Michael Ealy has been cast in J.H. Wyman's &amp;??J.J. Abrams' futuristic cop series as Dorian  the android partner of LAPD officer John Kennex.,u
163,I have Carnival Platform on my island! Now my island is even more awesome! http://t.co/MtgwkSwQ4H #android  #androidgames  #gameinsight,u
178,"Watered-down Budweiser? Pick up a real beer instead - http://t.co/F2iMv8PXAT

 - sent from my Android phone with Guardian Anywhere",p
182,Start playing Paradise Island on Android http://t.co/Cpk4n5qZk7 #Android #Androidgames #Gameinsight http://t.co/NMKHiasr1H,u
184,I got 186 576 points while escaping from demon monkeys in @TempleRun for Android. Beat that! http://t.co/nrPkrFvWdl,u
