tweettopic,class
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
AllOperatingSystems,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,positive
Android,negative
Android,negative
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,positive
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,negative
Android,negative
Android,neutral
Android,positive
Android,positive
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,negative
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,neutral
Android,neutral
Android,neutral
Android,neutral
