id,predicted,source,source_cleaned,tweettopic,user,text
43,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,meganbull_97,Feel so old fashioneed with a blackberry -.-
49,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,WhyYouSoUgly,I bought a blackberry just for my hoes
52,u,Twitter for BlackBerry??,BlackBerry,Blackberry,LeratoIshmael,Word on the street ?? BlackBerry?? Absolute: World-class internet with MTN http://t.co/SwsoJ0DR66
56,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,LesY999,Wish my Blackberry spellchecker wouldn't keep suggesting that my boss' name be changed to 'Luddite'. It's gonna cause trouble at some point.
57,u,Twitter for BlackBerry??,BlackBerry,Blackberry,imDapSychwiZ,Selling my pre-loved blackberry 9300 3G 3 mos old  -in very good condition -OS 6 -with charger At php 7K negotiable http://t.co/T9CR5jfM5r
60,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,SeifMahmoud_,Msh 3aref akteb 3araby because fuck the blackberry OS.
65,positive,Twitter for BlackBerry,BlackBerry,Blackberry,Konfucius18,@N4_BB: BlackBerry OS 10.1 Expected for Z10 in March  says Telus http://t.co/VIsFuuMx1J  ! #TeamBlackBerry -Yeehaw!!!
69,u,UberSocial for BlackBerry,BlackBerry,Blackberry,Dimension_ID,Jual ebook panduan cara upgrade/downgrade os blackberry. bonus: firmware terbaru all type bb + (cont) http://t.co/3tmITpnTYe
147,positive,Twitter for BlackBerry??,BlackBerry,Blackberry,Col_Sangers,I can Tweet again! I'm a Blackberry Boy  yet again! :)
148,positive,UberSocial for BlackBerry,BlackBerry,Blackberry,kaireenyeen,Awk!!awk hensem. *BR1M*RT @shafeeqanzac: Yes! I'm so happy today  because my BlackBerry is back with new Bis then I got voucher Bb1M.
149,u,Texas Hold'em King LIVE,BlackBerry,Blackberry,MaryCrazyOne,I'm playing #THKLive on #BlackBerry. Download now FREE: http://t.co/IFoH1OM2xD
152,u,UberSocial for BlackBerry,BlackBerry,Blackberry,maharanyfita,@iHeart_TheBoys Effita pramesti  Bekasi  Blackberry Gemini 8520 Take Me Home #iHeart_TheBoysQuis
153,u,QuickPull,BlackBerry,Blackberry,JiwaJindang,Running a @QuickPull on my BlackBerry. Brb!
172,u,QuickPull,BlackBerry,Blackberry,Osaveny,Running a @QuickPull on my BlackBerry. Brb!
174,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,isobel_ward,I set my alarm for 6.20 and my shitty blackberry went off at 7.14  helloo 6th late and saturday detention...
175,u,QuickPull,BlackBerry,Blackberry,amirulshamer,Running a @QuickPull on my BlackBerry. PHEW ! ! ! !
190,u,QuickPull,BlackBerry,Blackberry,Radif_Akba,Running a @QuickPull on my BlackBerry. Brb!
192,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,adnan_ally,Hate it when my phone freezes  wish that didn't happen oh wait its a blackberry it all ways happens
209,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,HughesTaidgh,How do you take someone off speed dial on a blackberry !
211,u,Twitter for BlackBerry,BlackBerry,Blackberry,SulimanAlOmar,@ME_BlackBerry @DeiraCityCtr Why didn't you tell me you'd be there!?!
214,u,Twitter for BlackBerry??,BlackBerry,Blackberry,naseem_safi,Finally got my new blackberry battery :D
230,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,khaaledkamal,I need a wireless charger for blackberry!
232,positive,Twitter for BlackBerry,BlackBerry,Blackberry,SulimanAlOmar,I love my BlackBerry Z10
234,u,QuickPull,BlackBerry,Blackberry,AbyBally,Running a @QuickPull on my BlackBerry. Brb!
264,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,angeltayolondon,@BlackBerry hello pls my dp has not changed for the past one week I need your assistance
284,u,Twitter for BlackBerry??,BlackBerry,Blackberry,hulla_ballu,Blackberry priced its Z10 at 43k keeping in mind #Budget2013
286,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,sherizle,If blackberry don crash once  that na 1st warning. If e crash again then just dispose because if the 3rd one happen na sorry be ur name.
287,u,QuickPull,BlackBerry,Blackberry,natestea,Running a @QuickPull on my BlackBerry. Brb!
289,u,QuickPull,BlackBerry,Blackberry,yeza_eapril,Running a @QuickPull on my BlackBerry. Brb!
290,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,ZainahJag01,"NAH!!! RT ""@KiDFuZz91: the way that tweeting on computer is the future  the blackberry app is dope  but doesnt suffice"""
291,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,tumza_the_don,My Blackberry is goin crazyyy this shiiit is real.. It responds after a while ??? yohhh
308,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,ben56y,@AbbeyWilson_ I would have taken a screen cap but on a blackberry it is shite (much like the blackberry)
313,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,siobhan_mcgowan,Blackberry batteries have to be the worst things invented
318,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,xXTomlinXx,The thought of still having 8 months on my contract with a blackberry.....
343,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,D_Norman_C,This sim phone does not like me borrowing a blackberry.. Looks like I need to search for another phone where I can actually use the internet
345,u,Twitter for BlackBerry??,BlackBerry,Blackberry,ehydrated,"@RiaNkosi u wlcome"" Guess its a blackberry u using?"
347,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,CHarrowell,Fuckin shit cunt blackberry my alarm never went off #fuckinLate
349,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,ceceansar,No Blackberry  No Internet Access  No Handphone Camera. What the hell !!!
351,u,Twitter for BlackBerry??,BlackBerry,Blackberry,vickeysonbarsa,How will I get my original app world back on my blackberry storm.
370,u,UberSocial for BlackBerry,BlackBerry,Blackberry,heniezzawina,@j_ya7 You saved me from my Blackberry's epic ordeal. Thanks Batman! Hahahah
391,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,maccabarco3,My battery always on red every morning hate blackberry battery's
414,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,D_Norman_C,Only being able to use the internet&amp; twitter at home's a piss take! What's the difference between internet&amp; blackberry internet? Huh? Eugh
416,u,QuickPull,BlackBerry,Blackberry,shahNadzreen,Running a @QuickPull on my #BlackBerry Porsche!!
431,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,Nano_Mendes,"Nah.. RT @ZainahJag01: NAH!!! RT ""@KiDFuZz91: the way that tweeting on computer is the future  the blackberry app ... http://t.co/hW49sUtWJO"
433,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Yo_ItsKabelo,"Vele --??""@Miz_ALL_dAT: Its BB10z that started this RT @NyaopeBoySA: :'''D BEEN saying this! RT @__Mass Blackberry absolute is a Joke!"
436,u,QuickPull,BlackBerry,Blackberry,ivvatyara,Running a @QuickPull on my BlackBerry. Brb!
453,u,QuickPull,BlackBerry,Blackberry,HerlyAlan,Running a @QuickPull on my BlackBerry. Brb!
454,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Lukee_Cannon,Never getting a blackberry again #pileofwank
455,positive,Twitter for BlackBerry??,BlackBerry,Blackberry,peenissonfire,The new blackberry looks so nice tbh
457,u,Twitter for BlackBerry??,BlackBerry,Blackberry,ggxx99,@MsHijabilicious do u have a blackberry ?
473,u,Twitter for BlackBerry??,BlackBerry,Blackberry,BritneyUzodike,Jeeeezzzz!!!!!!!!J??S????????? saw a blackberry touch(Chinko)
474,u,Twitter for BlackBerry??,BlackBerry,Blackberry,myl_thevard,Who stay with ???Blackberry go invite me PIN 2a22a0c2 #hexachat
496,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,SehaEffndy,My blackberry is changing to blackberak .
514,u,QuickPull,BlackBerry,Blackberry,wiekwee,Running a @QuickPull on my BlackBerry. Brb!
515,u,UberSocial for BlackBerry,BlackBerry,Blackberry,AthiPC,:)??? RT @Nfuk_u: I did the right thing and voted for my babies :-D for the next blackberry ambassadors cc ... http://t.co/2X66cqQHP0
521,u,Twitter for BlackBerry??,BlackBerry,Blackberry,oYeMyKke,Someone On My Blackberry Used This As Dp &amp; iCant Stop Laughingg. This NYSC Shiit Is Seriouss Fxck! http://t.co/bew9tVR7je
546,u,QuickPull,BlackBerry,Blackberry,Akash212,Running a @QuickPull on my BlackBerry. Brb!
547,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,Ghaati_Lover,#Budget2013 is a conspiracy against Blackberry!!! Now the Z10 is even more expensive... *facepalm*
548,u,Twitter for BlackBerry??,BlackBerry,Blackberry,_Loxy,A fair usage limit of 200MB will apply on the BlackBerry BIS package from 1/03/2013 as a new BlackBerry plan called BlackBerry Absolute. MTN
550,u,Twitter for BlackBerry??,BlackBerry,Blackberry,tokeralph,"U never see anything *2face voice*""@BritneyUzodike: Jeeeezzzz!!!!!!!!J??S????????? saw a blackberry touch(Chinko)"""
553,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,JonnoAyrton,My Blackberry's that shit it takes ten men literally to unlock it #ShitBerry
578,u,Twitter for BlackBerry??,BlackBerry,Blackberry,ggxx99,@Dee_Loves_yew do u have blackberry ?
579,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Moriarityxo,I hate twitter on blackberry's.
580,u,QuickPull,BlackBerry,Blackberry,denybudiman,Running a @QuickPull on my #BlackBerry. Brb!
583,u,QuickPull,BlackBerry,Blackberry,felmisoraya,Running a @QuickPull on my BlackBerry. Brb!Zzz
584,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,JustAMalteaser,Type on a blackberry torch keypad with fake nails is really hard
605,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,LaurenceGould97,the lock button on the blackberry torch is in the most awkward place possible  always unlocks itself
606,u,QuickPull,BlackBerry,Blackberry,JDioknoSicat,Running a @QuickPull on my BlackBerry. Brb!
607,u,Twitter for BlackBerry??,BlackBerry,Blackberry,ndu_babez01,@Cherrone_M my blackberry got stolen ma iv got another one now 27DD1BF3
609,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,mindchishiki,Bought a friggin' BlackBerry because I like the keyboard. Only for that reason. I swear  BB apps suck.
624,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,RemLDN,@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere Lol.
625,u,Twitter for BlackBerry??,BlackBerry,Blackberry,iamdeandrey,@MotsoPitsi lol its between me n bis blackberry internet service. N thy conteract reaching its end!
626,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,GoyDeng,Blackberry headphones are so shit  no wonder why it comes with the phone
628,u,Twitter for BlackBerry??,BlackBerry,Blackberry,tcisa,"Top 5 brands in SA based on number fans  1= FNB. 2=whatsfordinner 3=OLX 4=Vodacom 5=BlackBerry #mobileemarketingconf"" cc: @OLX_ZA"
629,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Royale_Entity,@Ms_Yelliah yeah my pleasure:) eish blackberry ne anyway enjoy your day???
630,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,Germolution,"But I've been using ubbersocial allot lately. ""Twitter for blackberry"" needs to b updated man"
631,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,valleyG94,Its frustrating to use this fucking blackberry n its damn short battery life span... ZzzZz
651,u,Twitter for BlackBerry??,BlackBerry,Blackberry,bilmar4u,Which university in Nigeria has the highest number of ladies using blackberry phones?
652,u,Twitter for BlackBerry??,BlackBerry,Blackberry,iwill4freedom,@rickmans: Memo warns federal workers in Canada about BlackBerry messaging http://t.co/DAMIwiiuh8 -- Plz read the comments.
653,u,Twitter for BlackBerry??,BlackBerry,Blackberry,ohPalingKECE,Where ur BlackBerry PIN? Mention me
654,u,Twitter for BlackBerry??,BlackBerry,Blackberry,JessiycahLatina,@BlackBerryFra #BlackBerry
655,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Mpumzenterris,Why border buying a blackberry knowing u won't be able to buy BIS
674,u,QuickPull,BlackBerry,Blackberry,robzh_,Running a @QuickPull on my BlackBerry. Brb!
677,positive,Twitter for BlackBerry??,BlackBerry,Blackberry,Sirboby_TK,I saw the blackberry Z10 yesterday at #slot twas tagged 190k. Guys gear up oooo
682,u,Twitter for BlackBerry??,BlackBerry,Blackberry,beejaytsumba,@mz_ritz google jandus radio it wuld come up download the one for blackberry user friendly
703,positive,Twitter for BlackBerry??,BlackBerry,Blackberry,GrownChris,"How can you hate people you don't know? ""I hate blackberry"" but she never owns one. #KillYourself"
704,positive,Twitter for BlackBerry??,BlackBerry,Blackberry,ThatBiebahGirl,Woo got twitter for blackberry now so hi
728,u,Twitter for BlackBerry??,BlackBerry,Blackberry,tiehanahar,BLACKBERRY Z10 DAH KELUARRRR MYYY GAWWWWDDDDDDD !!!!
730,u,QuickPull,BlackBerry,Blackberry,rnayettey,Running a @QuickPull on my BlackBerry. Brb!
752,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,AlbertCruise95,Blackberry alarms are so annoying
753,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,GE0RGEGARRETT,Typing on a blackberry when you've got cold hands aka impossible
775,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,Chabz_Classic,Seems like MTN was only considering people who don't have 3G when they designed this new Blackberry data plan http://t.co/zL67NoArez
776,u,Twitter for BlackBerry??,BlackBerry,Blackberry,RobynMoate,What's the point on having an electronic compass on my blackberry?? #explorer
795,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,SamGoodwin_,The twitter app for blackberry is dry
802,negative,UberSocial for BlackBerry,BlackBerry,Blackberry,ZandiMeteni,Me too hey! Its goodbye BB RT @sintlet: If this BIS shit goes ahead its bye BlackBerry. Its only reason I use this stupid phone.
804,u,Twitter for BlackBerry??,BlackBerry,Blackberry,Mwansa90,"@Webworx: Question is  who will stand out from the pack in the race of Mobile Operating Systems? #BlackBerry 10OS
Thu  28 Feb 2013 08:15:45 +0000,92,94,805,0,u,0,QuickPull,BlackBerry,1072,Blackberry,vaiorizky,Running a @QuickPull on my BlackBerry. Brb!
"
859,negative,Twitter for BlackBerry??,BlackBerry,Blackberry,GainttLove,Ring this blackberry phone wen ya pussy calling.
