id,predicted,text
2374,u,@Jaaakehall  big balls  big boner  blackberry ????
2407,u,You've served me well  blackberry
2481,u,I wonder if a blackberry can do this. Cc @luchi http://t.co/vCqOgEtVGF
2639,u,I want a blackberry
2659,negative,the house dominates by apple and samsung user. blackberry user gets discriminate????????????
2702,negative,i would only get a blackberry back for business purposes
2795,u,@iamsereneyeo ???? ohhh noooo. Why australia dont support blackberry! I cant  feel the buttons!!!!
2856,u,@FATCHEEEKS then go US la. I think quite a lot of people use blackberry or whiteberry there.
2932,u,Hehehe?@MrsMUFC: Don't touch my Blackberry my tab my hair my man and we'll be fine?
3000,u,So my blackberry is working again with a new sim.  Do I rejoin bbm or not ? Does anybody still even use it
3091,u,Lool my mums returning her blackberry z10. Thats how shit it is
3169,u,NHL Gamecenter Now Available For BlackBerry 10 - http://t.co/J5ptT5Q354?
3174,negative,I make fun of blackberry a lot to bug my  friends but if you seriously give two shits what kind of phone other people use than get bent
3222,u,Not the new @BlackBerry_ZA 10 devices like the Z10! #BB has stepped their game up! ?@Alexis_Mokhine: But a blackberry is a shit phone hey!?
3280,positive,what the fuck is a blackberry?
3358,u,Apple CEO promise to investors: Geat stuff coming.Hope so!!!hate to see you become a Nokia or blackberry http://t.co/zUIri7hZCL
3359,u,@Nicholee_x3 oh god I wish I would find out a girl had a blackberry
3380,u,"All you need to know about why BlackBerry is dead. Want to write an email? Option is ""compose email"". Not ""write email"". Like we really say."
3447,u,I just watched a complete YouTube ad for the first time ever. Nice work  Alicia Keys and BlackBerry.
3475,u,Life was much easier when #Apple and #Blackberry were just fruits. 
3520,u,@Ellbedford I even had a photo on my blackberry haha
3569,u,why the fuck is team blackberry being promoted on my timeline. it's like promoting the bobcats as the best team in the NBA.
3570,negative,Canadian federal department warns government workers of BlackBerry insecurity http://t.co/BhtASRPgaI via @zite
3571,u,i love the sound a blackberry makes when it screen munchies
3598,u,@rachellegill1 sorry matey my blackberry is frozen like the bastard it is! Okays hun I'm still waiting for the 17  could be here for a while
3644,u,@mzambiyaSA Please vote 4 me 2 be a @BlackBerry_ZA Ambassador njayam @ http://t.co/iMwGu5LjOQ Just follow the link &amp; RT this 2 ur followers!
3666,u,Park up  walk to the office  get to desk  unpack laptop  left Blackberry on the seat of the car. Fuck. Time for a walk ????????
3713,u,@TheRealPK33 whatever you want. anything is better than that blackberry scum.
3716,u,Blackberry ki kismat hi karab hai.. They release a fone like z10.. Nd d budget ups its price.. Gayi bahens pani mein
3792,negative,So some teacher goes to me get of your phone and my phone was in my pocket and he was walking around with his blackberry in his hand
3869,negative,I might get a blackberry so all of you with blackberries watch out cause I'm coming.... To get your pin boom boom pow
3870,u,@ME_BlackBerry waiting for the Q10
3938,negative,@smichael1420 @blackberryhelp might be of interest http://t.co/3vUTM1Csze
4015,u,?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere? incredible statement
4019,negative,Please DM me your BlackBerry pins
4084,u,?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere? you don't know best
4145,u,?@jojoldn: ?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere? you don't know best?
4215,u,I actually prefer twitter on my blackberry than on my iPod
4264,u,@marcogaucho9 @muyiwabank  ?@Questionnier: Cc that ur friend you Can Sell for a blackberry charger ??
4310,u,@TylabrookeX I found it on my blackberry hahaha
4362,u,Drinks you guys should get when you're in a starbucks the philippines. Banana java chip  azuki  blackberry green tea  and the Sakura frappe.
4368,u,@JaskiranGrewal I get that all the time ????. And you probably can't see that cause to have a lame blackberry haha but it's a smirk.
4456,u,a want a shot of my blackberry but a sold it to get mwi????
4483,u,?@shareenlatara_x: Anyone got a BlackBerry for sale?? Holla at thulani
4490,u,new blackberry pin add it 24CE3D3C
4508,u,@Lewbob91 @antoniasword @jeromeschmidt quite hilarious tbh...everyone in my company owns a work blackberry  it's an organisational tool.
4566,u,The blackberry cost double of my salary.
4621,u,@MizzCharisma26 why u think that? Is your phone a blackberry?
4623,u,@GoGetMyCoffee you said the same of the blackberry. I know where this is headed. Lol
4645,negative,"Im not trying to be ""am an apple person   non-apple go to hell""  but seriously Blackberry z10? Looks so identical!"
4675,u,Some days my work blackberry does this really useless thing where it receives emails but won't send them. Today is one of those days.
4692,u,@Henniseyyy Oh right! You went from Blackberry  lawwwwl.
4785,u,No blackberry from today:)
4807,u,@KingKaylaXO awe look at your little blackberry screen.
4810,negative,@ladygeek @techweekeurope yes - you cannot replace a generation of QWERTY thumbs - @BlackBerry is here to stay :)
4876,u,Reasons Why I Left Dat Fone?@LILFIZZY94BANGZ: Small Boys Buying Blackberry Feeling like they Bought Ferrari......#Fact?
4956,u,Why am I getting accused of taking a blackberry charger at 9:30 am like I'd have any use for it ????????
4996,u,S/O to Blackberry users. I know you don?t see this ???????????????????????????????????????????????????????????????
5050,u,???????????? ?@_Eye_T: S/O to Blackberry users. I know you don?t see this ????????????????????????????????????????????????????????????????
5095,u,RT?@Yankey_p3_jot: ???????????? ?@_Eye_T: S/O to Blackberry users. I know you don?t see this ?????????????????????????????????????????????????????????????????
5167,negative,My blackberry is broken. Please dont contact me via BBM.
5170,u,I need and want the BlackBerry 10 :(( nyahaha
5196,negative,RIGHT??! He's a rapper futi futi RT @iareTerry: DannythatGuy why would blackberry want faceless ppl to represent their brand anyway?
5197,u,BLACKBERRY 10.
5198,u,Can't believe I just broke my blackberry ????????????????
5247,u,Jess trying to tell me my phones shit for not receiving a message when she's the one with the blackberry curve hahaha
5272,u,@_britneybaby what about blackberry?
5412,u,@ME_BlackBerry where in city center
5523,u,It's late for my Blackberry. Whatsapp or Call me if you need me.
5525,u,?@_Eye_T: S/O to Blackberry users. I know you don?t see this ????????????????????????????????????????????????????????????????lol
5526,u,@WilliamHymus @joeyydaviess @alex_pagey7 the year I took over as the owner of BlackBerry #2k13
5527,negative,I have blackberry &amp; raspberry cravings. And I also miss the raspberry lemonade cocktail from Hard Rock. :(
5644,u,@nho_ndo let me guess using a blackberry? =_=
5798,negative,After a year my Dad has finally taken his Blackberry out of its box #technophobe
5912,negative,@Lee_Tsotetsi what's wrong w/you be going to kid Cudi blackberry concerts+winning blackberry Z10's outchea!! #nofair
5914,u,?@Illuminati_Stop: WHY YOU SHOULD SWITCH TO A BLACKBERRY. http://t.co/RqBwV0ea1b? lmao this is retarted
6022,u,Person + blackberry +BIS - Job = Twitter Celeb
6025,u,the blackberry 10 is the most confusing phone ever made
6043,u,?@rukky_jagz: Person + blackberry +BIS - Job = Twitter Celeb?
6085,negative,Oooh blackberry 10 vodafone teaser ad song is Elephant by Tame Impala. Corporates be getting psy
6204,negative,@ellsabelles Never thought I'd say this but I miss my blackberry ????
6238,u,@Printf_Stoned and I thought you own a blackberry. x_x ----&gt; can't watch
6264,negative,@FrdrckVntr condolence to ur blackberry digg! :(
6283,u,@Sunnietheteafay sorry nic I don't use blackberry anymore. Sorry.
6284,u,back to blackberry for i don't know how long! :(( ughh.
6426,negative,Tech News: BlackBerry Q10 is set to release in stores April 2013.
6484,u,@Cseccombe I am no longer on Blackberry! :( #nomorebrickbreaker
6508,u,@UndarGroundKing wack network plus am not using a blackberry
6532,negative,Under mana man? RT @amman_spark: Blackberry Z10 - for BB68 phone price is RM1 398 and for BB99 phone price is RM1 198!
6551,u,@Sticky_Orange sorry what's a blackberry
6668,u,Crystal Clear Screen Protector Guard Film Shiled Saver For Blackberry Bold 9900: http://t.co/eeOAeVPTg2 #ebaymobile
