id,tweet,class
42,Just got a message from MTN that there's now going to be a limit of 200MB on Blackberry's BIS. Things are about to get tough,negative
45,Blackberry buttons so annoying listening to someone text #whatTHATabout,negative
50,@RobbieSpence95 That?€?s how Blackberries retweet. Go on details when you see it next time  and it?€?ll say it was sent on blackberry,u
54,If anyone is trying to get hold of me  my 3 year old blackberry has finally died #sadtimes,negative
118,I wonder how that touch screen blackberry is? Lol,u
151,Dang I had no idea so many Emblems had mentioned me. I'm so sorry my BlackBerry sucks,negative
189,@QwertyIsDead awww blackberry users  I forget!,u
237,top 5 brands in SA  based on number fans  1= FNB. 2=whatsfordinner 3=OLX 4=Vodacom 5=BlackBerry #mobileemarketingconf,positive
257,?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€? ????,negative
259,I wrote a little rap song on my blackberry,u
260,#howtopissofachav take their shitty little blackberry of them for two minutes,u
314,?€?@DenzelTheGreat_: ?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€? ?????€? ~ ????????????????,u
315,?€?@DenzelTheGreat_: ?€?@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere?€? ?????€? ????,u
346,Barely even use my blackberry  don't even know where it is tbh,u
458,Don't get me wrong blackberry's in there time were so liveee but that time has past..,negative
520,Not quite BYOD for US DoD  but bad news for Blackberry http://t.co/TLkZiXvkyf,negative
544,?€?@Andicyndi: Found this on blackberry @ann_bubblegum @chamamahit #lastyear http://t.co/ipqXshAtsX?€?,u
545,@ItsRomanBitcchh I have a blackberry so lemme shut up lol,u
678,A message for anyone wanting to get a blackberry DONT.,negative
701,Shit. Left my blackberry at home,u
702,Life is actually quiter without blackberry,negative
726,"?€?@RemLDN: ""@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere"" Lol.?€? the logic of this tweet..",u
798,I FINALLY SEE A PERSON USING BLACKBERRY!,u
858,?€?@stephcat_ 9 year olds have a Blackberry ipad laptop&amp;Facebook.When I was 9 I felt cool with my new markers.?€? How do I know u felt the same?,u
882,@Stained_Jess_CT Ai pumpkin its @blackberry_za and I never owned one cause I don't like to take out the battery first to restart for a call,negative
888,"?€?@RemLDN: ""@Antoniasword: Over the age of 16 with blackberry as your main phone? Your going wrong somewhere"" Lol.?€? ????",u
986,Blackberry's are good for when you need to respond to emails quickly its so convenient,positive
1112,Although I hate Blackberry?€?s as smartphones  there?€?s more to them than BBM,positive
1145,I hope someone throws a blackberry at my head,positive
1214,"""@_Munchkin10: RT @Alexis_Mokhine: But a blackberry is a shit phone hey!""",negative
1237,It's girls like her that cheapened BlackBerry and now that she's moved on  she feels she must throw stones behind her ????,u
1263,@HeyTell any news of the Blackberry version relaise?,u
1280,?€?@L3FTY_moriski: Nope RT @_Munchkin10: RT @Alexis_Mokhine: But a blackberry is a shit phone hey!?€? Y o re nope since every1 i knw is complain,u
1312,i think blackberry just need to stop,negative
1345,every blackberry i see the top bit is gone ????,negative
1366,@_DylanKeenan ok then and is that a blackberry curve,u
1367,@kairakau50 dolphins not being blackberry eaters not out my back door today,u
1370,Just dropped my blackberry down the toilet  think it's a bit fucked???? #welldonetommy http://t.co/LT80bnuAbB,u
1371,@Razasimo @neemys I am no longer on Blackberry :) lol!!!! MSG me on 0835139466 pls so I can have your numbers big love,negative
1400,Blackberry og got me ???,u
1401,For sale Blackberry 9360. 2mos used. DM/PM me for more info.,u
1426,@HeyTell any news of the blackberry release? Really need the cross platform,u
1427,Maybe worse than a Blackberry battery life,u
1442,Definitely considering getting the blackberry 10  looks so good,positive
1443,Boy on a bus with his blackberry out with sox playing ... WAT IZ LYF FAM?!,u
1478,It's girls like her who devalued blackberry phones. The youth jumped on the wave  BB latched on to the market but lost the prestige,u
1501,@lyssssieG lol I got a blackberry curve you can have it's really old and slow tho,negative
