id,tweet,class
37,Don't download latest Kindle iOS app due to bug  Amazon says  http://t.co/nybwwbGO7d,neutral
73,The iPhone 5 battery life has improved significantly after the last OS update... I haven't charged my phone in almost 24 hours...,positive
77,@apple  iPhone is a user interface portal to a larger UI architecture. Enable CMD-Tab to switch desktops just like OS X.  #apple,positive
78,?€?@OS_tertag: @Saraherra being able to see emojis would be nice:(?€? haha it was the number 2... Get an iPhone :),positive
80,I just flew 168m in an action packed game of Jetpack Joyride on iPhone. Booyah!os http://t.co/M9qkj12Usu http://t.co/bwcMlSHOyA,neutral
81,Happy unexpected iPhone restore evening... quick OS update my.. well you know.. Gluteus Maximus. #thirdworldissues,positive
143,?€?Ecoute?€? better music App then the iOS stock app http://t.co/ELrQGuUfYs,neutral
224,@trickyw99 Have you upgraded to IOS 6.1.2 yet? It is supposed to resolve a glitch in battery life caused by 6.1.,neutral
281,"Apocalypse Max - The most amazing zombie shooter on iOS!!
 http://t.co/l5hto7PskX http://t.co/R9PRi3DT77",neutral
334,Zephyr is the best iOS tweak on earth.,neutral
411,INSTALLOUS 5 fix hash sum mismatch error iOS 5.1.1 http://t.co/WUxCGUuIDj,neutral
471,?€?@KindleStories: Bug In Kindle Update For iOS Deletes User's Entire Library  Amazon Warns ... - http://t.co/ewYa2Z47EF?€? @stonecld316babe,neutral
571,I am using MyScript Calculator for iOS. Try it out  it's amazing! http://t.co/yl5jtcuSaB #HWR http://t.co/M31cedqLUo,neutral
573,@kelsey_feed aw the bear is so cute. I don't think I can get them on my iPod considering I have iOS 4.1 :P but it's an emoji bear king aww,neutral
574,iOS 6.1.2 still very cool! http://t.co/YpVVIjJhoE,positive
648,"""New &amp; FREE: Real Racing 3 for iOS (Games)"" (gshare) http://t.co/XnhO9EJUDV",neutral
722,#AVPEvolution on IOS  it's awesome! http://t.co/h10rASDPjk,neutral
823,@Duli_Ultimate ya man seriously why? But iOS is the most impressive OS for the phones,positive
876,I've still not updated my iPhone to the latest iOS  but so much weird things happen. Freezing apps  hard resets... Did they build this in?!,negative
877,most awaited iOS game  Real Racing 3  is out. Installed. No time to test it though :(,neutral
905,How to get Siri on all running iOS 6.0 - 6.1 Devices (iPhone 4  3GS  iPod Touch 4G &amp; iPad 2) NEW!!! ultimate free http://t.co/5FitPU73bj,neutral
929,"Fix cantact ios 6.1.x
Name:Contact Fix for 6.1.x
Suorces: bigboss http://t.co/3BiV5si6bS",neutral
1028,"Ex-Zynga Boston team starts new iOS studio: 


Zynga closed its Boston studio late last year  and some of it... http://t.co/mqP7ojwTIz",neutral
1054,I just got 144 Points in Endless Mode in Monsters  Inc. Run on iOS! Can you beat my score? http://t.co/9quhX98ufo,neutral
