id,tweet
3116,@GhostBirdSoft Hey guys  app launches and just crashes instantly. Wat do? Last version on iphone 5 iOS 6.1
3119,Hey iOS user! Have you checked http://t.co/FeNMjNWCuO? If you haven?€?t  then check it now! They got schedule for all the lineups #JJF2013 :D
3143,Finally  my #iOS has been upgraded to the latest 6.1.2 from 5.1.1. Works great and no issue so far :)
3144,BTC Mouse &amp; Touchpad is slightly unstable for iOS 6.1. Some issues on 3rd level/layer tasking. @mringwal
3145,My twitter iOS app is still bugged on iPhone 5  I've not received notifications in ages... :/
3164,F*ck you iOS 6! Thought you might have changed but you're still a worthless piece of crap. Took the plunge &amp; updated my OS. Wish I hadn't.
3167,Did iOS change its default search engine to @yahoo? http://t.co/yQuOduO78V
3195,#FNB iOS app great for quick transfers whilst standing at till. But typing my P@sSw0Rd takes forever. Can?€?t app use a pin rather? @Rbjacobs
3216,@wyshynski Your links aren't working on iOS. Keeps bringing me to the yahoo sports mobile site.
3219,Looking for a job in programming (frontend/backend/iOS)? Interested in living in the wonderful city of Berlin? Tip: http://t.co/BNhlNMsCzQ
3244,Testing iOS application
3246,I am using MyScript Calculator for iOS. Try it out  it's amazing! http://t.co/W52RRLnuso #HWRbwankers http://t.co/Lk3iKydztv
3249,I am using MyScript Calculator for iOS. Try it out  it's amazing! http://t.co/W52RRLnuso #HWR I'm sick at maths http://t.co/7SmdsrUMIb
3297,@WhatTheBit incentive of time pressure. iOS freaked out Samsung in 2007 as they were on the way to become the featured phone leader.
3329,I'm listening to On the Radio by Tyson on Last.fm's Scrobbler for iOS. http://t.co/VyG6gVjikh http://t.co/52Rn2QUQGv
3354,@PlayStation when is the playstation app coming for iOS
3355,I just scored 170 593 points playing #StormTheTrain for iOS. http://t.co/xN0T1rTvNI
3376,Check out this cool paper craft you can create from Paper Crafts for Minecraft on iOS! @seejaykayapps ?????? http://t.co/GRxx6Epoex
3378,is iOS 6.1.2 good? should I update my iphone4 and ipad mini?  lots of news about it being crap...
3472,I'm listening to Soliloquy by Fear of Tigres on Last.fm's Scrobbler for iOS. http://t.co/Gl8KrdPBjJ http://t.co/A1WxBF3phM
3513,Funny BitBook post in Tiny Tower for iOS!  http://t.co/KkmVSJL1pA http://t.co/ZtV0PWttsF
3516,New new peeve: no interrobang on the iOS keyboard.
