"","X","user","date","source","retweets","tweet","followers","statuses","listed","friends","source_cleaned","tweettopic"
"3272",3272,"WFORadioNitro","Fri  01 Mar 2013 21:53:38 +0000","Mehdoh for Windows Phone",0,"The @WFORadio iOS and Android App is ON SALE! $.99! http://t.co/olAUnyUwm8 #NHRA #NASCAR",976,1210,28,1063,"WindowsPhone","Android_iOS"
"3273",3273,"WFOTOTALMS","Fri  01 Mar 2013 21:53:38 +0000","Mehdoh for Windows Phone",0,"The @WFORadio iOS and Android App is ON SALE! $.99! http://t.co/fwwlYhfkrw #NHRA #NASCAR",1239,5186,57,584,"WindowsPhone","Android_iOS"
"4387",4387,"jonchoo","Fri  01 Mar 2013 17:42:15 +0000","rowi for Windows Phone",0,"@DaxHalo It's an issue but nothing to do with OS. I've seen wickedly designed Android phone from Japan. OEMs here are just lazy.",1549,47005,111,595,"WindowsPhone","Android"
"4388",4388,"Zeouterlimits","Fri  01 Mar 2013 19:21:50 +0000","rowi for Windows Phone",0,"@Hypertrooper Needs to be on Steam and iOS.",423,11298,22,462,"WindowsPhone","iOS"
"4389",4389,"emericanx","Fri  01 Mar 2013 21:14:44 +0000","rowi for Windows Phone",0,"Awesome! RT @_Papi_92: Android News Feed. The application with all your favorite sites. https://t.co/TSHaro26fr",222,2708,5,247,"WindowsPhone","Android"
"4543",4543,"Miz_Shuga","Fri  01 Mar 2013 22:03:24 +0000","Social by Nokia",0,"@_rosie_xx nt usin an android hunie will tryin calln u tomoro shaa",733,11600,2,616,"WindowsPhone","Android"
"4544",4544,"emiEy_saLLy","Fri  01 Mar 2013 23:29:28 +0000","Social by Nokia",0,"To prove im rite i put it in a sooo ng 
social by blackberry LOL",20,293,0,55,"WindowsPhone","Blackberry"
"4545",4545,"emiEy_saLLy","Fri  01 Mar 2013 23:31:50 +0000","Social by Nokia",0,"Blackberry .. My feveret ... *usop willcare
7s ago social by blackberry",20,294,0,55,"WindowsPhone","Blackberry"
"10761",10762,"ohad_129","Fri  01 Mar 2013 17:18:38 +0000","Twitter for Windows Phone",0,"@htc new with me I used to have only blackberry for 5 years I used to do hybrid os for blackberry now I decide to try windows phone with htc",79,2187,3,169,"WindowsPhone","BB_WindowsPhone"
"10762",10763,"RadioInTheUK","Fri  01 Mar 2013 18:47:02 +0000","Twitter for Windows Phone",0,"Hi @jamescridland not a major problem but on my Windows Phone(7.5 os) there's a lot of random yellowness when browsing MUK pages",343,40996,5,400,"WindowsPhone","WindowsPhone"
