tweettopic,class
AllOperatingSystems,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,positive
Android,positive
Android,neutral
Android,negative
Android,positive
Android_BB_WindowsPhone,neutral
Android_iOS,neutral
Android_iOS,negative
Android_iOS_WindowsPhone,neutral
Android_iOS_WindowsPhone,neutral
Android_iOS_WindowsPhone,neutral
Android_iOS_WindowsPhone,neutral
Android_iOS_WindowsPhone,neutral
Android_iOS_WindowsPhone,neutral
Android_iOS_WindowsPhone,neutral
Android_WindowsPhone,negative
Android_WindowsPhone,negative
Android_WindowsPhone,negative
Android_WindowsPhone,negative
Blackberry,negative
Blackberry,neutral
Blackberry,neutral
Blackberry,neutral
Blackberry,negative
Blackberry,positive
Blackberry,negative
iOS,neutral
iOS,positive
iOS,neutral
iOS,neutral
WindowsPhone,positive
WindowsPhone,positive
WindowsPhone,negative
WindowsPhone,negative
WindowsPhone,positive
