id,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
2,89SilverBullet,Fri  01 Mar 2013 22:03:15 +0000,  HTC Peep,0,@PaulKuharsky Double Take for pc and Android. Just did it last week and it was amazingly simple.,1,4,0,29,Android,Android
19,AndroidBeat,Fri  01 Mar 2013 20:35:13 +0000,Android Beat,0,The most secure Android phone in the world (maybe) http://t.co/MxmXKdvgUQ,12778,17485,200,12421,Android,Android
20,androidclients,Fri  01 Mar 2013 19:25:03 +0000,Android Client News,0,Best Free Apps of the Week: Week 1 - Android Authority http://t.co/eYButxEKEh,13,169,1,60,Android,Android
21,androidclients,Fri  01 Mar 2013 19:35:02 +0000,Android Client News,0,APP OF THE DAY: Pure Connect review (Android) http://t.co/HBzhoGVl9q,13,171,1,60,Android,Android
23,AndroidGoss,Fri  01 Mar 2013 20:19:09 +0000,Android on Internoetics,0,@Google Field Trip updated with more sources and notification options - #Android Community : http://t.co/QkHE1S5D1M,170,11354,10,4,Android,Android
26,androids,Fri  01 Mar 2013 18:56:09 +0000,AndroidCommunity,0,Google Field Trip updated with more sources and notification options  http://t.co/qhL3wq5lQS #android,56741,15403,2520,53,Android,Android
27,androids,Fri  01 Mar 2013 20:27:24 +0000,AndroidCommunity,0,Android 4.2.2 AOSP code push now complete http://t.co/cQHuG3Sy9D #android,56746,15406,2520,53,Android,Android
28,androids,Fri  01 Mar 2013 22:06:06 +0000,AndroidCommunity,0,AT&amp;T takes a shot at T-Mobile in latest ad campaign  http://t.co/uz7ijMW97G #android,56749,15408,2519,53,Android,Android
29,androids,Fri  01 Mar 2013 23:25:07 +0000,AndroidCommunity,0,Blurring the lines: When a smartphone gets too big! http://t.co/LQWXJh03jU #android,56756,15410,2519,53,Android,Android
30,Androidheadline,Fri  01 Mar 2013 19:16:39 +0000,androidheadlines 2,0,Archos FamilyPad 2 Announced; 13-inch Tablet with Android 4.1 http://t.co/QdxGZp3PjX #android,73123,79349,2737,64257,Android,Android
31,Androidheadline,Fri  01 Mar 2013 19:30:08 +0000,androidheadlines 2,0,Post Edited: A Leaked Render and Specs Of Rumored Sony C670X Hits The Web http://t.co/HrxQuilqs2 #android,73121,79350,2737,64209,Android,Android
32,Androidheadline,Fri  01 Mar 2013 19:37:51 +0000,androidheadlines 2,0,Android 4.2.2 Rollout Completed; Nexus 7 3G and Nexus 4 Has Full Support in AOSP http://t.co/R9NMbkTcju #android,73122,79351,2737,64154,Android,Android
33,Androidheadline,Fri  01 Mar 2013 20:14:30 +0000,androidheadlines 2,0,"Details on T-Mobile's ""Uncarrier"" Approach; Will it Change the Wireless Industry for the Better? http://t.co/VO2TMqtPTW #android",73120,79355,2737,63900,Android,Android
34,Androidheadline,Fri  01 Mar 2013 21:37:09 +0000,androidheadlines 2,0,DreamWorks and Rovio Mobile Bringing 'The Croods' to Android http://t.co/CeMlCvxOs6 #android,73125,79363,2737,63452,Android,Android
35,Androidheadline,Fri  01 Mar 2013 22:51:47 +0000,androidheadlines 2,0,Post Edited: What Is HTC BlinkFeed On The HTC One? http://t.co/Z38Sm7LN1e #android,73126,79368,2737,63424,Android,Android
36,Androidheadline,Fri  01 Mar 2013 23:15:13 +0000,androidheadlines 2,0,Asana Mobile Launches on the Play Store; Enhancing Your Teams Productivity http://t.co/AwadQ0M1P8 #android,73125,79372,2737,63415,Android,Android
37,AndroidNewsTop,Fri  01 Mar 2013 19:22:16 +0000,AndroidNewsTop,0,Android 4.2.2 code now pushing to Android Open Source Project - Android Central http://t.co/MQMfhOlYLL,1698,11061,33,1097,Android,Android
38,AndroidNewsTop,Fri  01 Mar 2013 20:23:57 +0000,AndroidNewsTop,0,The most secure Android phone in the world (maybe) - CNET http://t.co/71hd1z6RGi,1698,11062,33,1100,Android,Android
40,AndroidSPIN,Fri  01 Mar 2013 23:15:11 +0000,AndroidSPIN,0,[REVIEW] a-JAYS One+ ; Looking to one-up your Android Headphone Experience - http://t.co/LoLpYuUq5Z @phrased_by_jays,21804,24322,1704,218,Android,Android
59,Wild5tar,Fri  01 Mar 2013 23:35:17 +0000,areyouanandroid.com,0,New Forum post: What Is Your Favorite Widget On Android? http://t.co/8G8SAojvq7,2695,76452,62,2294,Android,Android
60,Wild5tar,Fri  01 Mar 2013 23:36:18 +0000,areyouanandroid.com,0,Post Edited: What Is Your Favorite Widget On Android? http://t.co/UJu162LV4B,2695,76454,62,2294,Android,Android
61,Wild5tar,Fri  01 Mar 2013 23:36:19 +0000,areyouanandroid.com,0,New Forum post: What Is Your Favorite Widget On Android? http://t.co/CqOaCAJwnf,2695,76454,62,2294,Android,Android
62,Wild5tar,Fri  01 Mar 2013 23:39:57 +0000,areyouanandroid.com,0,New Forum post: What Is Your Favorite Widget On Android? http://t.co/7xyLo16mGU,2695,76455,62,2294,Android,Android
118,SergioDelSol27,Fri  01 Mar 2013 18:44:22 +0000,Big Business for Android,0,In Big Business I advanced to level 39! 19 http://t.co/QPZPC14AKF #android #gameinsight #androidgames,341,1243,1,529,Android,Android
119,SergioDelSol27,Fri  01 Mar 2013 18:44:28 +0000,Big Business for Android,0,"The ""Service center"" collection in Big Business has been completed! 52 http://t.co/QPZPC14AKF #android #gameinsight #androidgames",340,1243,1,529,Android,Android
120,JenningsMasks,Fri  01 Mar 2013 19:11:23 +0000,Big Business for Android,0,"The ""Fashionable stuff"" collection in Big Business has been completed! 97 http://t.co/3HJSsDiG7g #android #gameinsight #androidgames",4,564,0,2,Android,Android
121,renancherzman,Fri  01 Mar 2013 20:01:46 +0000,Big Business for Android,0,"The ""Farm"" collection in Big Business has been completed! 54 http://t.co/LhL7TggVoe #android #gameinsight #androidgames",45,1311,1,132,Android,Android
122,Mohaleme,Fri  01 Mar 2013 20:25:13 +0000,Big Business for Android,0,"The ""Summer cottage"" collection in Big Business has been completed! 29 http://t.co/iRRnPDk2jv #android #gameinsight #androidgames",77,404,0,370,Android,Android
123,Smujallid,Fri  01 Mar 2013 20:32:13 +0000,Big Business for Android,0,"The ""Heavy machinery"" collection in Big Business has been completed! 1 http://t.co/AzBOBZDOYT #android #gameinsight #androidgames",320,7527,1,734,Android,Android
124,cypha2305,Fri  01 Mar 2013 21:48:37 +0000,Big Business for Android,0,Get Big Business for free on Android! 73 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames,63,1691,0,274,Android,Android
125,cypha2305,Fri  01 Mar 2013 21:48:45 +0000,Big Business for Android,0,"New 2 class ""Green city"" award received! 13 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames",63,1691,0,274,Android,Android
126,cypha2305,Fri  01 Mar 2013 21:50:31 +0000,Big Business for Android,0,"New 3 class ""Builder"" award received! 95 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames",63,1692,0,274,Android,Android
127,cypha2305,Fri  01 Mar 2013 21:53:21 +0000,Big Business for Android,0,"Hurray! I've completed a ""Greening the city"" task! 30 http://t.co/Hnyo9kU6UW #android #gameinsight #androidgames",63,1694,0,274,Android,Android
128,boendoet,Fri  01 Mar 2013 22:55:32 +0000,Big Business for Android,0,"Hurray! I've completed a ""??onsolidate the progress"" task! 88 http://t.co/dMMtKJiU4d #android #gameinsight #androidgames",42,4396,2,93,Android,Android
129,SecretGemCC,Fri  01 Mar 2013 23:04:15 +0000,Big Business for Android,0,"The ""Farm"" collection in Big Business has been completed! 52 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames",124,1614,4,153,Android,Android
130,SecretGemCC,Fri  01 Mar 2013 23:04:49 +0000,Big Business for Android,0,"The ""Printing office"" collection in Big Business has been completed! 11 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames",124,1616,4,153,Android,Android
131,SecretGemCC,Fri  01 Mar 2013 23:05:03 +0000,Big Business for Android,0,"The ""Service center"" collection in Big Business has been completed! 36 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames",124,1616,4,153,Android,Android
132,SecretGemCC,Fri  01 Mar 2013 23:05:18 +0000,Big Business for Android,0,"The ""Heavy machinery"" collection in Big Business has been completed! 4 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames",124,1617,4,153,Android,Android
133,SecretGemCC,Fri  01 Mar 2013 23:05:26 +0000,Big Business for Android,0,"The ""Farm"" collection in Big Business has been completed! 40 http://t.co/HiUN9t5SXn #android #gameinsight #androidgames",124,1617,4,153,Android,Android
134,boendoet,Fri  01 Mar 2013 23:10:10 +0000,Big Business for Android,0,"The ""Summer cottage"" collection in Big Business has been completed! 1 http://t.co/dMMtKJiU4d #android #gameinsight #androidgames",42,4400,2,93,Android,Android
135,boendoet,Fri  01 Mar 2013 23:10:15 +0000,Big Business for Android,0,"The ""Service center"" collection in Big Business has been completed! 64 http://t.co/dMMtKJiU4d #android #gameinsight #androidgames",42,4400,2,93,Android,Android
299,AmiR1mA,Fri  01 Mar 2013 18:58:48 +0000,Carbon for Android,0,Carbon  the best twitter client for android.,126,8950,3,217,Android,Android
300,paww2k,Fri  01 Mar 2013 19:07:57 +0000,Carbon for Android,0,@SteRumbelowF1 It sounds like you want the customization ability of Android.,182,13270,10,405,Android,Android
301,khuhtanen,Fri  01 Mar 2013 19:15:15 +0000,Carbon for Android,0,Eww  just checked #Samsung Apps and it seems to be yet another 3rd party App Store for #Android.  I would just like open hw with pure G.,144,2300,9,196,Android,Android
302,khuhtanen,Fri  01 Mar 2013 19:17:18 +0000,Carbon for Android,0,When I bought #Samsung #Android phone I spent a day modifying it to be more like stock Android.,144,2301,9,196,Android,Android
303,khuhtanen,Fri  01 Mar 2013 19:20:43 +0000,Carbon for Android,0,I think by making stock #Android phone instead of stock #WindowsPhone s #Nokia would be in better shape.  HW seems good.,144,2302,9,196,Android,Android
306,Robi27,Fri  01 Mar 2013 20:16:22 +0000,Carbon for Android,0,@MTNzaService Help! I've tried to buy a bundle via the Android app 3 times &amp; I get a technical error but a text that the money has come off.,878,32061,24,443,Android,Android
307,HawkeyeWPR,Fri  01 Mar 2013 21:50:30 +0000,Carbon for Android,0,Android 5.0 may be based on Linux 3.8 kernel http://t.co/Ynu0N9aSMF,95,4060,2,139,Android,Android
308,Tim_Harmer,Fri  01 Mar 2013 22:01:50 +0000,Carbon for Android,0,First photosphere didn't turn out to well... Need a better phone. #android http://t.co/W5194pSDMF,34,411,0,128,Android,Android
309,anepicname,Fri  01 Mar 2013 22:08:21 +0000,Carbon for Android,0,@refrshingapathy @veernacular they have a pretty neat android app,472,22815,9,632,Android,Android
311,canuckteck,Fri  01 Mar 2013 22:46:54 +0000,Carbon for Android,0,"Google Completes Android 4.2.2 Rollout - Nexus 4 And Nexus 7 3G Now Fully Supported By AOSP 
http://t.co/E75I2ACa6f",30,968,2,77,Android,Android
312,Kelkundefor,Fri  01 Mar 2013 23:14:17 +0000,Carbon for Android,0,#Android #Root #0x http://t.co/KmLUWoMGb4,37,2171,0,37,Android,Android
314,Haloruler64,Fri  01 Mar 2013 23:25:30 +0000,Carbon for Android,0,@domigit live wallpapers. The coolest gimmick of Android since 2.1,342,47482,9,152,Android,Android
315,mrstuartoakley,Fri  01 Mar 2013 23:33:36 +0000,Carbon for Android,0,Q for you rooted android owners. I have a rooted SGS3 with CWM. I have 1 backup. Yet it's9GB. Is this normal? http://t.co/94dg0dl54t,89,2697,2,153,Android,Android
1299,__inbetweendays,Fri  01 Mar 2013 20:47:59 +0000,Echofon Android,0,@yasaikatsucurry the app is utter dog shit for Android :-(,378,24936,11,470,Android,Android
