date,followers,friends,id,listed,positiveredicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 22:03:15 +0000,1,29,2,0,positive,0,  HTC Peep,Android,4,Android,89SilverBullet,@PaulKuharsky Double Take for pc and Android. Just did it last week and it was amazingly simple.
Fri  01 Mar 2013 20:35:13 +0000,12778,12421,19,200,negative,0,Android Beat,Android,17485,Android,AndroidBeat,The most secure Android phone in the world (maybe) http://t.co/MxmXKdvgUQ
Fri  01 Mar 2013 19:25:03 +0000,13,60,20,1,negative,0,Android Client News,Android,169,Android,androidclients,Best Free Apps of the Week: Week 1 - Android Authority http://t.co/eYButxEKEh
Fri  01 Mar 2013 19:35:02 +0000,13,60,21,1,negative,0,Android Client News,Android,171,Android,androidclients,APP OF THE DAY: Pure Connect review (Android) http://t.co/HBzhoGVl9q
Fri  01 Mar 2013 20:19:09 +0000,170,4,23,10,negative,0,Android on Internoetics,Android,11354,Android,AndroidGoss,@Google Field Trip updated with more sources and notification options - #Android Community : http://t.co/QkHE1S5D1M
Fri  01 Mar 2013 18:56:09 +0000,56741,53,26,2520,neutral,0,AndroidCommunity,Android,15403,Android,androids,Google Field Trip updated with more sources and notification options  http://t.co/qhL3wq5lQS #android
Fri  01 Mar 2013 20:27:24 +0000,56746,53,27,2520,neutral,0,AndroidCommunity,Android,15406,Android,androids,Android 4.2.2 AOSP code push now complete http://t.co/cQHuG3Sy9D #android
Fri  01 Mar 2013 22:06:06 +0000,56749,53,28,2519,negative,0,AndroidCommunity,Android,15408,Android,androids,AT&amp;T takes a shot at T-Mobile in latest ad campaign  http://t.co/uz7ijMW97G #android
Fri  01 Mar 2013 23:25:07 +0000,56756,53,29,2519,negative,0,AndroidCommunity,Android,15410,Android,androids,Blurring the lines: When a smartphone gets too big! http://t.co/LQWXJh03jU #android
Fri  01 Mar 2013 19:16:39 +0000,73123,64257,30,2737,neutral,0,androidheadlines 2,Android,79349,Android,Androidheadline,Archos FamilyPad 2 Announced; 13-inch Tablet with Android 4.1 http://t.co/QdxGZp3PjX #android
Fri  01 Mar 2013 19:30:08 +0000,73121,64209,31,2737,negative,0,androidheadlines 2,Android,79350,Android,Androidheadline,Post Edited: A Leaked Render and Specs Of Rumored Sony C670X Hits The Web http://t.co/HrxQuilqs2 #android
