id,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
1,muchungwa,Fri  01 Mar 2013 19:28:31 +0000,  HTC Peep,0,RT @peter_trus U Got Her A Blackberry for her birthday And she Asks u what About the Memory Card....Just Collect the Fone back !!!!,101,1637,2,113,Android,Blackberry
39,AndroidNewsTop,Fri  01 Mar 2013 22:27:45 +0000,AndroidNewsTop,0,BlackBerry Says Z10 Appeals to Platform Newbies - All Things Digital http://t.co/ptu5QzJXQF,1698,11064,33,1099,Android,Blackberry
310,sixtina,Fri  01 Mar 2013 22:15:41 +0000,Carbon for Android,0,Oh. Das BlackBerry Team springt. #wok_wm,656,26091,39,611,Android,Blackberry
1466,HKain7,Fri  01 Mar 2013 20:54:11 +0000,Falcon Pro,0,Possibly the happiest person on earth knowing that my @BlackBerry Z10 comes in on Monday #TeamBlackBerry #BB10 #BB10Believe,179,9066,1,180,Android,Blackberry
1475,shawnmccrea,Fri  01 Mar 2013 22:38:04 +0000,Falcon Pro,0,@Pokerclack buy a BlackBerry yet? #z10sucks,101,4212,0,114,Android,Blackberry
1478,Ichi_Bear,Fri  01 Mar 2013 23:16:09 +0000,Falcon Pro,0,BlackBerry pushes out first BB10 software update with performance  camera improvements http://t.co/9Ouu9hNv6p,309,27536,2,703,Android,Blackberry
1480,joenewmans,Fri  01 Mar 2013 18:47:19 +0000,FalconPro,0,I think is my BlackBerry after 6 months of not using it http://t.co/vu3Jz3dRU7,417,17829,1,430,Android,Blackberry
1485,GodettBoy,Fri  01 Mar 2013 22:51:08 +0000,FalconPro,0,OK I'm legit considering the BlackBerry Z10 to get back on the BB scene. That's bad?,20169,5772,5,1152,Android,Blackberry
3572,cosmasnwagwu,Fri  01 Mar 2013 18:39:31 +0000,News24 Android App,0,Controversial pastor killed outside court http://t.co/KJViSFGmVF (Sent via News24 BlackBerry app),0,1,0,0,Android,Blackberry
3573,tnoelm,Fri  01 Mar 2013 18:41:49 +0000,News24 Android App,0,Florida man swallowed by sudden sinkhole http://t.co/U6qDN9o2KY (Sent via News24 BlackBerry app),13,833,0,15,Android,Blackberry
3574,Gidadoarsenal,Fri  01 Mar 2013 19:09:54 +0000,News24 Android App,0,APC donates N200m to Boko Haram victims http://t.co/6N5OvW0N0P (Sent via News24 BlackBerry app),17,81,0,190,Android,Blackberry
3575,IjayOzegbe,Fri  01 Mar 2013 19:10:47 +0000,News24 Android App,0,Court clears Jonathan for 2015 election http://t.co/agH4e4cwu9 (Sent via News24 BlackBerry app),113,4678,0,64,Android,Blackberry
3576,IjayOzegbe,Fri  01 Mar 2013 19:13:51 +0000,News24 Android App,0,Police Games: IG orders adequate security in PH http://t.co/YHMyTRsZr4 (Sent via News24 BlackBerry app),113,4679,0,64,Android,Blackberry
3577,Gidadoarsenal,Fri  01 Mar 2013 19:14:36 +0000,News24 Android App,0,NDLEA nabs drug peddlers in Kaduna http://t.co/LfWnRtWWvx (Sent via News24 BlackBerry app),17,82,0,190,Android,Blackberry
3578,IjayOzegbe,Fri  01 Mar 2013 19:14:55 +0000,News24 Android App,0,Hip hop act  Damino Damoche shot dead http://t.co/91iOQSfQaf (Sent via News24 BlackBerry app),113,4680,0,64,Android,Blackberry
3579,fhamura,Fri  01 Mar 2013 19:15:42 +0000,News24 Android App,0,The 5 rules of sexting http://t.co/Ptg8kIIX4H (Sent via News24 BlackBerry app),1,10,0,6,Android,Blackberry
3580,LizelleHeuer,Fri  01 Mar 2013 19:23:12 +0000,News24 Android App,0,Woman claims cop shop rape http://t.co/1Bujajibnl (Sent via News24 BlackBerry app),37,209,0,268,Android,Blackberry
3581,JrRoyLungsta,Fri  01 Mar 2013 19:31:15 +0000,News24 Android App,0,British Cops asked to stop using dead kids' IDs http://t.co/E8I6z3vsRT (Sent via News24 BlackBerry app),91,1807,0,231,Android,Blackberry
3582,Na3nti,Fri  01 Mar 2013 19:49:43 +0000,News24 Android App,0,Joan Rivers disses Adele http://t.co/kLOssn3TIc (Sent via News24 BlackBerry app),3,20,0,40,Android,Blackberry
3583,xolasande_debe,Fri  01 Mar 2013 19:49:57 +0000,News24 Android App,0,haibo.. Florida man swallowed by sudden sinkhole http://t.co/jm226Y2RpS (Sent via News24 BlackBerry app),79,1961,1,185,Android,Blackberry
3584,EloiseBa87,Fri  01 Mar 2013 19:50:12 +0000,News24 Android App,0,Florida man swallowed by sudden sinkhole http://t.co/XAIo1DpxgV (Sent via News24 BlackBerry app),352,894,1,752,Android,Blackberry
3585,Pierretwiet,Fri  01 Mar 2013 19:58:23 +0000,News24 Android App,0,Ivory laundering in Thailand http://t.co/0WtN9x6WYe (Sent via News24 BlackBerry app),2,41,0,9,Android,Blackberry
3586,RSApolitics,Fri  01 Mar 2013 19:59:24 +0000,News24 Android App,0,Legal advice sought over North West water http://t.co/9Rlfw3ov6O (Sent via News24 BlackBerry app),15886,15114,162,3328,Android,Blackberry
3587,jackjefferson68,Fri  01 Mar 2013 20:08:02 +0000,News24 Android App,0,@adelletwit More power cuts expected for Alberton http://t.co/3o5o72HjiQ (Sent via News24 BlackBerry app),7,61,0,21,Android,Blackberry
3588,Na3nti,Fri  01 Mar 2013 20:11:11 +0000,News24 Android App,0,7 benefits of being in love http://t.co/XzLxH1738A (Sent via News24 BlackBerry app),3,22,0,41,Android,Blackberry
3589,MboBW,Fri  01 Mar 2013 20:12:42 +0000,News24 Android App,0,"Phane? ""94kg of caterpillars seized at airport"" http://t.co/5EvhWeielO (Sent via News24 BlackBerry app)",156,2275,1,276,Android,Blackberry
3590,Syphonix91,Fri  01 Mar 2013 20:14:07 +0000,News24 Android App,0,Ex-5FM DJ Phil Wright found dead http://t.co/ChhFHHsz9N (Sent via News24 BlackBerry app),19,121,0,76,Android,Blackberry
3591,Syphonix91,Fri  01 Mar 2013 20:15:24 +0000,News24 Android App,0,SANZAR: Bulls 'try' no try http://t.co/hhGV3rBo0l (Sent via News24 BlackBerry app),19,122,0,76,Android,Blackberry
3592,MichelinaMicky,Fri  01 Mar 2013 20:17:53 +0000,News24 Android App,0,Brutality case: Suspects to stay in custody http://t.co/WEYeoMKpZu (Sent via News24 BlackBerry app),0,1,0,2,Android,Blackberry
3593,oguguo28,Fri  01 Mar 2013 20:28:45 +0000,News24 Android App,0,Who Killed These People and Why? http://t.co/0f6HJoGrGJ (Sent via News24 BlackBerry app),1,47,0,2,Android,Blackberry
3594,mmakgomomogoane,Fri  01 Mar 2013 20:30:43 +0000,News24 Android App,0,Premier pledges support for taxi driver's son http://t.co/HLkdj4WBkO (Sent via News24 BlackBerry app),5,35,0,12,Android,Blackberry
3595,marcovr93,Fri  01 Mar 2013 20:35:02 +0000,News24 Android App,0,Suspected rhino poachers stay in custody http://t.co/C0qdU1wfix (Sent via News24 BlackBerry app),34,1426,0,152,Android,Blackberry
3596,salimsani18,Fri  01 Mar 2013 20:35:17 +0000,News24 Android App,0,Court clears Jonathan for 2015 election http://t.co/HiuwrMag8q (Sent via News24 BlackBerry app),39,372,0,105,Android,Blackberry
3597,RuqRuqayya,Fri  01 Mar 2013 20:35:43 +0000,News24 Android App,0,Mars rover analysing Mars rock http://t.co/GV0zVKKKJ4 (Sent via News24 BlackBerry app),0,1,0,3,Android,Blackberry
3598,salimsani18,Fri  01 Mar 2013 20:36:44 +0000,News24 Android App,0,APC donates N200m to Boko Haram victims http://t.co/oqyIc9cbrl (Sent via News24 BlackBerry app),39,373,0,105,Android,Blackberry
3600,AbisoDanna,Fri  01 Mar 2013 20:40:23 +0000,News24 Android App,0,Court clears Jonathan for 2015 election http://t.co/tpQDhyfLBT (Sent via News24 BlackBerry app),15,130,0,131,Android,Blackberry
3601,lastdone,Fri  01 Mar 2013 20:51:15 +0000,News24 Android App,0,Kim Kardashian  Kanye moving to Paris http://t.co/l1kKDxc404 (Sent via News24 BlackBerry app),5,20,0,13,Android,Blackberry
3602,lastdone,Fri  01 Mar 2013 20:51:55 +0000,News24 Android App,0,Chris Brown: I regret attacking Rihanna http://t.co/5viK3iyWMv (Sent via News24 BlackBerry app),5,21,0,13,Android,Blackberry
3603,divaneny22,Fri  01 Mar 2013 21:08:40 +0000,News24 Android App,0,APC donates N200m to Boko Haram victims http://t.co/qpeH5P1G2F (Sent via News24 BlackBerry app),5,9,0,54,Android,Blackberry
3604,odette_roper,Fri  01 Mar 2013 21:17:57 +0000,News24 Android App,0,"Yuck!!! 

94kg of caterpillars seized at airport http://t.co/zHNUbo1U5f (Sent via News24 BlackBerry app)",498,1560,10,307,Android,Blackberry
3605,divaneny22,Fri  01 Mar 2013 21:18:45 +0000,News24 Android App,0,Giggs signs new one-year deal http://t.co/5KpQ8JJwQR (Sent via News24 BlackBerry app),5,10,0,54,Android,Blackberry
3606,FowosereOrobo,Fri  01 Mar 2013 21:54:19 +0000,News24 Android App,0,Hip hop act  Damino Damoche shot dead http://t.co/1YT3zE922A (Sent via News24 BlackBerry app),2,9,0,20,Android,Blackberry
3607,agathaos1,Fri  01 Mar 2013 21:56:27 +0000,News24 Android App,0,Okay: Court postpones sentence http://t.co/uPUBKy1eos (Sent via News24 BlackBerry app),2,2,0,12,Android,Blackberry
3608,MaKhumzee,Fri  01 Mar 2013 22:21:39 +0000,News24 Android App,0,94kg of caterpillars seized at airport http://t.co/rUcRE3HoP0 (Sent via News24 BlackBerry app),106,2969,0,281,Android,Blackberry
3609,ngdesire,Fri  01 Mar 2013 22:23:23 +0000,News24 Android App,0,Kim Kardashian  Kanye moving to Paris http://t.co/sJAGYhjuw5 (Sent via News24 BlackBerry app),1826,6385,2,1958,Android,Blackberry
3610,ngdesire,Fri  01 Mar 2013 22:24:50 +0000,News24 Android App,0,Ja Rule back in jail http://t.co/DGROCqvmBk (Sent via News24 BlackBerry app),1826,6386,2,1958,Android,Blackberry
3611,ngdesire,Fri  01 Mar 2013 22:27:10 +0000,News24 Android App,0,Rihanna granted restraining order http://t.co/VhL7ASypOQ (Sent via News24 BlackBerry app),1826,6387,2,1958,Android,Blackberry
3612,koena23,Fri  01 Mar 2013 22:46:59 +0000,News24 Android App,0,Price hikes 'threaten' food security http://t.co/fHu3GEuJxc (Sent via News24 BlackBerry app),103,2488,0,100,Android,Blackberry
4037,walid_a_kamal,Fri  01 Mar 2013 19:05:08 +0000,Plume??for??Android,0,"BlackBerry Z10 gets first software update  with 5 improvements

http://t.co/B6WEbSojsc",846,10418,3,425,Android,Blackberry
4052,konyinsol_A,Fri  01 Mar 2013 20:21:23 +0000,Plume??for??Android,0,"U sha b sold for #100 mtn ??@yoitsdeuce Cc konyinsol_A ""@Iam_volltz: Cc that ur friend you Can Sell for a blackberry charger ?""??",1360,28661,8,1080,Android,Blackberry
4056,BadSkinWavyHair,Fri  01 Mar 2013 21:01:21 +0000,Plume??for??Android,0,We got pau gasol for a blackberry trackball and some mcchickens,1341,203303,28,826,Android,Blackberry
4078,stannyHA,Fri  01 Mar 2013 23:13:35 +0000,Plume??for??Android,0,#BlackBerry 10 tablet rumour quashed  PlayBook users awaiting #BB10 update. http://t.co/5Fj6OzItFe #tech,429,47515,8,240,Android,Blackberry
6345,_DTFL,Fri  01 Mar 2013 18:42:13 +0000,TweetCaster for Android,0,I want a Blackberry,352,13065,8,486,Android,Blackberry
6350,FrontMasterFlex,Fri  01 Mar 2013 19:06:22 +0000,TweetCaster for Android,0,Son. Blackberry lemonade from Einsteins is sooooo GOOD!,561,57701,8,380,Android,Blackberry
6355,kingnugs,Fri  01 Mar 2013 19:26:13 +0000,TweetCaster for Android,0,Lol sorry b Ay's car swallowed my blackberry  just got it back. Nah I'm out now with sam nd some others  I'll holla when I get into sch.,143,861,0,112,Android,Blackberry
6360,pdon1978,Fri  01 Mar 2013 19:39:58 +0000,TweetCaster for Android,0,@BuffSausageKing @FZBones62 blackberry brandy reminds me of getting hammered at bills when I was a teen #livingtheLackawannalifestyle,73,3302,0,489,Android,Blackberry
6364,mytechood,Fri  01 Mar 2013 20:12:47 +0000,TweetCaster for Android,0,BlackBerry Z10 gets first software update  with 5 improvements http://t.co/gLLZHimPgw via @gigaom #BBRY #Blackberry #B10 #Z10,13,78,0,53,Android,Blackberry
6367,SantanaDaDawg,Fri  01 Mar 2013 20:17:40 +0000,TweetCaster for Android,0,@Tomdristhood Go flush your blackberry in the toilet! XD,221,1008,0,228,Android,Blackberry
6368,324_LadySanchez,Fri  01 Mar 2013 20:21:10 +0000,TweetCaster for Android,0,How ironic my bae been wanting a black berry &amp; his touch screen phone get stolen &amp;&amp; he end up w/ a blackberry !,785,53355,1,686,Android,Blackberry
6373,MegaMaine,Fri  01 Mar 2013 20:28:23 +0000,TweetCaster for Android,0,@_Gitanita @BAlex_Black so yall don't luh me no mo  cool I got old biddies anyway *pulls out old blackberry and scrolls throu bbm*,144,27856,2,243,Android,Blackberry
6377,itzNuksblaze,Fri  01 Mar 2013 20:55:53 +0000,TweetCaster for Android,0,@kanye_west_son eeerrrmmm....dey can block ma blackberry too wai.jux need to go to their offices,676,56826,5,582,Android,Blackberry
6380,scoffer,Fri  01 Mar 2013 21:02:04 +0000,TweetCaster for Android,0,Adventures of a BlackBerry virgin part 1 ? ma blackberry too wai.jux need to go to their,312,10861,12,512,Android,Blackberry
6381,Sirius_216,Fri  01 Mar 2013 21:02:43 +0000,TweetCaster for Android,0,Bouta go cop this blackberry tho,272,14818,1,259,Android,Blackberry
6382,TerriShana,Fri  01 Mar 2013 21:04:02 +0000,TweetCaster for Android,0,Over this phone....I want that New blackberry!!,153,9444,0,134,Android,Blackberry
6404,Rojohead_beauty,Fri  01 Mar 2013 22:54:36 +0000,TweetCaster for Android,0,No more blackberry! Thank you God! Lol.,217,6105,0,254,Android,Blackberry
6407,nexjenn,Fri  01 Mar 2013 23:05:09 +0000,TweetCaster for Android,0,@ThunderS7ruck I thought you got rid of that stupid blackberry!!,122,4511,0,48,Android,Blackberry
6818,_WSBG,Fri  01 Mar 2013 19:19:24 +0000,twicca,0,Thought bout trading for the new blackberry tho,2452,62082,80,257,Android,Blackberry
6837,OfficiallyELO,Fri  01 Mar 2013 21:32:21 +0000,Twidroyd for Android,0,Blackberry molasses....hahaaaaa,774,23359,8,1173,Android,Blackberry
6883,TommyP365,Fri  01 Mar 2013 18:40:10 +0000,Twitter for Android,0,"2007 is thrilled to hear it! #goodluckwiththat ""@BlackBerry: Less than one month until #BlackBerry10 makes its debut in the #USA.""",472,13051,11,221,Android,Blackberry
