date,followers,friends,id,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 19:28:31 +0000,101,113,1,2,neutral,0,  HTC Peep,Android,1637,Blackberry,muchungwa,RT @peter_trus U Got Her A Blackberry for her birthday And she Asks u what About the Memory Card....Just Collect the Fone back !!!!
Fri  01 Mar 2013 22:27:45 +0000,1698,1099,39,33,positive,0,AndroidNewsTop,Android,11064,Blackberry,AndroidNewsTop,BlackBerry Says Z10 Appeals to Platform Newbies - All Things Digital http://t.co/ptu5QzJXQF
Fri  01 Mar 2013 22:15:41 +0000,656,611,310,39,neutral,0,Carbon for Android,Android,26091,Blackberry,sixtina,Oh. Das BlackBerry Team springt. #wok_wm
Fri  01 Mar 2013 20:54:11 +0000,179,180,1466,1,positive,0,Falcon Pro,Android,9066,Blackberry,HKain7,Possibly the happiest person on earth knowing that my @BlackBerry Z10 comes in on Monday #TeamBlackBerry #BB10 #BB10Believe
Fri  01 Mar 2013 22:38:04 +0000,101,114,1475,0,neutral,0,Falcon Pro,Android,4212,Blackberry,shawnmccrea,@Pokerclack buy a BlackBerry yet? #z10sucks
Fri  01 Mar 2013 23:16:09 +0000,309,703,1478,2,neutral,0,Falcon Pro,Android,27536,Blackberry,Ichi_Bear,BlackBerry pushes out first BB10 software update with performance  camera improvements http://t.co/9Ouu9hNv6p
Fri  01 Mar 2013 18:47:19 +0000,417,430,1480,1,negative,0,FalconPro,Android,17829,Blackberry,joenewmans,I think is my BlackBerry after 6 months of not using it http://t.co/vu3Jz3dRU7
Fri  01 Mar 2013 22:51:08 +0000,20169,1152,1485,5,positive,0,FalconPro,Android,5772,Blackberry,GodettBoy,OK I'm legit considering the BlackBerry Z10 to get back on the BB scene. That's bad?
Fri  01 Mar 2013 18:39:31 +0000,0,0,3572,0,neutral,0,News24 Android App,Android,1,Blackberry,cosmasnwagwu,Controversial pastor killed outside court http://t.co/KJViSFGmVF (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 18:41:49 +0000,13,15,3573,0,neutral,0,News24 Android App,Android,833,Blackberry,tnoelm,Florida man swallowed by sudden sinkhole http://t.co/U6qDN9o2KY (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:09:54 +0000,17,190,3574,0,neutral,0,News24 Android App,Android,81,Blackberry,Gidadoarsenal,APC donates N200m to Boko Haram victims http://t.co/6N5OvW0N0P (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:10:47 +0000,113,64,3575,0,neutral,0,News24 Android App,Android,4678,Blackberry,IjayOzegbe,Court clears Jonathan for 2015 election http://t.co/agH4e4cwu9 (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:13:51 +0000,113,64,3576,0,neutral,0,News24 Android App,Android,4679,Blackberry,IjayOzegbe,Police Games: IG orders adequate security in PH http://t.co/YHMyTRsZr4 (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:14:36 +0000,17,190,3577,0,neutral,0,News24 Android App,Android,82,Blackberry,Gidadoarsenal,NDLEA nabs drug peddlers in Kaduna http://t.co/LfWnRtWWvx (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:14:55 +0000,113,64,3578,0,neutral,0,News24 Android App,Android,4680,Blackberry,IjayOzegbe,Hip hop act  Damino Damoche shot dead http://t.co/91iOQSfQaf (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:15:42 +0000,1,6,3579,0,neutral,0,News24 Android App,Android,10,Blackberry,fhamura,The 5 rules of sexting http://t.co/Ptg8kIIX4H (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:23:12 +0000,37,268,3580,0,neutral,0,News24 Android App,Android,209,Blackberry,LizelleHeuer,Woman claims cop shop rape http://t.co/1Bujajibnl (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:31:15 +0000,91,231,3581,0,neutral,0,News24 Android App,Android,1807,Blackberry,JrRoyLungsta,British Cops asked to stop using dead kids' IDs http://t.co/E8I6z3vsRT (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:49:43 +0000,3,40,3582,0,neutral,0,News24 Android App,Android,20,Blackberry,Na3nti,Joan Rivers disses Adele http://t.co/kLOssn3TIc (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:49:57 +0000,79,185,3583,1,neutral,0,News24 Android App,Android,1961,Blackberry,xolasande_debe,haibo.. Florida man swallowed by sudden sinkhole http://t.co/jm226Y2RpS (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:50:12 +0000,352,752,3584,1,neutral,0,News24 Android App,Android,894,Blackberry,EloiseBa87,Florida man swallowed by sudden sinkhole http://t.co/XAIo1DpxgV (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:58:23 +0000,2,9,3585,0,neutral,0,News24 Android App,Android,41,Blackberry,Pierretwiet,Ivory laundering in Thailand http://t.co/0WtN9x6WYe (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 19:59:24 +0000,15886,3328,3586,162,neutral,0,News24 Android App,Android,15114,Blackberry,RSApolitics,Legal advice sought over North West water http://t.co/9Rlfw3ov6O (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:08:02 +0000,7,21,3587,0,neutral,0,News24 Android App,Android,61,Blackberry,jackjefferson68,@adelletwit More power cuts expected for Alberton http://t.co/3o5o72HjiQ (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:11:11 +0000,3,41,3588,0,neutral,0,News24 Android App,Android,22,Blackberry,Na3nti,7 benefits of being in love http://t.co/XzLxH1738A (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:12:42 +0000,156,276,3589,1,neutral,0,News24 Android App,Android,2275,Blackberry,MboBW,Phane? "94kg of caterpillars seized at airport" http://t.co/5EvhWeielO (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:14:07 +0000,19,76,3590,0,neutral,0,News24 Android App,Android,121,Blackberry,Syphonix91,Ex-5FM DJ Phil Wright found dead http://t.co/ChhFHHsz9N (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:15:24 +0000,19,76,3591,0,neutral,0,News24 Android App,Android,122,Blackberry,Syphonix91,SANZAR: Bulls 'try' no try http://t.co/hhGV3rBo0l (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:17:53 +0000,0,2,3592,0,neutral,0,News24 Android App,Android,1,Blackberry,MichelinaMicky,Brutality case: Suspects to stay in custody http://t.co/WEYeoMKpZu (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:28:45 +0000,1,2,3593,0,neutral,0,News24 Android App,Android,47,Blackberry,oguguo28,Who Killed These People and Why? http://t.co/0f6HJoGrGJ (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:30:43 +0000,5,12,3594,0,neutral,0,News24 Android App,Android,35,Blackberry,mmakgomomogoane,Premier pledges support for taxi driver's son http://t.co/HLkdj4WBkO (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:35:02 +0000,34,152,3595,0,neutral,0,News24 Android App,Android,1426,Blackberry,marcovr93,Suspected rhino poachers stay in custody http://t.co/C0qdU1wfix (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:35:17 +0000,39,105,3596,0,neutral,0,News24 Android App,Android,372,Blackberry,salimsani18,Court clears Jonathan for 2015 election http://t.co/HiuwrMag8q (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:35:43 +0000,0,3,3597,0,neutral,0,News24 Android App,Android,1,Blackberry,RuqRuqayya,Mars rover analysing Mars rock http://t.co/GV0zVKKKJ4 (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:36:44 +0000,39,105,3598,0,neutral,0,News24 Android App,Android,373,Blackberry,salimsani18,APC donates N200m to Boko Haram victims http://t.co/oqyIc9cbrl (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:40:23 +0000,15,131,3600,0,neutral,0,News24 Android App,Android,130,Blackberry,AbisoDanna,Court clears Jonathan for 2015 election http://t.co/tpQDhyfLBT (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:51:15 +0000,5,13,3601,0,neutral,0,News24 Android App,Android,20,Blackberry,lastdone,Kim Kardashian  Kanye moving to Paris http://t.co/l1kKDxc404 (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 20:51:55 +0000,5,13,3602,0,neutral,0,News24 Android App,Android,21,Blackberry,lastdone,Chris Brown: I regret attacking Rihanna http://t.co/5viK3iyWMv (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 21:08:40 +0000,5,54,3603,0,neutral,0,News24 Android App,Android,9,Blackberry,divaneny22,APC donates N200m to Boko Haram victims http://t.co/qpeH5P1G2F (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 21:17:57 +0000,498,307,3604,10,neutral,0,News24 Android App,Android,1560,Blackberry,odette_roper,Yuck!!! 

94kg of caterpillars seized at airport http://t.co/zHNUbo1U5f (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 21:18:45 +0000,5,54,3605,0,neutral,0,News24 Android App,Android,10,Blackberry,divaneny22,Giggs signs new one-year deal http://t.co/5KpQ8JJwQR (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 21:54:19 +0000,2,20,3606,0,neutral,0,News24 Android App,Android,9,Blackberry,FowosereOrobo,Hip hop act  Damino Damoche shot dead http://t.co/1YT3zE922A (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 21:56:27 +0000,2,12,3607,0,neutral,0,News24 Android App,Android,2,Blackberry,agathaos1,Okay: Court postpones sentence http://t.co/uPUBKy1eos (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 22:21:39 +0000,106,281,3608,0,neutral,0,News24 Android App,Android,2969,Blackberry,MaKhumzee,94kg of caterpillars seized at airport http://t.co/rUcRE3HoP0 (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 22:23:23 +0000,1826,1958,3609,2,neutral,0,News24 Android App,Android,6385,Blackberry,ngdesire,Kim Kardashian  Kanye moving to Paris http://t.co/sJAGYhjuw5 (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 22:24:50 +0000,1826,1958,3610,2,neutral,0,News24 Android App,Android,6386,Blackberry,ngdesire,Ja Rule back in jail http://t.co/DGROCqvmBk (Sent via News24 BlackBerry app)
Fri  01 Mar 2013 22:27:10 +0000,1826,1958,3611,2,neutral,0,News24 Android App,Android,6387,Blackberry,ngdesire,Rihanna granted restraining order http://t.co/VhL7ASypOQ (Sent via News24 BlackBerry app)
