text,class
"""@BlackBerryNews: Retailer says #BlackBerryZ10 is outselling rivals in Canada http://t.co/qKCz2ywga7 via @globeandmail &amp; @iainmarlow ^KS""",positive
@bobtaniguchi of course he does he wants go sell the piece of shit BlackBerry 10,negative
"Haha so true""@WillyFerrell: 9 year olds have a Blackberry  an iPad  a laptop  &amp; a Facebook...When I was 9  I felt cool with my new markers.""",neutral
SBW has no choice - Botha http://t.co/fbJ5qzD9r8 (Sent via News24 BlackBerry app),neutral
@bobtaniguchi Samsung already beat blackberry they curb stomped it dummies use BlackBerry Cuz dummies are high schoolers 4 life,negative
So what will be the price for blackberry z10 after tHe budget ?,neutral
Presidency responds to Xingwana comments http://t.co/acRAnAgyej (Sent via News24 BlackBerry app),neutral
RT @BlackBerry &amp; @twitter r u listening? ur #BlackBerry10 twitter app sucks  I personally don't mind it  but it's being trashed in BB world,negative
#BackInJuniorHigh I thought BlackBerry was a good phone I was so wrong worst piece of shit phone blackberry users live for drama,negative
Gordhan explains petrol price increase http://t.co/a65lURlzXA (Sent via News24 BlackBerry app),neutral
@AyishaDiaz Time for the trusty dusty blackberry,positive
RT @iTweet_Sentap: Blackberry = Smartphone with damn battery ???,negative
UN monitors slam Zimbabwe human rights http://t.co/jA6WphPgpT (Sent via News24 BlackBerry app),neutral
Sterkspruit residents want own municipality http://t.co/3BLj6NDzaC (Sent via News24 BlackBerry app),neutral
Kanye West lashes out at Justin Timberlake http://t.co/Ol3fJneinr (Sent via News24 BlackBerry app),neutral
Kwara assembly removes college chairman http://t.co/oftyN4vBQV (Sent via News24 BlackBerry app),neutral
Xingwana hounded out of Parliament http://t.co/psth8mfLOG (Sent via News24 BlackBerry app),neutral
'Disbelief' as Anene suspect denied bail http://t.co/nSjOQs8qmt (Sent via News24 BlackBerry app),neutral
NYSC warns corpers against electoral malpractice http://t.co/MdPC0UXAlx (Sent via News24 BlackBerry app),neutral
Robbers kill dog trying to protect owner http://t.co/Vpbsm0MmjG (Sent via News24 BlackBerry app),neutral
FG plans N3bln loan for mechanised farming http://t.co/hqGAMV2tm0 (Sent via News24 BlackBerry app),neutral
The fact that @UnkownWarrior is calling me every 5 minutes asking me a new question on how to use a blackberry is killing me.... #appleuser,negative
NSCDC raids house  finds 70 Jeri-cans of petrol http://t.co/zKHcW5NenY (Sent via News24 BlackBerry app),neutral
