,,,,,,text,,,,,,c
3,3,kingpiinx,Fri  01 Mar 2013 22:37:15 +0000,  HTC Peep,0,"@ijustine in Scotland  sitting looking at my iphone in one hand and my HTC one x in the other wishing they had OS babies. ""let's get it on""",20,219,0,77,Android,iOS
1470,1470,tallyhochaps,Fri  01 Mar 2013 21:38:31 +0000,Falcon Pro,0,@TheLadeesMan will be interested to see what Ive does with iOS 7/8.,93,5681,3,114,Android,iOS
1473,1473,iPhoneman2K,Fri  01 Mar 2013 22:13:38 +0000,Falcon Pro,0,@jcordova12 easy bro. Go to http://t.co/8ny4Zi4M4z. There a banner in the middle of the site. (How iOS 6 jailbreak. ;),4074,34628,147,254,Android,iOS
1487,1487,Will3942,Fri  01 Mar 2013 23:20:08 +0000,FalconPro,0,@Dexwell_ no its not &gt;:( iOS fanboy. http://t.co/vSP8ygi1zu,19413,28024,31,370,Android,iOS
4060,4060,Smarthone1,Fri  01 Mar 2013 21:50:59 +0000,Plume??for??Android,0,"?€?@Hameed_Hemmat Hey guys. We just had our new game ""Crazy Birds Bubble Adventure"" debut in the iOS App Store.... http://t.co/ilQMdX4svq?€?",79,869,1,74,Android,iOS
6349,6349,0xShadi,Fri  01 Mar 2013 19:05:09 +0000,TweetCaster for Android,0,How To Update Jailbroken iOS 6.1 To iOS 6.1.2 http://t.co/fL2WXatW9S,370,1412,1,291,Android,iOS
6354,6354,TonyTheLunt,Fri  01 Mar 2013 19:22:37 +0000,TweetCaster for Android,0,"The iOS release of Digit Blitz has been delayed. Apparently Apple does not allow ""Quit"" buttons. Submitting new version. Stay tuned!",89,2219,2,246,Android,iOS
6389,6389,DEATHcrush325,Fri  01 Mar 2013 21:54:14 +0000,TweetCaster for Android,0,@pulsepad i love pulse and sharing all the information i can but ppl have been telling lately that when viewing from ios they get 404 error,256,13223,3,245,Android,iOS
6394,6394,SunnyJauhal,Fri  01 Mar 2013 22:18:02 +0000,TweetCaster for Android,0,Five-year-old spends $2 500 on in-app purchases - TUAW - http://t.co/GbXoQ6BKvs #Apple #iOS #technology,262,647,2,334,Android,iOS
6784,6784,_iMaC74,Fri  01 Mar 2013 22:41:47 +0000,Tweetings for Android,0,iTunes = worst bag of shit I've come across #FuckYouApple #Apple #iOS #iPhone #iPod #iPad,219,10782,10,237,Android,iOS
6831,6831,maurosuarz,Fri  01 Mar 2013 22:27:18 +0000,twicca,0,@S0phieH it actually plays nice in my S2  can't compare to the IOS version tough (don't have ipod-iphobe). Just needs an exit button.,53,2157,1,113,Android,iOS
6832,6832,tyronem,Fri  01 Mar 2013 22:43:17 +0000,twicca,0,@kpett not yet  but we do that. I recently took a crash course in iOS development. I need to get into that deeper.,1695,125016,205,1170,Android,iOS
6834,6834,tyronem,Fri  01 Mar 2013 23:14:03 +0000,twicca,0,@kpett not bad. I should have stuck with the msft stack  but I love the open source stuff. Leaving iOS will be my next big challenge.,1695,125027,205,1170,Android,iOS
