,X,user,date,source,retweets,tweet,followers,statuses,listed,friends,source_cleaned,tweettopic
6,6,kentm8,Fri  01 Mar 2013 21:47:24 +0000,A.plus for BlackBerry,0,Bet wetin consine us? RT @Azendahh: RT @LoDdaDon: #Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID ... http://t.co/lDSYjEGz3o,263,13746,0,250,BlackBerry,Android
3615,3615,MduzaVanGogh,Fri  01 Mar 2013 21:12:16 +0000,NewsForward for BlackBerry,0,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source,770,30043,4,583,BlackBerry,Android
3616,3616,MduzaVanGogh,Fri  01 Mar 2013 21:12:16 +0000,NewsForward for BlackBerry,0,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source,770,30037,4,583,BlackBerry,Android
5511,5511,The_Dp_Thief,Fri  01 Mar 2013 21:40:43 +0000,"Tower Heist Takeover, BlackBerry",0,Nd That's How 15k killed My android dream sha! *sigh*,1296,57694,3,984,BlackBerry,Android
7876,7876,aasifshabbir,Fri  01 Mar 2013 19:22:28 +0000,Twitter for BlackBerry,0,Paging all disgruntled iSheeps/android users. http://t.co/U3FjCq3JkV,91,1696,2,101,BlackBerry,Android
7929,7929,_Papi_92,Fri  01 Mar 2013 21:06:30 +0000,Twitter for BlackBerry,0,Android News Feed. The application with all your favorite sites. https://t.co/isOLrN6f2o,260,12186,1,264,BlackBerry,Android
7965,7965,paulgarner,Fri  01 Mar 2013 22:12:26 +0000,Twitter for BlackBerry,0,A week on with the Z10 and Playbook. Z10 surprises me everyday with how good it is and how little I miss Android. Everything's so easy.,154,5660,6,96,BlackBerry,Android
8007,8007,BOBODESIRES,Fri  01 Mar 2013 18:15:20 +0000,Twitter for BlackBerry??,0,Apple (AAPL) Mobile OS Market Share Slips in U.S. as Android (GOOG) Gains,79,5965,0,231,BlackBerry,Android
8129,8129,Holdsy_OneLove,Fri  01 Mar 2013 19:16:09 +0000,Twitter for BlackBerry??,0,Gettin one of those smartphones! Listening to @qbgh going  #android!,160,4433,0,144,BlackBerry,Android
8195,8195,FiezaHlim,Fri  01 Mar 2013 19:32:27 +0000,Twitter for BlackBerry??,0,Tweeting via android is much better than bb.,1864,10524,6,1276,BlackBerry,Android
8217,8217,jcfunk_skamilla,Fri  01 Mar 2013 19:35:52 +0000,Twitter for BlackBerry??,0,@Cylon2013 Thanks Man you Rock just like an android haha!,864,10235,3,1107,BlackBerry,Android
8262,8262,aseembakshi,Fri  01 Mar 2013 19:56:47 +0000,Twitter for BlackBerry??,0,@vibhurishi there's a small company called apple that might disagree with your analysis that all phones are android :),71,771,0,53,BlackBerry,Android
8299,8299,MissaLov3,Fri  01 Mar 2013 20:04:30 +0000,Twitter for BlackBerry??,0,@OnceUponAFan just downloaded your app on my android  and I love it!,805,110047,34,245,BlackBerry,Android
8305,8305,MEHcockyLonger,Fri  01 Mar 2013 20:05:39 +0000,Twitter for BlackBerry??,0,Android Life,203,3785,0,304,BlackBerry,Android
8320,8320,Thelifeofchuma,Fri  01 Mar 2013 20:09:20 +0000,Twitter for BlackBerry??,0,"Must u open his secret? @Thompson__BCP: U were NT on BB before !""@FXCKIKYZS: Android phones are damn annoying gat to go bk to bb.",1472,16593,1,618,BlackBerry,Android
8340,8340,FantaLemonHoe,Fri  01 Mar 2013 20:12:36 +0000,Twitter for BlackBerry??,0,I need a good game on android any recommendations?,1147,5410,0,1142,BlackBerry,Android
8394,8394,arzleb,Fri  01 Mar 2013 20:25:38 +0000,Twitter for BlackBerry??,0,I love #Ubuntu mobile fast and battery is better then android.,2523,19111,103,615,BlackBerry,Android
8487,8487,RShabrina,Fri  01 Mar 2013 20:53:32 +0000,Twitter for BlackBerry??,0,@H_isnotonfire ahh... My ktalk isn't effective bcs it's used in blckberry == better in android,325,15174,0,319,BlackBerry,Android
8537,8538,GentrySegun,Fri  01 Mar 2013 21:05:55 +0000,Twitter for BlackBerry??,0,"Kk would check it out.. Wanna geh a wifi router nxt week ""@ainathegreat: @GentrySegun download subway surfers cool android game""",370,2206,0,351,BlackBerry,Android
8539,8540,mrmbash,Fri  01 Mar 2013 21:06:27 +0000,Twitter for BlackBerry??,0,The most secure Android phone in the world (maybe) http://t.co/dMsQndYcOX,45,1297,0,41,BlackBerry,Android
8547,8548,msafara_,Fri  01 Mar 2013 21:08:41 +0000,Twitter for BlackBerry??,0,This Android app .. Swiftkey. Is the best keyboard for any  Android device,466,9475,0,440,BlackBerry,Android
8552,8553,msafara_,Fri  01 Mar 2013 21:09:33 +0000,Twitter for BlackBerry??,0,Soon you can upgrade that Galaxy Nexus to the latest version of android,466,9476,0,440,BlackBerry,Android
8658,8659,s2sandhu,Fri  01 Mar 2013 21:41:09 +0000,Twitter for BlackBerry??,0,IF THEY SET THAT ANDROID FREE IT WILL BE THE END OF ALL OF US!!! NOOOOOOOOOOOOOOOOO!,41,2984,0,61,BlackBerry,Android
8661,8662,Wizzle_Bee,Fri  01 Mar 2013 21:41:28 +0000,Twitter for BlackBerry??,0,"""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",968,40949,2,907,BlackBerry,Android
8663,8664,Ayflitz,Fri  01 Mar 2013 21:42:19 +0000,Twitter for BlackBerry??,0,"""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",218,5551,0,205,BlackBerry,Android
8672,8673,ivan1BARON,Fri  01 Mar 2013 21:43:21 +0000,Twitter for BlackBerry??,0,"""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",176,6150,1,304,BlackBerry,Android
8676,8677,Aceballer1,Fri  01 Mar 2013 21:43:45 +0000,Twitter for BlackBerry??,0,"Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",137,4214,0,345,BlackBerry,Android
8678,8679,Oseholic,Fri  01 Mar 2013 21:43:52 +0000,Twitter for BlackBerry??,0,":s ""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",381,3079,1,349,BlackBerry,Android
8690,8691,peaceman_721,Fri  01 Mar 2013 21:45:05 +0000,Twitter for BlackBerry??,0,"Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",93,1567,0,374,BlackBerry,Android
8692,8693,fr3sh_ish,Fri  01 Mar 2013 21:45:58 +0000,Twitter for BlackBerry??,0,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,594,15530,0,275,BlackBerry,Android
8693,8694,enisexy21,Fri  01 Mar 2013 21:46:30 +0000,Twitter for BlackBerry??,0,"Tell em""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",1081,11594,4,802,BlackBerry,Android
8708,8709,chinkichun,Fri  01 Mar 2013 21:48:37 +0000,Twitter for BlackBerry??,0,"Lol ""@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA""",92,766,1,138,BlackBerry,Android
8709,8710,Major0235,Fri  01 Mar 2013 21:48:39 +0000,Twitter for BlackBerry??,0,Tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,177,4374,0,217,BlackBerry,Android
8742,8743,SpiderExpert,Fri  01 Mar 2013 21:55:16 +0000,Twitter for BlackBerry??,0,@notadroneirl im a real human being who appreciates your spidertweet by the way  not no spider hunting robot android,209,2246,0,321,BlackBerry,Android
8750,8751,Abdul10_MUFC,Fri  01 Mar 2013 21:57:04 +0000,Twitter for BlackBerry??,0,Wow Samsung won their case against Apple I see. $1BN is a lot of money. Moving forward  Apple or Android?,1914,39779,60,1919,BlackBerry,Android
8767,8768,RShabrina,Fri  01 Mar 2013 21:59:46 +0000,Twitter for BlackBerry??,0,More saving~ buy android soon..,325,15198,0,319,BlackBerry,Android
8783,8784,Imran_Imlayhat,Fri  01 Mar 2013 22:03:52 +0000,Twitter for BlackBerry??,0,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA,729,18352,0,560,BlackBerry,Android
8822,8823,dibby_tiffy,Fri  01 Mar 2013 22:12:30 +0000,Twitter for BlackBerry??,0,@Shavii_Android oh ok,81,3784,0,78,BlackBerry,Android
