X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
6,Fri  01 Mar 2013 21:47:24 +0000,263,250,0,neutral,0,A.plus for BlackBerry,BlackBerry,13746,Android,kentm8,Bet wetin consine us? RT @Azendahh: RT @LoDdaDon: #Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID ... http://t.co/lDSYjEGz3o
3615,Fri  01 Mar 2013 21:12:16 +0000,770,583,4,positive,0,NewsForward for BlackBerry,BlackBerry,30043,Android,MduzaVanGogh,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source
3616,Fri  01 Mar 2013 21:12:16 +0000,770,583,4,positive,0,NewsForward for BlackBerry,BlackBerry,30037,Android,MduzaVanGogh,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source
5511,Fri  01 Mar 2013 21:40:43 +0000,1296,984,3,neutral,0,"Tower Heist Takeover, BlackBerry",BlackBerry,57694,Android,The_Dp_Thief,Nd That's How 15k killed My android dream sha! *sigh*
7876,Fri  01 Mar 2013 19:22:28 +0000,91,101,2,positive,0,Twitter for BlackBerry,BlackBerry,1696,Android,aasifshabbir,Paging all disgruntled iSheeps/android users. http://t.co/U3FjCq3JkV
7929,Fri  01 Mar 2013 21:06:30 +0000,260,264,1,positive,0,Twitter for BlackBerry,BlackBerry,12186,Android,_Papi_92,Android News Feed. The application with all your favorite sites. https://t.co/isOLrN6f2o
7965,Fri  01 Mar 2013 22:12:26 +0000,154,96,6,positive,0,Twitter for BlackBerry,BlackBerry,5660,Android,paulgarner,A week on with the Z10 and Playbook. Z10 surprises me everyday with how good it is and how little I miss Android. Everything's so easy.
8007,Fri  01 Mar 2013 18:15:20 +0000,79,231,0,positive,0,Twitter for BlackBerry??,BlackBerry,5965,Android,BOBODESIRES,Apple (AAPL) Mobile OS Market Share Slips in U.S. as Android (GOOG) Gains
8129,Fri  01 Mar 2013 19:16:09 +0000,160,144,0,neutral,0,Twitter for BlackBerry??,BlackBerry,4433,Android,Holdsy_OneLove,Gettin one of those smartphones! Listening to @qbgh going  #android!
8195,Fri  01 Mar 2013 19:32:27 +0000,1864,1276,6,positive,0,Twitter for BlackBerry??,BlackBerry,10524,Android,FiezaHlim,Tweeting via android is much better than bb.
8217,Fri  01 Mar 2013 19:35:52 +0000,864,1107,3,positive,0,Twitter for BlackBerry??,BlackBerry,10235,Android,jcfunk_skamilla,@Cylon2013 Thanks Man you Rock just like an android haha!
8262,Fri  01 Mar 2013 19:56:47 +0000,71,53,0,positive,0,Twitter for BlackBerry??,BlackBerry,771,Android,aseembakshi,@vibhurishi there's a small company called apple that might disagree with your analysis that all phones are android :)
8299,Fri  01 Mar 2013 20:04:30 +0000,805,245,34,positive,0,Twitter for BlackBerry??,BlackBerry,110047,Android,MissaLov3,@OnceUponAFan just downloaded your app on my android  and I love it!
8305,Fri  01 Mar 2013 20:05:39 +0000,203,304,0,neutral,0,Twitter for BlackBerry??,BlackBerry,3785,Android,MEHcockyLonger,Android Life
