,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic,class
358,fiekayusri,Thu  28 Feb 2013 08:07:10 +0000,Twitter for BlackBerry??,0,"Sir Hasni got lost along the Android presentation. We were explaining to him and he said  ""I feel old now"". LOL",424,47084,0,263,BlackBerry,Android,positive
613,mindchishiki,Thu  28 Feb 2013 08:12:34 +0000,Twitter for BlackBerry??,0,I'm glad I have an android phone that I use daily. This phone is just a spare phone... The keyboard is just very nice,0,12,0,0,BlackBerry,Android,positive
896,Fa6ume,Thu  28 Feb 2013 08:17:40 +0000,Twitter for BlackBerry??,0,@TupaczLeydii check your settings from the android itself,477,19696,0,110,BlackBerry,Android,neutral
996,gideonsango,Thu  28 Feb 2013 08:19:31 +0000,Twitter for BlackBerry??,0,"""@TheVainVillain: We all have that one friend that we believe without a doubt is part android."" I got a full one :x",130,516,1,115,BlackBerry,Android,positive
1022,Symbolliemdu,Thu  28 Feb 2013 08:20:04 +0000,UberSocial for BlackBerry,0,"Android Market RT @KapanduH: Uuuhmmm  guys  whats the Android ""App Store"" called? #Twoogle",383,18240,2,141,BlackBerry,Android,neutral
1040,kvindm,Thu  28 Feb 2013 08:20:33 +0000,Twitter for BlackBerry??,0,Real Racing 3 disponibile per #android nel Google Play Store: http://t.co/wgmo7OiRu3 #GiochiAndroid,126,3104,0,359,BlackBerry,Android,neutral
1946,Tendaijoe,Thu  28 Feb 2013 08:38:26 +0000,UberSocial for BlackBerry,0,#MobileFunFact 700 000 new Android phones are activated each day  which is way more than the number of babies being born today.,13104,168484,274,3972,BlackBerry,Android,positive
2766,Official_HBL,Thu  28 Feb 2013 08:53:26 +0000,Twitter for BlackBerry??,0,Di jual MITO A300 &gt;android ice cream sandwich n dual core  dual sim card ,237,3555,0,234,BlackBerry,Android,positive
3110,krisnaked,Thu  28 Feb 2013 09:00:05 +0000,Twitter for BlackBerry??,0,@bubbletea1006_ android rite?,578,66682,0,737,BlackBerry,Android,neutral
3194,suiker_bumz,Thu  28 Feb 2013 09:01:49 +0000,Twitter for BlackBerry??,0,Android JellyBean  is just too good in this life :),237,2043,0,234,BlackBerry,Android,positive
3391,MisLongLegs,Thu  28 Feb 2013 09:05:54 +0000,Twitter for BlackBerry??,0,@nobel_norryn Not really. I jst luv android n warid doesn't hv BIS. Hate switching lines,311,9774,1,307,BlackBerry,Android,positive
3439,MissHopeM,Thu  28 Feb 2013 09:06:40 +0000,UberSocial for BlackBerry,0,RT @Tendaijoe #MobileFunFact 700 000 new Android phones are activated each day which is way more than the number of babies being born today.,871,45969,12,542,BlackBerry,Android,positive
