X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
7,Fri  01 Mar 2013 22:24:16 +0000,489,677,1,positive,0,A.plus for BlackBerry,BlackBerry,23135,Blackberry,Killuminadi,1 month untill 1 can choose a new phone thank you god

This blackberry is stupid as fuck
153,Fri  01 Mar 2013 20:02:16 +0000,41,51,0,neutral,0,BlackBerry Empire,BlackBerry,2133,Blackberry,AlanCastell,BlackBerry Bridge Upgrades for BlackBerry OS 10 to v3.0.9.8 - http://t.co/XQ2KWI2XzL
154,Fri  01 Mar 2013 20:02:22 +0000,83,40,4,neutral,0,BlackBerry Empire,BlackBerry,2331,Blackberry,BBEmpireCanada,BlackBerry Bridge Upgrades for BlackBerry OS 10 to v3.0.9.8 - http://t.co/1yYTW7ElZV
155,Fri  01 Mar 2013 20:02:24 +0000,4847,29,121,positive,0,BlackBerry Empire,BlackBerry,34873,Blackberry,BBerryEmpire,BlackBerry Bridge Upgrades for BlackBerry OS 10 to v3.0.9.8 - http://t.co/iomPpJGXVI
156,Fri  01 Mar 2013 20:02:27 +0000,580,284,37,neutral,0,BlackBerry Empire,BlackBerry,20250,Blackberry,bbempire,BlackBerry Bridge Upgrades for BlackBerry OS 10 to v3.0.9.8 - http://t.co/thVW267taM
157,Fri  01 Mar 2013 20:02:29 +0000,59,314,1,neutral,0,BlackBerry Empire,BlackBerry,1295,Blackberry,bbempire_allan,BlackBerry Bridge Upgrades for BlackBerry OS 10 to v3.0.9.8 - http://t.co/YC1ttWbnp9
158,Fri  01 Mar 2013 22:18:12 +0000,4848,29,121,positive,0,BlackBerry Empire,BlackBerry,34874,Blackberry,BBerryEmpire,Rogers To Offer The BlackBerry Z10 For $99.99 With a Three Year Contract - http://t.co/HquVos79jo
3614,Fri  01 Mar 2013 21:06:12 +0000,770,583,4,neutral,0,NewsForward for BlackBerry,BlackBerry,30035,Blackberry,MduzaVanGogh,No...don't get it!!! RT @JustinSuave: Anyone know where I can get the BlackBerry Playbook ?
3617,Fri  01 Mar 2013 22:12:37 +0000,150,145,0,positive,0,NewsForward for BlackBerry,BlackBerry,6262,Blackberry,slimshadyonnet,1) chain  belt  g-shock  ring  dstv  flat screen  fone  air condition  cream  dvd  pant  boxers shades  cufflinks  blackberry  toilet roll 
4129,Fri  01 Mar 2013 18:43:55 +0000,114,204,0,negative,0,QuickPull,BlackBerry,956,Blackberry,Whyu_Rahmat,Restarting on my BlackBerry.
4130,Fri  01 Mar 2013 20:17:15 +0000,100,152,0,neutral,0,QuickPull,BlackBerry,2059,Blackberry,zaheerazainudin,Hello  im running a @QuickPull on my BlackBerry. wait yeah!
4131,Fri  01 Mar 2013 20:39:23 +0000,140,331,1,positive,0,QuickPull,BlackBerry,5264,Blackberry,francisforfame,Mabilis na Hila lang to. Running a @QuickPull on my BlackBerry. Be right back in a bit.
4132,Fri  01 Mar 2013 21:27:25 +0000,39,152,2,neutral,0,QuickPull,BlackBerry,109,Blackberry,luislujan80,Running a @QuickPull on my BlackBerry. Brb!
4133,Fri  01 Mar 2013 21:28:33 +0000,74,116,1,neutral,0,QuickPull,BlackBerry,1940,Blackberry,kitoyskee,Running a @QuickPull on my BlackBerry. Uno momento amigo.
4134,Fri  01 Mar 2013 21:28:35 +0000,218,83,0,neutral,0,QuickPull,BlackBerry,15056,Blackberry,gyandwi,Running a @QuickPull on my BlackBerry. Brb!
4135,Fri  01 Mar 2013 21:29:19 +0000,15,37,0,neutral,0,QuickPull,BlackBerry,265,Blackberry,gedr27,Running a @QuickPull on my BlackBerry. Brb!
4136,Fri  01 Mar 2013 21:32:20 +0000,18,28,0,neutral,0,QuickPull,BlackBerry,50,Blackberry,ffigueroa25,Running a @QuickPull on my BlackBerry. Brb!
