,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
7868,Dirks2point0,Fri  01 Mar 2013 19:06:31 +0000,Twitter for BlackBerry,0,@Y_Strahovski why didn't you get the new BlackBerry? It's awesome and way better than the iphone,31,154,0,128,BlackBerry,iOS_BB
7887,deathmanghous,Fri  01 Mar 2013 19:34:09 +0000,Twitter for BlackBerry,0,@handsomebudii no instagram on BlackBerry. Was using dads iphone 5,8,54,0,40,BlackBerry,iOS_BB
7966,AussieBerry,Fri  01 Mar 2013 22:15:33 +0000,Twitter for BlackBerry,0,It's all a little 007 isn't it? Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers? http://t.co/8h60XNjxjR,1017,13419,38,291,BlackBerry,iOS_BB
7985,wdelves,Fri  01 Mar 2013 22:52:20 +0000,Twitter for BlackBerry,0,"""@Newfielaner: Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers?: http://t.co/I97kg4bBN4"" Go BB10 Go!",37,94,0,190,BlackBerry,iOS_BB
8010,FrimleyR,Fri  01 Mar 2013 18:39:47 +0000,Twitter for BlackBerry??,0,Ppl moan about iPhone battery's  I had a blackberry and now ive got an iPhone.. iPhones are better.,971,9311,0,947,BlackBerry,iOS_BB
8015,Coughiee,Fri  01 Mar 2013 18:41:20 +0000,Twitter for BlackBerry??,0,"RT ""@JordonRuss: I have iPhone 5 should I switch to galaxy?!"" Naa slim  get a blackberry.",171,2249,1,264,BlackBerry,iOS_BB
8035,cjhall1996,Fri  01 Mar 2013 18:47:39 +0000,Twitter for BlackBerry??,0,Back to my Blackberry for now just waiting for my iPhone 5 from pops,179,3689,0,203,BlackBerry,iOS_BB
8072,kennydodson,Fri  01 Mar 2013 19:01:52 +0000,Twitter for BlackBerry??,0,Ready to switch back to team iphone after school... This blackberry is way to slow... Keyboards been cool tho,287,6228,0,162,BlackBerry,iOS_BB
8079,aimeeleighx,Fri  01 Mar 2013 19:03:52 +0000,Twitter for BlackBerry??,0,Someone come to a o2 shop with me and force me to buy a iphone. After nearly 4 years my blackberry needs to go.,81,1833,0,152,BlackBerry,iOS_BB
8090,Benfisc,Fri  01 Mar 2013 19:06:57 +0000,Twitter for BlackBerry??,0,I know #iPHONE people are jealous of me having brick breaker on my blackberry!,272,3018,1,214,BlackBerry,iOS_BB
8094,KarlBAcoustic,Fri  01 Mar 2013 19:07:48 +0000,Twitter for BlackBerry??,0,Only 8 months to go with this Blackberry piece of shite! #iphone5 #cantcomesoonenough,134,1311,0,84,BlackBerry,iOS_BB
8124,m6v33,Fri  01 Mar 2013 19:14:12 +0000,Twitter for BlackBerry??,0,Coveteousness - Iphone5s Samsung Galazy S3 BlackBerry Porsche and BlackBerry Z10. One person. You get question to answer from GOD,130,3013,0,376,BlackBerry,iOS_BB
8140,daniel_perez78,Fri  01 Mar 2013 19:17:43 +0000,Twitter for BlackBerry??,0,Since I have no iphone for a few weeks I've been using the blackberry. Add me on BBM - 331990D3 #bbm,496,5229,1,271,BlackBerry,iOS_BB
8165,Valeriaapp,Fri  01 Mar 2013 19:23:27 +0000,Twitter for BlackBerry??,0,Bye bye word blackberry..welcome word iphone:),210,4389,2,291,BlackBerry,iOS_BB
8167,BeloveDMboneni,Fri  01 Mar 2013 19:23:49 +0000,Twitter for BlackBerry??,0,"""@MsNicci_: My Blackberry .. IPhone &amp; Samsung ... MTN  Vodacom &amp; Cell C ... Lol""tjo so many?Give me the iPhone and you'll have the other 2 ???",106,7692,0,85,BlackBerry,iOS_BB
8170,PowerMyPresence,Fri  01 Mar 2013 19:24:30 +0000,Twitter for BlackBerry??,0,"Blackberry""@HungryEmarati: Dear iphone  a day without is like a year without rain.""",742,7090,0,601,BlackBerry,iOS_BB
8190,TPushpa,Fri  01 Mar 2013 19:31:01 +0000,Twitter for BlackBerry??,0,Cannot wait till my phone contract finishes so I can drop kick this piece of shit blackberry and get a Iphone!,333,5261,1,473,BlackBerry,iOS_BB
8198,AbdulAlmoree,Fri  01 Mar 2013 19:33:40 +0000,Twitter for BlackBerry??,0,iPhone and Blackberry to team up and make an iBerry.,1801,12202,2,257,BlackBerry,iOS_BB
8208,am_bobby,Fri  01 Mar 2013 19:35:01 +0000,Twitter for BlackBerry??,0,All blackberry phone available both d new&amp;used iphone4 4s n 5 samsung tablets Ps3 laptops all in stock..,1422,14108,3,796,BlackBerry,iOS_BB
8258,Jewii_Salk,Fri  01 Mar 2013 19:55:05 +0000,Twitter for BlackBerry??,0,Iphone of blackberry z10?,563,19977,1,496,BlackBerry,iOS_BB
8263,Osewuz_1,Fri  01 Mar 2013 19:56:51 +0000,Twitter for BlackBerry??,0,Iphone 5 or SIII pursuit....fuck blackberry,120,7227,1,137,BlackBerry,iOS_BB
8267,moll_mcderm,Fri  01 Mar 2013 19:57:38 +0000,Twitter for BlackBerry??,0,Can't believe I actually still have a blackberry #retro #fuckiphones #jokegetmeone #hashtagmania,434,11369,1,225,BlackBerry,iOS_BB
8268,JoeFennell_,Fri  01 Mar 2013 19:57:47 +0000,Twitter for BlackBerry??,0,Getting a iPhone 5 on Tuesday can't wait to get rid of this fucking Blackberry,349,9795,0,354,BlackBerry,iOS_BB
8271,beccaroark27,Fri  01 Mar 2013 19:58:28 +0000,Twitter for BlackBerry??,0,Ladies and gentleman I am on my way to get my iphone!!! Last tweet from the old blackberry #getreadyforemojis,357,1106,0,407,BlackBerry,iOS_BB
8278,sterli,Fri  01 Mar 2013 19:59:59 +0000,Twitter for BlackBerry??,0,No just in your dream ! RT @jagdude11: @BlackBerry does z10 have features like iPhone 5,269,7372,3,123,BlackBerry,iOS_BB
8284,Daniuuuuu,Fri  01 Mar 2013 20:01:40 +0000,Twitter for BlackBerry??,0,This blackberry is so annoying I seriously can't wait to get an iPhone or just any other phone but never a blackberry again..,471,368,0,425,BlackBerry,iOS_BB
8300,Cora_Mcphail,Fri  01 Mar 2013 20:04:51 +0000,Twitter for BlackBerry??,0,Do I get the new blackberry z10  or the Iphone 5? #decisionsdecisions,153,1179,0,146,BlackBerry,iOS_BB
8303,MickeyDonnelly7,Fri  01 Mar 2013 20:05:22 +0000,Twitter for BlackBerry??,0,The battery life of my Blackberry is absolute shocking #WantAnIphone,337,4081,0,393,BlackBerry,iOS_BB
8326,cynderoo,Fri  01 Mar 2013 20:09:55 +0000,Twitter for BlackBerry??,0,Looking at how my blackberry is set up after having a Iphone makes me LOL #looksShit,460,13021,2,800,BlackBerry,iOS_BB
8334,Rocketroxy1,Fri  01 Mar 2013 20:11:14 +0000,Twitter for BlackBerry??,0,On half an hour break with only my blackberry and can of coke to keep me company.... Times I wish I had a iphone right bout now,5316,13321,160,5366,BlackBerry,iOS_BB
8345,Blessing_Garcia,Fri  01 Mar 2013 20:13:47 +0000,Twitter for BlackBerry??,0,Blackberry's are so annoying  want an iPhone,403,7334,1,195,BlackBerry,iOS_BB
8357,katarinaxxo,Fri  01 Mar 2013 20:15:52 +0000,Twitter for BlackBerry??,0,I'm honestly ashamed to pull my blackberry out in public but I'm too broke for an iphone,330,8165,0,199,BlackBerry,iOS_BB
8358,tomsolomonactor,Fri  01 Mar 2013 20:16:11 +0000,Twitter for BlackBerry??,0,I do love my Blackberry. I've had one for 7 years  but I think I'm changing to iphone 5 on Wednesday! #decisions,206,810,1,240,BlackBerry,iOS_BB
8364,Latifa_YK,Fri  01 Mar 2013 20:17:39 +0000,Twitter for BlackBerry??,0,Iphone or blackberry?,129,3037,0,82,BlackBerry,iOS_BB
8372,Hafsa550,Fri  01 Mar 2013 20:20:05 +0000,Twitter for BlackBerry??,0,I hate my blackberry can't wait to get my iphone :D,386,1680,0,493,BlackBerry,iOS_BB
8382,Xamie_XtremE,Fri  01 Mar 2013 20:22:27 +0000,Twitter for BlackBerry??,0,"A' Alcatel  is good lmao ""@ify2sk: Lol or ""an"" blackberry RT @esqbeats:. @yarinya_: No sir get 'an' nokia""@ohaveez: Shud I get a iphone",736,5111,0,633,BlackBerry,iOS_BB
8395,aliceJLSx,Fri  01 Mar 2013 20:26:04 +0000,Twitter for BlackBerry??,0,@xTeamAriGrande_ iPhone or Blackberry?,2269,6557,4,2094,BlackBerry,iOS_BB
8396,xMyraKhanx,Fri  01 Mar 2013 20:26:06 +0000,Twitter for BlackBerry??,0,Twitters wayyy better on ur IPod/IPhone rather then your Blackberry!,1131,11711,1,1309,BlackBerry,iOS_BB
8398,iam_kamsy,Fri  01 Mar 2013 20:27:16 +0000,Twitter for BlackBerry??,0,Don't treat someone like an iPhone if they treat yu like a blackberry...,280,2994,0,499,BlackBerry,iOS_BB
8402,JozeRodders,Fri  01 Mar 2013 20:28:49 +0000,Twitter for BlackBerry??,0,I think I might finally be there! I may be the last one :) RIP blackberry... Now to decide between iPhone or Samsung. Views?,19,65,1,63,BlackBerry,iOS_BB
8411,laurennicolsonx,Fri  01 Mar 2013 20:30:59 +0000,Twitter for BlackBerry??,0,@DonnaBell_x haven't seen it  iPhone5 looks so prettty tho :) haha this will be my first and last blackberry! x,220,8932,0,357,BlackBerry,iOS_BB
8424,EdizzleG,Fri  01 Mar 2013 20:35:53 +0000,Twitter for BlackBerry??,0,@BenLawrence79 nah  yo shit on the iphone don't show up on my blackberry! #shitphone #imfunnyandiknowit,91,5012,0,531,BlackBerry,iOS_BB
8436,Le_abbot,Fri  01 Mar 2013 20:38:32 +0000,Twitter for BlackBerry??,0,Want a iphone but only just got this blackberry *sigh*,214,938,0,217,BlackBerry,iOS_BB
8438,Adamloftus95,Fri  01 Mar 2013 20:39:08 +0000,Twitter for BlackBerry??,0,@AbigailNicholds is this snap chat shizzle just for iphones and not for us blackberry wankers?,135,1406,0,202,BlackBerry,iOS_BB
8443,kathrobinson,Fri  01 Mar 2013 20:40:05 +0000,Twitter for BlackBerry??,0,Seconds away from making the big switch! Same #. Goodbye blackberry! #iphone,226,1320,2,158,BlackBerry,iOS_BB
8473,TheOpportunist_,Fri  01 Mar 2013 20:50:01 +0000,Twitter for BlackBerry??,0,"--&gt;""@PhiweMandondo: While tweeting with your blackberry.. RT @climmie9: I'm on my iPhone  bitches put their naked pictures on my iPad""",1455,29329,0,1610,BlackBerry,iOS_BB
8479,jocharlotte_,Fri  01 Mar 2013 20:50:54 +0000,Twitter for BlackBerry??,0,Typing on a blackberry is so weird when you've got used to an iphone.,515,20824,0,361,BlackBerry,iOS_BB
8494,cheryllrebecca,Fri  01 Mar 2013 20:55:07 +0000,Twitter for BlackBerry??,0,@olsxo still a blackberry man  getting iphone5 soon hopefully,179,482,0,87,BlackBerry,iOS_BB
8526,_iMS0FRESH,Fri  01 Mar 2013 21:03:00 +0000,Twitter for BlackBerry??,0,Blackberry / Iphone ???,279,15856,2,65,BlackBerry,iOS_BB
8532,LouhMusiq,Fri  01 Mar 2013 21:03:50 +0000,Twitter for BlackBerry??,0,@IdealRadioSacha @TheYoungPunx @IdealSecretary  #Twitter #Love thanQ for the Links u gave its made my Blackberry to hv gud rocking tunes,279,1810,2,1386,BlackBerry,iOS_BB
8567,RanyaFahad1,Fri  01 Mar 2013 21:12:39 +0000,Twitter for BlackBerry??,0,"""@BNOO_AMY: Blackberry needs instagram  and iPhone needs BBM.""",1067,18451,1,697,BlackBerry,iOS_BB
8580,lily_c_watts,Fri  01 Mar 2013 21:15:04 +0000,Twitter for BlackBerry??,0,I want an iphone idec if its the iphone 3 anything to get me off this fucking blackberry it shit!,485,7494,0,1486,BlackBerry,iOS_BB
8584,lovcrux,Fri  01 Mar 2013 21:15:42 +0000,Twitter for BlackBerry??,0,[X]nike []adidas []vans   [x]iphone []blackberry []samsung,202,4161,1,262,BlackBerry,iOS_BB
8588,nouf_alshaiq,Fri  01 Mar 2013 21:16:06 +0000,Twitter for BlackBerry??,0,Blackberry needs instagram  and iPhone needs BBM.,201,7602,2,81,BlackBerry,iOS_BB
8597,B_Price_,Fri  01 Mar 2013 21:18:18 +0000,Twitter for BlackBerry??,0,"""@liamdevlincasey: Just dropped my iPhone  the screen shattered and now I have a bloody thumb :("" Time to get the new Blackberry Z10.",16,48,0,72,BlackBerry,iOS_BB
8617,caitogrady,Fri  01 Mar 2013 21:29:52 +0000,Twitter for BlackBerry??,0,"""@worsleyac: i feel like gin and rum are like having and iphone and a blackberry... we all know what is what"" totally inaccurate statement",138,2227,4,289,BlackBerry,iOS_BB
8644,phoebemay11,Fri  01 Mar 2013 21:38:42 +0000,Twitter for BlackBerry??,0,So wish you could get all the aps on an iphone on a blackberry !!!,376,3381,0,864,BlackBerry,iOS_BB
8656,toxicdeldrew,Fri  01 Mar 2013 21:40:22 +0000,Twitter for BlackBerry??,0,......she has an iphone and a blackberry http://t.co/Nuqo0hpts7,1429,29240,0,142,BlackBerry,iOS_BB
8680,ashh_kas,Fri  01 Mar 2013 21:44:21 +0000,Twitter for BlackBerry??,0,peace out blackberry   hello iphone ???,81,2032,0,82,BlackBerry,iOS_BB
8681,remazkhayat,Fri  01 Mar 2013 21:44:37 +0000,Twitter for BlackBerry??,0,"""@Emi_Abdullah: Blackberry needs instagram  and iPhone needs BBM.""",583,11921,1,615,BlackBerry,iOS_BB
8695,rubaban,Fri  01 Mar 2013 21:46:41 +0000,Twitter for BlackBerry??,0,@bfanoo PSA 'And Now You Know' - iPhone Vs Blackberry  http://t.co/D7oYG2XEMA,147,2796,0,286,BlackBerry,iOS_BB
