date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 19:06:31 +0000,31,128,0,negative,0,Twitter for BlackBerry,BlackBerry,154,iOS_BB,Dirks2point0,@Y_Strahovski why didn't you get the new BlackBerry? It's awesome and way better than the iphone
Fri  01 Mar 2013 19:34:09 +0000,8,40,0,positive,0,Twitter for BlackBerry,BlackBerry,54,iOS_BB,deathmanghous,@handsomebudii no instagram on BlackBerry. Was using dads iphone 5
Fri  01 Mar 2013 22:15:33 +0000,1017,291,38,neutral,0,Twitter for BlackBerry,BlackBerry,13419,iOS_BB,AussieBerry,It's all a little 007 isn't it? Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers? http://t.co/8h60XNjxjR
Fri  01 Mar 2013 22:52:20 +0000,37,190,0,neutral,0,Twitter for BlackBerry,BlackBerry,94,iOS_BB,wdelves,"@Newfielaner: Did BlackBerry Secretly Beat Estimates and Steal iPhone Customers?: http://t.co/I97kg4bBN4" Go BB10 Go!
Fri  01 Mar 2013 18:39:47 +0000,971,947,0,positive,0,Twitter for BlackBerry??,BlackBerry,9311,iOS_BB,FrimleyR,Ppl moan about iPhone battery's  I had a blackberry and now ive got an iPhone.. iPhones are better.
Fri  01 Mar 2013 18:41:20 +0000,171,264,1,positive,0,Twitter for BlackBerry??,BlackBerry,2249,iOS_BB,Coughiee,RT "@JordonRuss: I have iPhone 5 should I switch to galaxy?!" Naa slim  get a blackberry.
Fri  01 Mar 2013 18:47:39 +0000,179,203,0,positive,0,Twitter for BlackBerry??,BlackBerry,3689,iOS_BB,cjhall1996,Back to my Blackberry for now just waiting for my iPhone 5 from pops
Fri  01 Mar 2013 19:01:52 +0000,287,162,0,positive,0,Twitter for BlackBerry??,BlackBerry,6228,iOS_BB,kennydodson,Ready to switch back to team iphone after school... This blackberry is way to slow... Keyboards been cool tho
Fri  01 Mar 2013 19:03:52 +0000,81,152,0,negative,0,Twitter for BlackBerry??,BlackBerry,1833,iOS_BB,aimeeleighx,Someone come to a o2 shop with me and force me to buy a iphone. After nearly 4 years my blackberry needs to go.
Fri  01 Mar 2013 19:06:57 +0000,272,214,1,positive,0,Twitter for BlackBerry??,BlackBerry,3018,iOS_BB,Benfisc,I know #iPHONE people are jealous of me having brick breaker on my blackberry!
Fri  01 Mar 2013 19:07:48 +0000,134,84,0,positive,0,Twitter for BlackBerry??,BlackBerry,1311,iOS_BB,KarlBAcoustic,Only 8 months to go with this Blackberry piece of shite! #iphone5 #cantcomesoonenough
Fri  01 Mar 2013 19:14:12 +0000,130,376,0,positive,0,Twitter for BlackBerry??,BlackBerry,3013,iOS_BB,m6v33,Coveteousness - Iphone5s Samsung Galazy S3 BlackBerry Porsche and BlackBerry Z10. One person. You get question to answer from GOD
Fri  01 Mar 2013 19:17:43 +0000,496,271,1,negative,0,Twitter for BlackBerry??,BlackBerry,5229,iOS_BB,daniel_perez78,Since I have no iphone for a few weeks I've been using the blackberry. Add me on BBM - 331990D3 #bbm
Fri  01 Mar 2013 19:23:27 +0000,210,291,2,neutral,0,Twitter for BlackBerry??,BlackBerry,4389,iOS_BB,Valeriaapp,Bye bye word blackberry..welcome word iphone:)
Fri  01 Mar 2013 19:23:49 +0000,106,85,0,neutral,0,Twitter for BlackBerry??,BlackBerry,7692,iOS_BB,BeloveDMboneni,"@MsNicci_: My Blackberry .. IPhone &amp; Samsung ... MTN  Vodacom &amp; Cell C ... Lol"tjo so many?Give me the iPhone and you'll have the other 2 ???
Fri  01 Mar 2013 19:24:30 +0000,742,601,0,neutral,0,Twitter for BlackBerry??,BlackBerry,7090,iOS_BB,PowerMyPresence,Blackberry"@HungryEmarati: Dear iphone  a day without is like a year without rain."
Fri  01 Mar 2013 19:31:01 +0000,333,473,1,positive,0,Twitter for BlackBerry??,BlackBerry,5261,iOS_BB,TPushpa,Cannot wait till my phone contract finishes so I can drop kick this piece of shit blackberry and get a Iphone!
Fri  01 Mar 2013 19:33:40 +0000,1801,257,2,positive,0,Twitter for BlackBerry??,BlackBerry,12202,iOS_BB,AbdulAlmoree,iPhone and Blackberry to team up and make an iBerry.
Fri  01 Mar 2013 19:35:01 +0000,1422,796,3,positive,0,Twitter for BlackBerry??,BlackBerry,14108,iOS_BB,am_bobby,All blackberry phone available both d new&amp;used iphone4 4s n 5 samsung tablets Ps3 laptops all in stock..
Fri  01 Mar 2013 19:55:05 +0000,563,496,1,neutral,0,Twitter for BlackBerry??,BlackBerry,19977,iOS_BB,Jewii_Salk,Iphone of blackberry z10?
Fri  01 Mar 2013 19:56:51 +0000,120,137,1,neutral,0,Twitter for BlackBerry??,BlackBerry,7227,iOS_BB,Osewuz_1,Iphone 5 or SIII pursuit....fuck blackberry
Fri  01 Mar 2013 19:57:38 +0000,434,225,1,positive,0,Twitter for BlackBerry??,BlackBerry,11369,iOS_BB,moll_mcderm,Can't believe I actually still have a blackberry #retro #fuckiphones #jokegetmeone #hashtagmania
Fri  01 Mar 2013 19:57:47 +0000,349,354,0,positive,0,Twitter for BlackBerry??,BlackBerry,9795,iOS_BB,JoeFennell_,Getting a iPhone 5 on Tuesday can't wait to get rid of this fucking Blackberry
Fri  01 Mar 2013 19:58:28 +0000,357,407,0,positive,0,Twitter for BlackBerry??,BlackBerry,1106,iOS_BB,beccaroark27,Ladies and gentleman I am on my way to get my iphone!!! Last tweet from the old blackberry #getreadyforemojis
Fri  01 Mar 2013 19:59:59 +0000,269,123,3,neutral,0,Twitter for BlackBerry??,BlackBerry,7372,iOS_BB,sterli,No just in your dream ! RT @jagdude11: @BlackBerry does z10 have features like iPhone 5
Fri  01 Mar 2013 20:01:40 +0000,471,425,0,positive,0,Twitter for BlackBerry??,BlackBerry,368,iOS_BB,Daniuuuuu,This blackberry is so annoying I seriously can't wait to get an iPhone or just any other phone but never a blackberry again..
Fri  01 Mar 2013 20:04:51 +0000,153,146,0,positive,0,Twitter for BlackBerry??,BlackBerry,1179,iOS_BB,Cora_Mcphail,Do I get the new blackberry z10  or the Iphone 5? #decisionsdecisions
Fri  01 Mar 2013 20:05:22 +0000,337,393,0,positive,0,Twitter for BlackBerry??,BlackBerry,4081,iOS_BB,MickeyDonnelly7,The battery life of my Blackberry is absolute shocking #WantAnIphone
Fri  01 Mar 2013 20:09:55 +0000,460,800,2,positive,0,Twitter for BlackBerry??,BlackBerry,13021,iOS_BB,cynderoo,Looking at how my blackberry is set up after having a Iphone makes me LOL #looksShit
Fri  01 Mar 2013 20:11:14 +0000,5316,5366,160,positive,0,Twitter for BlackBerry??,BlackBerry,13321,iOS_BB,Rocketroxy1,On half an hour break with only my blackberry and can of coke to keep me company.... Times I wish I had a iphone right bout now
Fri  01 Mar 2013 20:13:47 +0000,403,195,1,negative,0,Twitter for BlackBerry??,BlackBerry,7334,iOS_BB,Blessing_Garcia,Blackberry's are so annoying  want an iPhone
Fri  01 Mar 2013 20:15:52 +0000,330,199,0,positive,0,Twitter for BlackBerry??,BlackBerry,8165,iOS_BB,katarinaxxo,I'm honestly ashamed to pull my blackberry out in public but I'm too broke for an iphone
Fri  01 Mar 2013 20:16:11 +0000,206,240,1,positive,0,Twitter for BlackBerry??,BlackBerry,810,iOS_BB,tomsolomonactor,I do love my Blackberry. I've had one for 7 years  but I think I'm changing to iphone 5 on Wednesday! #decisions
Fri  01 Mar 2013 20:17:39 +0000,129,82,0,neutral,0,Twitter for BlackBerry??,BlackBerry,3037,iOS_BB,Latifa_YK,Iphone or blackberry?
Fri  01 Mar 2013 20:20:05 +0000,386,493,0,positive,0,Twitter for BlackBerry??,BlackBerry,1680,iOS_BB,Hafsa550,I hate my blackberry can't wait to get my iphone :D
