class,topic
negative,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
negative,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
negative,iOS_BB
negative,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
negative,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
negative,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
neutral,iOS_BB
positive,iOS_BB
neutral,iOS_BB
negative,iOS_BB
