,X,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic,class
8004,8004,DonnettaLavinia,Fri  01 Mar 2013 15:11:16 +0000,Twitter for BlackBerry??,0,@Ralphwjbrown she probably needs to update her OS on both the iPhone and her laptop.,308,2894,12,398,BlackBerry,iOS,neutral
8092,8092,LifeOfASnorlax,Fri  01 Mar 2013 19:07:38 +0000,Twitter for BlackBerry??,0,IOS updating my ipod. I always brick it though incase it goes weird :((((,293,16300,0,433,BlackBerry,iOS,neutral
8225,8225,biebersraycyrus,Fri  01 Mar 2013 19:37:26 +0000,Twitter for BlackBerry??,0,I CASTRBREWATHYEEEEEE OH MY GDDFDF MILEY IDS SDIC FGUCKIUNG CUTY OMHTYKLDFIO JIOLEY IOS SA REAALT OMKJUSDKL,3010,39475,2,76,BlackBerry,iOS,neutral
8229,8229,EzzShaker,Fri  01 Mar 2013 19:38:06 +0000,Twitter for BlackBerry??,0,iOS 6.1.2 hactivated and jailbroken &lt;3 http://t.co/Rkk2n18DlF,196,14983,0,261,BlackBerry,iOS,neutral
8309,8309,CodeRedShell,Fri  01 Mar 2013 20:06:37 +0000,Twitter for BlackBerry??,0,LEGO Harry Potter home console &gt; LEGO Harry Potter iOS. Its just the latter is ultra cheap.,731,54620,14,1906,BlackBerry,iOS,neutral
8591,8592,HammadAlamm,Fri  01 Mar 2013 21:17:14 +0000,Twitter for BlackBerry??,0,Updating my #iphone5 to #ios 6.1.2 and going to #jailbreak #cydia http://t.co/Cy6xzX1SYI,42,2334,0,85,BlackBerry,iOS,neutral
8684,8685,LufbraCraig,Fri  01 Mar 2013 21:44:55 +0000,Twitter for BlackBerry??,0,@save_us_DaJ and you're on iOS?,170,4097,2,438,BlackBerry,iOS,neutral
8814,8815,jemmacookx,Fri  01 Mar 2013 22:11:30 +0000,Twitter for BlackBerry??,0,@vincentdn I'm trying to download new apps&amp;update old ones and its saying I need ios or something&amp;i have no idea what to do,1382,5211,0,1334,BlackBerry,iOS,neutral
8841,8842,Trey_BenJ,Fri  01 Mar 2013 22:15:44 +0000,Twitter for BlackBerry??,0,"Go and study instead o_O ""@herb_weezy: make i go back to ma NFSMW. iOS version over PC Version""",1017,19349,1,772,BlackBerry,iOS,neutral
8915,8916,adamcallaghan82,Fri  01 Mar 2013 22:34:12 +0000,Twitter for BlackBerry??,0,@georgemcfcbrown agreed I was gonna say that might as well jailbreak on the most up to date ios.,384,1777,0,727,BlackBerry,iOS,neutral
9055,9056,ColeRhea,Fri  01 Mar 2013 23:07:15 +0000,Twitter for BlackBerry??,0,Why does everything have to have IOS 4.3 #frustrated,136,1048,0,235,BlackBerry,iOS,negative
9144,9145,JosiahUriah,Fri  01 Mar 2013 23:32:39 +0000,Twitter for BlackBerry??,0,John ios run me hot jrddd he so fake!!,63,554,0,61,BlackBerry,iOS,neutral
12717,12718,AdebiyiWavy,Fri  01 Mar 2013 22:16:11 +0000,UberSocial for BlackBerry,0,RT @Antoniasword: Every f*cking day I'm updating something on my iPhone. If it isn't an app it's the IOS software. ?? #iPhoneFiDead,169,21089,0,152,BlackBerry,iOS,negative
