class,topic
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
negative,iOS
neutral,iOS
negative,iOS
positive,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
positive,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
positive,BlackBerry
neutral,BlackBerry
positive,BlackBerry
negative,BlackBerry
neutral,BlackBerry
positive,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
positive,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
positive,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
neutral,BlackBerry
