,X,user,date,source,retweets,tweet,followers,statuses,listed,friends,source_cleaned,tweettopic
14866,14867,SandyWasfy,Fri  01 Mar 2013 21:32:35 +0000,Zomato on iOS,0,Download the Zomato app for iOS  Android  Windows Phone  Blackberry &amp; others. | http://t.co/usVhnveUl9 http://t.co/usVhnveUl9,750,3129,7,1288,iOS,AllOperatingSystems
29734,30397,SandyWasfy,Fri  01 Mar 2013 21:32:35 +0000,Zomato on iOS,0,Download the Zomato app for iOS  Android  Windows Phone  Blackberry &amp; others. | http://t.co/usVhnveUl9 http://t.co/usVhnveUl9,750,3129,7,1288,iOS,AllOperatingSystems
294,294,Geuka,Fri  01 Mar 2013 22:03:26 +0000,Business Insider on iOS,0,One Of Apple's Most Important Early Execs Is Now Helping Google With Android http://t.co/D6vvmVniSe via Business Insider,122,1037,2,425,iOS,Android
296,296,raincrowgames,Fri  01 Mar 2013 19:25:46 +0000,Camera on iOS,0,Clan Fangtastic threw an Initiation Party today adding 819 victims! http://t.co/KWdOVhpQHo #Gaming #Android http://t.co/g7tL9AByUJ,1315,833,7,2000,iOS,Android
1215,1215,Carol_Joann,Fri  01 Mar 2013 18:47:32 +0000,eBay on iOS,0,#FreeShipping #NEW #OtterBox #Defender Series #Belt #Clip #Holster for #HTC #Inspire #Android  (Black): http://t.co/ly76cJs03p #ebaymobile,382,2374,4,2001,iOS,Android
3016,3016,Gaby_arrr,Fri  01 Mar 2013 19:32:24 +0000,iOS,0,Who's good with android phones and is tryna help me out real quick?,1144,19066,0,984,iOS,Android
3086,3086,_iaaan,Fri  01 Mar 2013 22:02:18 +0000,iOS,0,*hears android ringtone* *pukes*,102,3571,0,68,iOS,Android
3108,3108,Ali__Nikole,Fri  01 Mar 2013 22:34:45 +0000,iOS,0,my grandpa got a tablet &amp; an android he's so hip,108,8561,0,266,iOS,Android
3130,3130,LillyMacSaidIt,Fri  01 Mar 2013 23:22:23 +0000,iOS,0,How do u change tha font on an android? I see ppl wit other fonts and no tha factory norm. Hep me out plzz!!,1030,23025,0,930,iOS,Android
3135,3135,ColorMeFly,Fri  01 Mar 2013 23:32:11 +0000,iOS,0,"I call this extra android phone I have my ""iPad"" cause it's so damn big lol.",1281,56337,14,573,iOS,Android
3673,3673,mobevegas,Fri  01 Mar 2013 21:50:30 +0000,Osfoora for iOS,0,What's your Lucky Number? Try our New Roulette on your mobile! WIN CASH NOW!! http://t.co/TA4JQo6B #mobile #android #Roulette #Games #casino,461,870,13,428,iOS,Android
3905,3905,ianabalos99,Fri  01 Mar 2013 17:23:29 +0000,Photos on iOS,0,The good thing about SAMSUNG Grand (Android OS) is.. |@gjaninedxd | http://t.co/Ylkseonl5D,112,988,0,98,iOS,Android
3919,3919,thomaskee13,Fri  01 Mar 2013 22:45:38 +0000,Photos on iOS,0,Hack  hack :) - Custom ROM on my Android Samsung Phone :) http://t.co/DQy9tpJIUI,200,12479,6,123,iOS,Android
4346,4346,Sensespoison,Fri  01 Mar 2013 23:34:26 +0000,Reeder on iOS,0,Japanese agency warns of information-stealing Android porn app http://t.co/utIwdDc4Ma,1697,53873,61,260,iOS,Android
4424,4424,TudorJuravlea,Fri  01 Mar 2013 19:51:03 +0000,Safari on iOS,0,GDG summoning Android developers in Bucharest http://t.co/0gDTaY14PR,526,762,18,1231,iOS,Android
