date,followers,friends,id,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 22:03:26 +0000,122,425,294,2,neutral,0,Business Insider on iOS,iOS,1037,Android,Geuka,One Of Apple's Most Important Early Execs Is Now Helping Google With Android http://t.co/D6vvmVniSe via Business Insider
Fri  01 Mar 2013 19:25:46 +0000,1315,2000,296,7,neutral,0,Camera on iOS,iOS,833,Android,raincrowgames,Clan Fangtastic threw an Initiation Party today adding 819 victims! http://t.co/KWdOVhpQHo #Gaming #Android http://t.co/g7tL9AByUJ
Fri  01 Mar 2013 18:47:32 +0000,382,2001,1215,4,neutral,0,eBay on iOS,iOS,2374,Android,Carol_Joann,#FreeShipping #NEW #OtterBox #Defender Series #Belt #Clip #Holster for #HTC #Inspire #Android  (Black): http://t.co/ly76cJs03p #ebaymobile
Fri  01 Mar 2013 19:32:24 +0000,1144,984,3016,0,negative,0,iOS,iOS,19066,Android,Gaby_arrr,Who's good with android phones and is tryna help me out real quick?
Fri  01 Mar 2013 22:02:18 +0000,102,68,3086,0,neutral,0,iOS,iOS,3571,Android,_iaaan,*hears android ringtone* *pukes*
Fri  01 Mar 2013 22:34:45 +0000,108,266,3108,0,neutral,0,iOS,iOS,8561,Android,Ali__Nikole,my grandpa got a tablet &amp; an android he's so hip
Fri  01 Mar 2013 23:22:23 +0000,1030,930,3130,0,positive,0,iOS,iOS,23025,Android,LillyMacSaidIt,How do u change tha font on an android? I see ppl wit other fonts and no tha factory norm. Hep me out plzz!!
Fri  01 Mar 2013 23:32:11 +0000,1281,573,3135,14,negative,0,iOS,iOS,56337,Android,ColorMeFly,I call this extra android phone I have my "iPad" cause it's so damn big lol.
Fri  01 Mar 2013 21:50:30 +0000,461,428,3673,13,negative,0,Osfoora for iOS,iOS,870,Android,mobevegas,What's your Lucky Number? Try our New Roulette on your mobile! WIN CASH NOW!! http://t.co/TA4JQo6B #mobile #android #Roulette #Games #casino
Fri  01 Mar 2013 17:23:29 +0000,112,98,3905,0,neutral,0,Photos on iOS,iOS,988,Android,ianabalos99,The good thing about SAMSUNG Grand (Android OS) is.. |@gjaninedxd | http://t.co/Ylkseonl5D
Fri  01 Mar 2013 22:45:38 +0000,200,123,3919,6,positive,0,Photos on iOS,iOS,12479,Android,thomaskee13,Hack  hack :) - Custom ROM on my Android Samsung Phone :) http://t.co/DQy9tpJIUI
Fri  01 Mar 2013 23:34:26 +0000,1697,260,4346,61,neutral,0,Reeder on iOS,iOS,53873,Android,Sensespoison,Japanese agency warns of information-stealing Android porn app http://t.co/utIwdDc4Ma
Fri  01 Mar 2013 19:51:03 +0000,526,1231,4424,18,neutral,0,Safari on iOS,iOS,762,Android,TudorJuravlea,GDG summoning Android developers in Bucharest http://t.co/0gDTaY14PR
Fri  01 Mar 2013 23:01:49 +0000,251,192,4426,8,neutral,0,Safari on iOS,iOS,4287,Android,paolomassa,The First ?E-Ink Android Smartphone? Unveiled  Offers 4 Weeks Battery-Life http://t.co/26DCpA3MYv
Fri  01 Mar 2013 22:04:22 +0000,1136,2000,4509,12,neutral,0,SkyGrid on iOS,iOS,6667,Android,CameronDigital,The New York Times Expands Flipboard Apps To Android &amp; Kindle Fire
http://t.co/DaraFeSwDa
Fri  01 Mar 2013 20:57:35 +0000,315,701,4726,3,neutral,0,TechCrunch on iOS,iOS,18496,Android,Mariorq14,Sony Xperia C670X Specs Leak  Suggesting A New Android Flagship To Take On The HTC One  @TechCrunch http://t.co/7oa9LQyLGx
Fri  01 Mar 2013 23:17:36 +0000,560,787,5612,30,neutral,0,Tweebie for iPhone,iOS,32689,Android,Dexwell_,@Will3942 Android is lame
Fri  01 Mar 2013 19:06:37 +0000,251,335,6090,13,neutral,0,Tweetbot for iOS,iOS,16951,Android,neapel,on that note  let?s check in with the Android crowd *opens hatch*
Fri  01 Mar 2013 19:36:03 +0000,27,75,6105,0,negative,0,Tweetbot for iOS,iOS,1337,Android,jetsetsonic,Also trying to understand how RR3 looks better on my 4S than my Nexus 7. Oh  that?s right  cause big devs don?t give two shits about Android
