text,class
#RandomTweet most of u android users cant see this ???????????????€???€???????€????????????????????????????????????????????????????????????????????????????????€??€????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,negative
Post a review on Apples App Store saying the Android version (made by the same people) is much superior  and it never shows up?,positive
I'm watching Don't Stop The Party by Pitbull ft. TJR on @VEVO for Android. http://t.co/azj20XVQNj,neutral
@JoseYumshayin that's gay if they don't have it for android,positive
@iDipDaily yeah buy a iPod ???? or an android,neutral
@producedbyCoop now you know I will always and forever be team android,positive
@Waiting4Larry Kik is a popular chat for android and apple :) is like what's app but this app is free :),neutral
Good news for Android fans - BBC Sports App available now! http://t.co/spxnfGCWmp,positive
@GarrettHubris @jorelizlang well you have an android ... You don't #hawtjordan http://t.co/LlS8fisY4U,neutral
"Android app for @MoheakRadio to listen to @AdamAOfficial interview at 10am GMT 
https://t.co/GFjdW1QPIf..",neutral
Best way to ensure a boy won't take you out on a second date: Install the tamagotchi app on his android phone while he is in the restroom,neutral
I?€?m pretty convinced the next apple devices will target cheap &amp; tiny  less then 200$ to kill android?€?s cheap market share dominance,neutral
@NickyVeitch @gladman82 is about to throw his android up against a wall! #grassmaynotbegreener,negative
@Kay_Fin forreals.  I miss my android :(,positive
@OhMyDream I think there's an android version  I'm not sure,neutral
I?€?ve been challenge by a friend of mine to you an android phone for one week. He believes I can?€?t do it. I may take him up on the challenge.,neutral
Android design process!  http://t.co/8XOeNd2KlK,neutral
Sadly ?€?mechanical meat?€? isn?€?t minced android (or electric sheep) http://t.co/i3pELU4clZ,neutral
@purple_ninja_1D already available for some android devices. Search for it on Google Play. More devices coming in future updates.,neutral
@bangbong2000 @abrahamrohan @effiefanai for 25k i'd suggest HTC..best sftware/hrdwre integration in android i'd say,neutral
?€?@OG_MANDOWN: @615Chyna HOW I MAKE PICS LIKE YOUR AVI??€? Download photogrid from  Android play/App store.,neutral
My awesome parents @dougnkelly &amp; @jan_kelly playing on their #iPad together. They also have a #Android tablet http://t.co/uJPEnvEX12,neutral
@Fina_is4u I'm dedicated to Apple... Android annoys me...,negative
Tizen 2.0 OS based on Linux (also Android) is being supported by Cellphone cos  incl Samsung  as a counterweight to Google and Apple OS's.,neutral
I'm watching Dreamin' by Young Jeezy ft. Keyshia Cole on @VEVO for Android. http://t.co/Yc4mWGbEo8,neutral
Apple CEO Tim Cook on Android growth: 'Success is not making the most' http://t.co/jqS210TReD,neutral
@windylincs Don't worry we have those too. Downloads for android are on our website http://t.co/XKnwwnbTsy Do you want pdf for your site?,neutral
Only 1000 attempts remaining... #android http://t.co/gmfdqcrpbL,neutral
@AlbeeHuong_ no way android is so complicated. Why don't you want a S4? It's coming our btw.,neutral
Google has reasons to worry. Android brand is almost dead google kill it.I foresee a galaxyOS (android branch) soon. http://t.co/BYecQdullZ,negative
@sabrina_moraga stupid android,negative
I'm watching Aston Martin Music by Rick Ross ft. Chrisette Michele &amp; Drake on @VEVO for Android. http://t.co/vBu8CqVvwK,neutral
@2SMOOTH_LEEZY lmao android probz,neutral
@bashaa @_maryambee (even though Android was stolen from Steve jobs' board meetings),neutral
Bitch ass android,negative
"Mark Dillon from Jolla on stage - differentiating with devices  android devices ""all the same"" #mwc13",neutral
I'm watching My President by Young Jeezy ft. Nas on @VEVO for Android. http://t.co/zCFUvTcL3O,neutral
I'm watching Back To The Crib by Juelz Santana ft. Chris Brown on @VEVO for Android. http://t.co/Y0sGsM2UYY,neutral
@LeahamarieMF with an app called iMajicam Pro. I'm sure they have something like that for Android as well. You'll just have to search.,neutral
#Photoshop Touch arrive sur les smartphones #Android http://t.co/2NIBKQeetQ,neutral
@WhatTheBit @BenedictEvans they can gradually move to Tizen or other suitable system which can easily boot android apps. And make own store.,neutral
The #android version of #thefunkybutton is now on #google play :-),neutral
?€?@Gizmodo: An e-ink Android would only need charging once a week: http://t.co/YhO6pQdUL5?€? &lt;- Michael Scrips comment @ the end. ????????????,positive
Also - I?€?m not bashing android  I?€?m just highlighting that they tap into a different consumer market completely and some models are plasticy,neutral
Why when I had an android I didn't know about the dam emoji app? Lol,neutral
Android Jelly Bean hits 13.6% adoption  ICS peaks at 29%  but Gingerbread still on over 45% of devices http://t.co/dAuYfyeHeX,neutral
Ok. Thats it. Done with android.,negative
?€?@Vettterr: Why when I had an android I didn't know about the dam emoji app? Lol?€? slackin,neutral
Google working on experimental 3.8 Linux kernel for Android http://t.co/30IROkfW2y #android (via @androidcentral),neutral
I'm watching Who Dat by Young Jeezy ft. Shawty Redd on @VEVO for Android. http://t.co/Ev6fR0oyqC,neutral
I'm watching Without You (Sahel Hunger Crisis) by David Guetta ft. Usher on @VEVO for Android. http://t.co/jYU4lMzXjZ,neutral
@MickyGOhMyDays no they're not. Android is shit. Sorry ???,negative
