id,user,date,source,retweets,tweet,followers,statuses,listed,friends,source_cleaned,tweettopic
110,stuartmoss,Fri  01 Mar 2013 21:13:14 +0000,Beerticker on iOS,0,Just ticked Saltaire Blackberry Cascade on my Beerticker app. Download FREE and join in. http://t.co/OrWFYh5GVC,413,9438,8,275,iOS,Blackberry
117,Geisterbild,Fri  01 Mar 2013 22:45:13 +0000,BGR on iOS,0,Nokia CEO issues warning to BlackBerry: ?€?I?€?m very interested in BlackBerry customers?€? http://t.co/e4kFKDcJmF,265,2319,5,650,iOS,Blackberry
297,TadShafer,Fri  01 Mar 2013 20:50:48 +0000,Camera on iOS,0,An shmactor prepares. One week until Lord Blackberry's Apocalypse #puppetfactory @illyrianplayers http://t.co/8tWnqJe3XG,94,286,0,402,iOS,Blackberry
1493,Danijel_Stanic,Fri  01 Mar 2013 20:49:59 +0000,Feeddler RSS Reader Pro on iOS,0,BlackBerry 10 software updated to 10.0.10.85: Top 5 Improvements http://t.co/ZUvGjj8BAP,408,3996,18,696,iOS,Blackberry
1914,AkshatSharma_,Fri  01 Mar 2013 21:16:43 +0000,Google Currents on iOS,0,BlackBerry Issues First Software Update To BlackBerry 10 http://t.co/caiDFlKlhT,207,795,0,555,iOS,Blackberry
2998,_nospacesplease,Fri  01 Mar 2013 18:43:53 +0000,iOS,0,Blackberry is back article is a little preemptive.. Is it even out in the US yet?,86,8131,1,73,iOS,Blackberry
3009,_yayallie,Fri  01 Mar 2013 19:12:10 +0000,iOS,0,laughing bc blackberry just emailed me..................,232,8270,0,149,iOS,Blackberry
3012,JaySanchz,Fri  01 Mar 2013 19:26:24 +0000,iOS,0,Why am I still receiving Blackberry updates? I haven't had a Blackberry since 2011! I forgot they even existed.,515,4860,3,215,iOS,Blackberry
3013,chickie4man,Fri  01 Mar 2013 19:27:17 +0000,iOS,0,Just got a email from black blackberry lolol,131,4015,0,124,iOS,Blackberry
3014,emillyy__0,Fri  01 Mar 2013 19:28:51 +0000,iOS,0,Lolololololol why did I just get an email from blackberry....? I got rid of that damn phone a year ago...,544,24160,2,870,iOS,Blackberry
3017,notdiorhomie,Fri  01 Mar 2013 19:32:39 +0000,iOS,0,That blackberry z10 kind of nice.,433,21635,1,421,iOS,Blackberry
3020,jasbella_,Fri  01 Mar 2013 19:36:19 +0000,iOS,0,Why am I getting emails from blackberry?,293,18106,0,264,iOS,Blackberry
3022,munozjose,Fri  01 Mar 2013 19:54:03 +0000,iOS,0,I shaded #blackberry10 on twitter all day yesterday and today I received an email from Blackberry. Big Brother is watching.,216,7197,3,97,iOS,Blackberry
3031,Entityofvance,Fri  01 Mar 2013 20:14:50 +0000,iOS,0,The blackberry zen looks pretty cool. I think it should have a keyboard still doe,229,12891,0,238,iOS,Blackberry
3034,BaileyCarroll16,Fri  01 Mar 2013 20:21:11 +0000,iOS,0,Just got an email for a blackberry.... They still make those? #shittiestphoneofmylife,610,14146,0,321,iOS,Blackberry
3039,kayaknox,Fri  01 Mar 2013 20:34:55 +0000,iOS,0,never get a blackberry,1067,47299,6,628,iOS,Blackberry
3041,lilpennella,Fri  01 Mar 2013 20:37:32 +0000,iOS,0,New blackberry comin out this bitch might become team blackberry again,202,8596,0,251,iOS,Blackberry
3042,COOLESTDUDE81,Fri  01 Mar 2013 20:41:31 +0000,iOS,0,A lot of people these days have blackberry or apple phones and I just wanna know  are these phones or a fruit salad?! Thank you.,27,1001,0,208,iOS,Blackberry
3048,Kaatyyy_,Fri  01 Mar 2013 20:53:23 +0000,iOS,0,Just for an email from blackberry.. LOL. I haven't owned one of those I'm years!!! ????,346,19322,1,247,iOS,Blackberry
3049,DJSPRINTS,Fri  01 Mar 2013 20:57:25 +0000,iOS,0,When this kid leaves his blackberry z10 on the bus and leaves to get off .. Damn right I took it !! JK gave it back to him #goodguy,402,26100,6,224,iOS,Blackberry
3055,TelliahDonjelle,Fri  01 Mar 2013 21:01:26 +0000,iOS,0,They got a new blackberry guys ! #Needit ????,1665,55114,5,1413,iOS,Blackberry
3076,WillKennard,Fri  01 Mar 2013 21:42:40 +0000,iOS,0,I can't wait for my new Blackberry 10! http://t.co/uCqOXYJpI8,964,5175,43,668,iOS,Blackberry
3077,Tatuch_Me,Fri  01 Mar 2013 21:46:52 +0000,iOS,0,Hmm I see BlackBerry is tryna make that come back,315,6795,0,166,iOS,Blackberry
3079,jfiveresearch,Fri  01 Mar 2013 21:47:18 +0000,iOS,0,Canadian Government Issues BlackBerry Security Warning http://t.co/7EOrlMjHVA,98,1287,3,273,iOS,Blackberry
3095,JasmineSotoo,Fri  01 Mar 2013 22:09:20 +0000,iOS,0,I want the blackberry 1O !!!! ????,238,13481,0,144,iOS,Blackberry
3102,JoelPressuriZe,Fri  01 Mar 2013 22:21:01 +0000,iOS,0,I want a blackberry  simply because I've never had it. Yes  just because of that lol.,121,2438,2,94,iOS,Blackberry
3120,GregMacLennan,Fri  01 Mar 2013 22:50:14 +0000,iOS,0,I'm actually still mad at the fact that my blackberry got stolen at my OWN party.,99,2516,1,98,iOS,Blackberry
3132,mrvllshr,Fri  01 Mar 2013 23:26:53 +0000,iOS,0,craving for this. BlackBerry Z10 Review | Engadget Hands On http://t.co/kszd5noq0i,245,16632,1,29,iOS,Blackberry
3519,iDManzz,Fri  01 Mar 2013 19:13:16 +0000,NDTV on iOS,0,BlackBerry releases first OTA software update for BlackBerry 10. http://t.co/oUORPqWxG3 http://t.co/Zy6tdPh7bO,16,164,0,54,iOS,Blackberry
3520,VikramAtDell,Fri  01 Mar 2013 23:15:04 +0000,NDTV on iOS,0,BlackBerry releases first OTA software update for BlackBerry 10 http://t.co/QYDQ6oJkxe http://t.co/5HIOWg2Swj,37,391,0,64,iOS,Blackberry
3671,SNoriegaaa,Fri  01 Mar 2013 20:05:03 +0000,Osfoora for iOS,0,Damn blackberry outdid itself with this Z10,182,18494,20,57,iOS,Blackberry
3906,skasyap,Fri  01 Mar 2013 18:23:00 +0000,Photos on iOS,0,Testing Blackberry Z10.... Blackberry completely lost the game on how to design a new OS for Touch UI http://t.co/ytSzYlp5JF,48,96,0,88,iOS,Blackberry
3909,popularjap,Fri  01 Mar 2013 19:31:13 +0000,Photos on iOS,0,@artathepoptarta I hate my parents because they won't get me a blackberry http://t.co/eqWAnnqeZi,524,13682,4,115,iOS,Blackberry
3910,yack_yack_yack,Fri  01 Mar 2013 20:19:22 +0000,Photos on iOS,0,G-free blackberry &amp; blueberry cobbler in the oven!  Yum!! http://t.co/ODoSQpswuc,100,89,1,402,iOS,Blackberry
3911,LuluAlMulhim,Fri  01 Mar 2013 20:21:27 +0000,Photos on iOS,0,Blackberry q10   Amazing ???? http://t.co/8r1fjKzZe3,217,3523,2,172,iOS,Blackberry
3915,SmoshyShora,Fri  01 Mar 2013 21:12:07 +0000,Photos on iOS,0,OMG BlackBerry Days ! *2011 Good Old Days :( http://t.co/Uo0NjWdtSo,1052,25845,3,808,iOS,Blackberry
3918,ColeSpehar,Fri  01 Mar 2013 21:59:47 +0000,Photos on iOS,0,RIP blackberry http://t.co/wNv5h1Gslh,60,465,0,116,iOS,Blackberry
4342,drbuk,Fri  01 Mar 2013 19:51:27 +0000,Reeder on iOS,0,Nokia CEO issues warning to BlackBerry: ?€?I?€?m very interested in BlackBerry customers?€?....yawn http://t.co/YZxz5VJnUH,3029,62261,124,64,iOS,Blackberry
4425,jamesonvacation,Fri  01 Mar 2013 22:00:16 +0000,Safari on iOS,0,Blackberry 10!!! http://t.co/1WHX9MlL6Z,51,60,2,330,iOS,Blackberry
4510,Ed_A_Gonzalez,Fri  01 Mar 2013 22:41:35 +0000,SkyGrid on iOS,0,"BlackBerry 10 Software Updated Before U.S. Users See First Draft
http://t.co/EelHydJpzH",12,510,0,25,iOS,Blackberry
4511,Ed_A_Gonzalez,Fri  01 Mar 2013 23:08:18 +0000,SkyGrid on iOS,0,"BlackBerry 10 software update with better battery life for Z10 rolling out
http://t.co/gZwygy93nT",12,512,0,25,iOS,Blackberry
5495,micah_ek,Fri  01 Mar 2013 20:43:36 +0000,The Verge??? on iOS,0,BlackBerry pushes out first BB10 software update with performance  camera improvements http://t.co/uugj9JsUcM,118,3707,1,201,iOS,Blackberry
6082,panc88,Fri  01 Mar 2013 18:56:49 +0000,Tweetbot for iOS,0,@TesTeq I was more referring to the number of developers  blackberry is not attractive hence is DOOMED,88,2057,3,82,iOS,Blackberry
6098,SenorSuave_,Fri  01 Mar 2013 19:27:07 +0000,Tweetbot for iOS,0,The new blackberry look sick AF,1464,46784,8,881,iOS,Blackberry
6102,will_VS_chris,Fri  01 Mar 2013 19:30:41 +0000,Tweetbot for iOS,0,Wait did that shit say tweeted from blackberry?€?. Wtf,569,31902,0,853,iOS,Blackberry
6117,uCanCallMeTuks,Fri  01 Mar 2013 19:55:34 +0000,Tweetbot for iOS,0,"hahahahaha!! ?€? @wati_: So its BAPS? RT @Chanel_kt: MTN officially has the ""Blackberry Absolute Plan Service"" instead of BIS?€?",378,17600,1,329,iOS,Blackberry
6127,sterli,Fri  01 Mar 2013 20:05:37 +0000,Tweetbot for iOS,0,I?€?ve Blackberry but I never remind my pin !!!,269,7375,3,123,iOS,Blackberry
6129,sterli,Fri  01 Mar 2013 20:07:21 +0000,Tweetbot for iOS,0,I?€?ve BlackBerry but I?€?ll never remind my PIN !,269,7375,3,123,iOS,Blackberry
6158,pettybooshwah,Fri  01 Mar 2013 20:52:28 +0000,Tweetbot for iOS,0,@_shireenahmed_ It?€?s really not about winning or losing  Blackberry?€?s incapable of shaking off past failures with Zed10. Insufficient. Dead.,1207,160083,61,220,iOS,Blackberry
6169,ace7774,Fri  01 Mar 2013 21:03:15 +0000,Tweetbot for iOS,0,@Vodacom4u @BlackBerry_ZA #4UFRIDAY #Z10 #Q10 Slimshock,64,1251,0,370,iOS,Blackberry
6173,stwoball,Fri  01 Mar 2013 21:09:31 +0000,Tweetbot for iOS,0,@acoyne In Deadline  the Blackberry was on the bumper of a cab.,65,1479,5,68,iOS,Blackberry
6174,Kage_99,Fri  01 Mar 2013 21:10:14 +0000,Tweetbot for iOS,0,@NHL_BlackBerry ketchup chips! :-),469,11342,6,776,iOS,Blackberry
6175,shan98654218,Fri  01 Mar 2013 21:12:33 +0000,Tweetbot for iOS,0,@Vodacom4u @BlackBerry_ZA #4UFRIDAY #Z10 #Q10 Berrylicious,61,1250,1,421,iOS,Blackberry
6181,honeypot1009,Fri  01 Mar 2013 21:17:38 +0000,Tweetbot for iOS,0,@Vodacom4u @BlackBerry_ZA #4UFRIDAY #Z10 #Q10 Blaze,61,1176,0,378,iOS,Blackberry
6195,SSBhogal,Fri  01 Mar 2013 21:40:30 +0000,Tweetbot for iOS,0,Has anyone bought the new #Blackberry? Thoughts? #BB10,377,4203,13,709,iOS,Blackberry
6208,SammyWalrusIV,Fri  01 Mar 2013 22:04:17 +0000,Tweetbot for iOS,0,None of this money talk matters though if the ?€?story?€? doesn?€?t change. ?€?Apple is the new Blackberry?€? is trumping ?€?look at Apple?€?s cash?€?.,4552,12511,243,29,iOS,Blackberry
6210,JussieHay,Fri  01 Mar 2013 22:14:48 +0000,Tweetbot for iOS,0,"I really want a blackberry z10




To throw at a wall..",1204,25540,12,947,iOS,Blackberry
6237,frankgerhardt,Fri  01 Mar 2013 23:00:15 +0000,Tweetbot for iOS,0,@DuncanEvemy hey  we want somebody from Blackberry to talk at @MobileForumStuttgart. can you help? http://t.co/ISyVIkSS5M,276,485,16,232,iOS,Blackberry
6240,imogenbirley,Fri  01 Mar 2013 23:02:26 +0000,Tweetbot for iOS,0,@upulie will be attempting to make myself go blackberry picking today. Then jam &amp; @diva_ex_machina blackberry pie #motivation,1596,26169,61,1419,iOS,Blackberry
6259,pederson,Fri  01 Mar 2013 23:22:59 +0000,Tweetbot for iOS,0,Latest BlackBerry Z10 update made the fluidity and stability of the overall operating system much better. Update if you got ?€?em!,264,7037,6,115,iOS,Blackberry
6263,AsianBarbie345,Fri  01 Mar 2013 23:27:00 +0000,Tweetbot for iOS,0,???????????? made this off ya blackberry! Aww  RT @Selfmade345: @AsianBarbie345 @shireneaintshit @theonlykingofgt @_kareemjr http://t.co/H2nJQlT9DN,1169,53030,12,601,iOS,Blackberry
6267,_MzMichelle,Fri  01 Mar 2013 23:36:53 +0000,Tweetbot for iOS,0,@cori_smith23 it?€?s cause you have a blackberry,114,19856,2,74,iOS,Blackberry
6423,pattyeludwig,Fri  01 Mar 2013 19:10:44 +0000,TweetCaster for iOS,0,@drkapprentice wow  how many of you are going? I'd hate to be Blackberry when you start asking questions,44,3611,2,80,iOS,Blackberry
6424,GreasyyChoirboy,Fri  01 Mar 2013 19:18:51 +0000,TweetCaster for iOS,0,RIP shitty Blackberry ????,112,1556,0,109,iOS,Blackberry
9169,LeeRender,Fri  01 Mar 2013 17:39:23 +0000,Twitter for iPad,0,@gatesheadgeek Managed to rescues old blackberry by the os is a bid dogy,193,36907,1,139,iOS,Blackberry
9171,siobhanleee,Fri  01 Mar 2013 18:43:21 +0000,Twitter for iPad,0,Omg turned my blackberry on for the first time in ages,896,22378,0,840,iOS,Blackberry
9176,tomtomroussel,Fri  01 Mar 2013 18:57:40 +0000,Twitter for iPad,0,I can't believe I'm saying this but I kinda miss my blackberry,240,794,0,429,iOS,Blackberry
9177,JFShaw9,Fri  01 Mar 2013 19:02:23 +0000,Twitter for iPad,0,Great got no phone  shitty blackberry! ????,118,341,0,104,iOS,Blackberry
9178,Butterboy_CLE,Fri  01 Mar 2013 19:02:32 +0000,Twitter for iPad,0,She just said u should finish her blackberry,209,1447,0,157,iOS,Blackberry
9180,james__hawkins,Fri  01 Mar 2013 19:07:33 +0000,Twitter for iPad,0,@Milffy3 blackberry wanker aren't I?;),1718,3627,1,1408,iOS,Blackberry
9182,stay_Au79,Fri  01 Mar 2013 19:10:58 +0000,Twitter for iPad,0,They got a new blackberry! It's sexy ????,640,26783,1,574,iOS,Blackberry
9183,beccamckernan,Fri  01 Mar 2013 19:11:40 +0000,Twitter for iPad,0,Hey  hey blackberry? KNIFE'. http://t.co/BXqOIwSuMO,44,22,0,84,iOS,Blackberry
9184,YaraOtaibii,Fri  01 Mar 2013 19:12:06 +0000,Twitter for iPad,0,I just had to update my blackberry :) !!,98,9879,0,75,iOS,Blackberry
9186,issyyxo,Fri  01 Mar 2013 19:14:02 +0000,Twitter for iPad,0,So pissed off  why is someone low enough to keep my blackberry curve #desperate,717,5724,0,623,iOS,Blackberry
9190,Mackkkers,Fri  01 Mar 2013 19:20:31 +0000,Twitter for iPad,0,My shit-berry blackberry stresses me out,112,185,0,162,iOS,Blackberry
9193,ItsMyBieberLove,Fri  01 Mar 2013 19:24:56 +0000,Twitter for iPad,0,My phone isn't working  omg hate blackberry's,1514,1752,0,1629,iOS,Blackberry
9194,babycuzima_THUG,Fri  01 Mar 2013 19:25:28 +0000,Twitter for iPad,0,ohkaaaaaay Blackberry . @_Dseay @_Ford11 ???????? http://t.co/p39h8uDOhW,903,63819,1,428,iOS,Blackberry
9197,Jess_Fenn_x,Fri  01 Mar 2013 19:26:54 +0000,Twitter for iPad,0,@amybradley_xox haha you still have the other blackberry people ????,176,368,0,404,iOS,Blackberry
9198,ailishwtf,Fri  01 Mar 2013 19:26:59 +0000,Twitter for iPad,0,I hate my blackberry more than anything in the world,144,318,0,119,iOS,Blackberry
9199,scotlandy8,Fri  01 Mar 2013 19:27:49 +0000,Twitter for iPad,0,@Barrymc5 @johngtrainor my blackberry is on orange ..... http://t.co/nh5qg41Cqc,89,625,0,287,iOS,Blackberry
9201,survivor17,Fri  01 Mar 2013 19:32:47 +0000,Twitter for iPad,0,Sigh. I've had it with all these freaky blackberry phones. Gosh.,889,17606,3,415,iOS,Blackberry
9202,AbbynAndre,Fri  01 Mar 2013 19:35:13 +0000,Twitter for iPad,0,@UK_BlackBerry can someone tell me how to delete an event from my calendar on Z10??,16,12,0,39,iOS,Blackberry
9203,ames_bell,Fri  01 Mar 2013 19:35:28 +0000,Twitter for iPad,0,Might get a blackberry #newphone,447,1894,0,768,iOS,Blackberry
