date,followers,friends,id,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 21:13:14 +0000,413,275,110,8,neutral,0,Beerticker on iOS,iOS,9438,Blackberry,stuartmoss,Just ticked Saltaire Blackberry Cascade on my Beerticker app. Download FREE and join in. http://t.co/OrWFYh5GVC
Fri  01 Mar 2013 22:45:13 +0000,265,650,117,5,negative,0,BGR on iOS,iOS,2319,Blackberry,Geisterbild,Nokia CEO issues warning to BlackBerry: ?I?m very interested in BlackBerry customers? http://t.co/e4kFKDcJmF
Fri  01 Mar 2013 20:50:48 +0000,94,402,297,0,negative,0,Camera on iOS,iOS,286,Blackberry,TadShafer,An shmactor prepares. One week until Lord Blackberry's Apocalypse #puppetfactory @illyrianplayers http://t.co/8tWnqJe3XG
Fri  01 Mar 2013 20:49:59 +0000,408,696,1493,18,negative,0,Feeddler RSS Reader Pro on iOS,iOS,3996,Blackberry,Danijel_Stanic,BlackBerry 10 software updated to 10.0.10.85: Top 5 Improvements http://t.co/ZUvGjj8BAP
Fri  01 Mar 2013 21:16:43 +0000,207,555,1914,0,negative,0,Google Currents on iOS,iOS,795,Blackberry,AkshatSharma_,BlackBerry Issues First Software Update To BlackBerry 10 http://t.co/caiDFlKlhT
Fri  01 Mar 2013 18:43:53 +0000,86,73,2998,1,negative,0,iOS,iOS,8131,Blackberry,_nospacesplease,Blackberry is back article is a little preemptive.. Is it even out in the US yet?
Fri  01 Mar 2013 19:12:10 +0000,232,149,3009,0,neutral,0,iOS,iOS,8270,Blackberry,_yayallie,laughing bc blackberry just emailed me..................
Fri  01 Mar 2013 19:26:24 +0000,515,215,3012,3,neutral,0,iOS,iOS,4860,Blackberry,JaySanchz,Why am I still receiving Blackberry updates? I haven't had a Blackberry since 2011! I forgot they even existed.
Fri  01 Mar 2013 19:27:17 +0000,131,124,3013,0,neutral,0,iOS,iOS,4015,Blackberry,chickie4man,Just got a email from black blackberry lolol
Fri  01 Mar 2013 19:28:51 +0000,544,870,3014,2,negative,0,iOS,iOS,24160,Blackberry,emillyy__0,Lolololololol why did I just get an email from blackberry....? I got rid of that damn phone a year ago...
Fri  01 Mar 2013 19:32:39 +0000,433,421,3017,1,neutral,0,iOS,iOS,21635,Blackberry,notdiorhomie,That blackberry z10 kind of nice.
Fri  01 Mar 2013 19:36:19 +0000,293,264,3020,0,neutral,0,iOS,iOS,18106,Blackberry,jasbella_,Why am I getting emails from blackberry?
