X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
49,Fri  01 Mar 2013 20:20:15 +0000,8640,7514,98,u,0,AppleInsider on iOS,iOS,3699,iOS,jasonelsom,Evernote for iOS updated with 'The Trunk ' Snippets  enhanced PDF viewer... http://t.co/1AA2WGm3oc
58,Fri  01 Mar 2013 18:43:35 +0000,54,63,2,u,0,AppTicker Push on iOS,iOS,2652,iOS,miggybaz,Great point &amp; click adventure
The Great Fusion Found in AppTicker ??0.00 instead of ??0.69 #iOS http://t.co/Kw6txzeaX1 http://t.co/E5eMAG57Mj
116,Fri  01 Mar 2013 23:22:53 +0000,4871,142,23,u,0,Bezel Photo on iOS,iOS,3611,iOS,mairadominguez,Created with Bezel for iOS http://t.co/1AQRx24NBB http://t.co/C8fRlSKM1z
136,Fri  01 Mar 2013 23:00:15 +0000,56,33,0,u,0,Bike Baron Free on iOS,iOS,908,iOS,UnderminerX,Can you beat my Bike Baron level? Check it out! Level code: KKWG #bikebaron #ios #game http://t.co/ztpeBvxPOE http://t.co/zkEafvl85s
137,Fri  01 Mar 2013 21:56:56 +0000,29,228,0,u,0,Bike Baron on iOS,iOS,175,iOS,GarnerDylan,Can you beat my Bike Baron level? Check it out! Level code: KKVU #bikebaron #ios #game http://t.co/q1CrsJZe4S http://t.co/r562xzWbET
191,Fri  01 Mar 2013 20:44:59 +0000,200,197,3,u,0,Brava Radio on iOS,iOS,15705,iOS,BRYANEXCIOTAYU,I'm listening to SADIE by MELBA MOORE &amp; PHIL PERRY on @Bravaradio mobile application. Get it on your iOS device! http://t.co/EONHtiXFQM
192,Fri  01 Mar 2013 22:44:50 +0000,48,172,0,u,0,Bread Kittens on iOS,iOS,303,iOS,gailmartingrobe,Check out #BreadKittens - the hilarious new game for iOS about baking and wearing bread on cats! http://t.co/kEZO845nLG
324,Fri  01 Mar 2013 19:50:19 +0000,0,1,0,u,0,Clever Driver ??? on iOS,iOS,1,iOS,johns_marlene,I'm playing funny game 'Clever Driver' for iOS! Play with me now! http://t.co/QMYxBQtfrU http://t.co/tCecY3qndV
335,Fri  01 Mar 2013 22:26:02 +0000,244,145,2,u,0,Crackle - Movies &amp; TV on iOS,iOS,1871,iOS,JonGuardado312,I'm watching Blankman free on @Crackle for iOS http://t.co/1Xx5eg2507 classic".
336,Fri  01 Mar 2013 19:20:45 +0000,1501,1209,81,u,0,Crazy Bill on iOS,iOS,18343,iOS,marinesetwas,Really like this iOS Game. Must be because of my 80s Horror Flick Addiction :-) #CrazyBill https://t.co/tOTpGJP075 http://t.co/ZWE3xg484z
337,Fri  01 Mar 2013 21:37:30 +0000,13,9,0,u,0,Crazy Bill on iOS,iOS,50,iOS,mwcandy,Check out this iOS game #Free #CrazyBill  https://t.co/IlaV4eWvRp http://t.co/EgZHfxZ9no
338,Fri  01 Mar 2013 22:59:23 +0000,31,13,0,u,0,Crazy Bill on iOS,iOS,1922,iOS,MyMaciPhonePad,Check out this iOS game #Free #CrazyBill... https://t.co/wRElozaQ5Z http://t.co/YAUkNpYS23
339,Fri  01 Mar 2013 22:17:15 +0000,1,1,0,u,0,Crazy Grandma Skater Run on iOS,iOS,17,iOS,valbonabk,Score 0 obtained in Crazy Grandma Skate! Play it FREE on iOS! https://t.co/cVJdPqDSmX http://t.co/ydqdVxnnuy
373,Fri  01 Mar 2013 19:49:56 +0000,567,501,30,p,0,Denon Audio on iOS,iOS,48070,iOS,furinkazan1967,??? I'm listening to Emergency On Planet Earth by Jamiroquai with my Denon Audio iOS App. http://t.co/QM1W1X3kvG
374,Fri  01 Mar 2013 20:39:37 +0000,399,507,31,p,0,Denon Audio on iOS,iOS,36065,iOS,YACCHIROSUKE,??? I'm listening to Always by Bon Jovi with my Denon Audio iOS App. http://t.co/wpa44wxQl5
375,Fri  01 Mar 2013 20:59:06 +0000,399,507,31,p,0,Denon Audio on iOS,iOS,36083,iOS,YACCHIROSUKE,??? I'm listening to No Apologies by Bon Jovi with my Denon Audio iOS App. http://t.co/8xCGM8Uw3r
