class,topic
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,Android
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,iOS
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
negative,Blackberry
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,Android
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
neutral,iOS
