,Elitebook,Envy,Hp2000,Pavilion,Spectre,negative_total,positive_total,text,time
0,0,0,0,0,0,0,0,RT @oasajajajaxd: Dr estoy enfermo del higado - haber saque la lengua -pero si lo q me duele es el higado - ahh entonces saque el higado ...,Mon Mar 04 18:06:47 +0000 2013
1,0,0,0,0,0,0,0,"@meghanrory Ouch!  Pretty much all the HP deaths.  Remus, Sirius, Tonks, Dumbledore, Fred :(",Mon Mar 04 18:06:47 +0000 2013
2,0,0,0,0,0,0,0,"Sek nemu butuh hp jg, makane ra di balekke RT@alviahaprilia iyo ket mau cen ra aktif beb, padahl les wes melas ... http://t.co/BFkQhLjfHu",Mon Mar 04 18:06:51 +0000 2013
3,0,0,0,0,0,0,0,@kikiwidian no hp lo brpa benk,Mon Mar 04 18:06:51 +0000 2013
4,0,0,0,0,0,0,1,@j_r_stamp Takes a lot of precise running. &amp; good luck 'cause the demon can hit 30 and I had 32 hp.,Mon Mar 04 18:06:51 +0000 2013
5,0,0,0,0,0,0,1,#FictionalCharactersIWantToMarr justin dans TTH et HP,Mon Mar 04 18:06:51 +0000 2013
6,0,0,0,0,0,0,1,RT @HPStorage: Are you getting the most out of your data storage investments? #HP expert’s insights http://t.co/whmU10Olb8 #HPStorage,Mon Mar 04 18:06:54 +0000 2013
7,0,0,0,0,0,0,1,"Najizzzz :hp RT @Zabryan_Asgaf: @beehidayat yess dapat (^_^)ε^ ) dari abe tersayangg hehe (˘⌣˘)ε˘`)""",Mon Mar 04 18:06:54 +0000 2013
8,0,0,0,0,0,0,1,RT @rmdhnislmyh: Mau tidur tapi..... Susah tidur dan susah mv dr hp-_-,Mon Mar 04 18:06:58 +0000 2013
9,0,0,0,1,0,0,1,"RT @Ubuntu_OS: HP have released their HP Pavilion 20-b101ea All-in-One Desktop PC with 2 year warranty, pre-loaded with Ubuntu,... http: ...",Mon Mar 04 18:06:58 +0000 2013
10,0,0,0,1,0,0,1,"Lamborghini unveils $4 million car - the Veneno
750 hp engine and over 220 mile per hour top speed.
http://t.co/5HAGJqi6CA via @CNNMoney",Mon Mar 04 18:06:58 +0000 2013
11,0,0,0,1,0,0,1,欲しいものが多すぎるんだ!!RT @ggrks_koh: えーRT @avasyoui: マジで勘弁して下さい（（ RT @ggrks_koh: ・・・RT @avasyoui: 私のHPが足りませぬ…MPもありませぬし RT @ggrks_koh: どっちも買うがジャスティス！,Mon Mar 04 18:06:59 +0000 2013
12,0,0,0,1,0,0,1,@JiRo_ym とりあえずfidにいるのは相手の中に飛び込んでいくHPとultで相手を削れる火力だからそこを中心に考えるといいよ。最悪RoA先積みとか氷杖先積みでもいいとは思うし。鬼本というか単純火力はわりといらないし、mana regはfidなら青独占しても許してもらえる,Mon Mar 04 18:06:59 +0000 2013
13,0,0,0,1,0,0,1,"Acabo de completar ""Qual filme voce e ?"" e meu resultado foi: Saga de Harry Potter HP! Experimente: http://t.co/Ec5QHu3fwF",Mon Mar 04 18:07:00 +0000 2013
14,0,0,0,1,0,0,1,"dopo la Manhattan del golf, insistente è il pensiero alla vera Manhatta! http://t.co/lftkdHmz4n",Mon Mar 04 18:07:02 +0000 2013
