,Essential,IdeaPad,ThinkPad,negative_total,positive_total,text,time
0,0,0,0,0,0,RT @ITProPortal: MWC 2013: Hands on pictures of the Lenovo K900 Intel-based smartphone: Lenovo’s new top of... http://t.co/1OcR9gnUfe #tech,Tue Mar 05 06:51:04 +0000 2013
1,0,0,0,0,0,"Lenovo S6000, в отличие от своих младших братьев, получил экран с диагональю 10 и разрешением 1280 х 800 пикселей",Tue Mar 05 06:52:12 +0000 2013
2,0,2,0,0,0,Compare prices for  Lenovo IdeaPad Y500 15.6-Inch Laptop (Metal – Dusk Black)  reviews: Lenovo IdeaPad Y500 15... http://t.co/wjcYwNHDZV,Tue Mar 05 06:52:46 +0000 2013
3,0,2,0,0,0,DS Miller Inc. Equivalent of LENOVO - IBM 92P1168 Laptop Battery: 14.8-Volt 2600mAh LiIon Laptop Battery. Our ... http://t.co/r932zbx6Ru,Tue Mar 05 06:52:47 +0000 2013
4,0,2,0,0,0,"Check out the BATMAN: THE DARK KNIGHT RETURNS, PART 2 for a chance to win A Lenovo IdeaTab LYNX!. http://t.co/XYTE54Uhjv",Tue Mar 05 06:53:22 +0000 2013
5,0,2,0,0,0,"completing installation Lenovo Xp 7 Style...
haha keren...",Tue Mar 05 06:54:23 +0000 2013
6,0,2,0,0,0,Скачать видео драйвер для lenovo b560 http://t.co/IRnwLQW7Ek,Tue Mar 05 06:55:16 +0000 2013
7,0,2,0,0,0,Lenovo ThinkCentre A53 9286-xxx 1GB Memory Ram Upgrade (A-Tech Brand): 1GB DDR2-533 (PC2-4200) for Lenovo Thin... http://t.co/xsmbdbi8yr,Tue Mar 05 06:56:17 +0000 2013
8,0,2,0,0,0,Скачать lenovo b 560 драйвера xp http://t.co/zHCYDTUJVH,Tue Mar 05 06:56:27 +0000 2013
9,0,2,1,0,0,Lenovo ThinkPad Tablet 2 Review http://t.co/7cze0ZEjGT,Tue Mar 05 06:57:16 +0000 2013
10,0,2,1,0,0,"Lenovo IdeaPad U310 Intel Core i5 1.7GHz, 4GB RAM, 500GB w/24GB SSD, 13.3-Inch for 449.99:  http://t.co/1emdKWqgHy",Tue Mar 05 06:57:49 +0000 2013
11,0,2,1,0,0,Скачать драйвер bluetooth для lenovo http://t.co/bP1Qw9ID1X,Tue Mar 05 06:58:05 +0000 2013
12,0,2,1,0,0,【新品/Win7/1年保証】 Lenovo G580 26897JJ Corei7 4G 500G http://t.co/WcaVQWOKg9,Tue Mar 05 06:58:41 +0000 2013
13,0,2,1,0,0,"Эх, надо было Lenovo Yoga брать. Хотела ведь...",Tue Mar 05 06:59:13 +0000 2013
14,0,2,1,0,0,Lenovo の 433498J Lenovo G570 を Amazon でチェック！ http://t.co/hK4TJbv0Vi @さんから,Tue Mar 05 06:59:22 +0000 2013
15,0,2,1,0,0,lenovo g555 драйвера wifi http://t.co/7M1wSYwn7x,Tue Mar 05 06:59:51 +0000 2013
16,0,2,1,0,0,lenovo ideapad yogaってどうかしら。タッチできてなんか良さげだと思うし、価格.comでも評判悪くない。,Tue Mar 05 07:00:53 +0000 2013
